"Arquivo","Desenvolvedor"
"android-ndk.c",2
"ansi2knr.c",2
"arm_init.c",1
"checksum-icc.c",2
"cvtcolor.c",2
"def.c",1
"dummy_inflate.c",1
"example.c",1
"fakepng.c",2
"filter_msa_intrinsics.c",2
"filter_neon_intrinsics.c",1
"filter_sse2_intrinsics.c",1
"filter_vsx_intrinsics.c",1
"fixitxt.c",1
"genpng.c",2
"iccfrompng.c",2
"intel_init.c",2
"intprefix.c",2
"libpng.cpp",1
"linux_aux.c",1
"linux-auxv.c",2
"linux.c",1
"makepng.c",2
"makesRGB.c",2
"mips_init.c",2
"new_push_process_row.c",1
"palette_neon_intrinsics.c",2
"png-fix-itxt.c",2
"png-fix-too-far-back.c",1
"png.c",1
"png2pnm.c",1
"pngcp.c",1
"pngdeflate.c",1
"pngerror.c",1
"PngFile.c",1
"pngfix.c",1
"pnggccrd.c",1
"pngget.c",1
"pngimage.c",1
"pngio.c",1
"pngmem.c",1
"pngpixel.c",2
"pngpread.c",1
"pngrcb.c",1
"pngread.c",1
"pngrio.c",1
"pngrtran.c",1
"pngrutil.c",1
"pngset.c",1
"pngstest.c",2
"pngstub.c",1
"pngsyms.c",1
"pngtest.c",1
"pngtopng.c",2
"pngtrans.c",1
"pngunknown.c",1
"pngvalid.c",1
"pngvcrd.c",1
"pngwio.c",1
"pngwrite.c",1
"pngwtran.c",1
"pngwutil.c",1
"pnm2png.c",1
"powerpc_init.c",2
"prefix.c",2
"readpng.c",1
"readpng2.c",1
"readppm.c",1
"rpng-win.c",1
"rpng-x.c",1
"rpng2-win.c",1
"rpng2-x.c",1
"simpleover.c",2
"sym.c",2
"symbols.c",2
"tarith.c",2
"test-unknown.c",2
"timepng.c",2
"vers.c",2
"VisualPng.c",1
"winmain.c",1
"wpng.c",1
"writepng.c",1
"zlib.cpp",1
