"Arquivo","Variabilidades"
"agent.c",4
"auth.c",5
"auth1.c",2
"bcrypt_pbkdf.c",3
"benchmarks.c",1
"bignum.c",2
"bind_config.c",2
"bind.c",5
"blowfish.c",2
"buffer.c",1
"channels.c",3
"channels1.c",4
"client.c",7
"cmdline.c",1
"conf_apache.c",8
"conf_section.c",3
"conf_space.c",3
"config.c",4
"connect.c",13
"connector.c",1
"crypt.c",5
"curve25519.c",9
"default_cb.c",5
"dh_key.c",1
"dh-gex.c",1
"dh.c",15
"ecdh.c",4
"gcrypt_missing.c",1
"getpass.c",3
"gssapi.c",2
"gzip.c",3
"init.c",5
"kex.c",19
"kex1.c",5
"keyfiles.c",4
"keygen2.c",1
"keys.c",6
"known_hosts.c",5
"knownhosts.c",1
"legacy.c",4
"libconfig.c",10
"libcrypto-compat.c",2
"libcrypto.c",20
"libgcrypt.c",2
"libmbedcrypto.c",1
"log.c",3
"mbedcrypto_missing.c",1
"mbedtls.c",2
"messages.c",3
"misc.c",18
"noop.c",1
"options.c",5
"packet_cb.c",2
"packet.c",13
"packet1.c",5
"pcap.c",3
"pkd_daemon.c",1
"pkd_hello.c",5
"pki_crypto.c",7
"pki_ed25519_common.c",1
"pki_gcrypt.c",7
"pki_mbedcrypto.c",1
"pki.c",10
"poll.c",8
"proxy.c",1
"pthread.c",3
"sample.c",8
"samplesftp.c",1
"samplesshd-cb.c",3
"samplesshd-kbdint.c",4
"samplesshd-tty.c",8
"samplesshd.c",5
"server.c",8
"session.c",4
"sftp.c",6
"sftpserver.c",1
"socket.c",9
"ssh_server_fork.c",7
"sshd_direct-tcpip.c",5
"sshnetcat.c",3
"string.c",1
"threads.c",5
"torture_algorithms.c",9
"torture_bind_config.c",2
"torture_buffer.c",1
"torture_config.c",3
"torture_connect.c",1
"torture_hostkey.c",3
"torture_isipaddr.c",1
"torture_knownhosts_parsing.c",6
"torture_knownhosts.c",1
"torture_misc.c",1
"torture_options.c",6
"torture_packet.c",1
"torture_pki_dsa.c",2
"torture_pki_ecdsa.c",3
"torture_pki_ed25519.c",2
"torture_pki_rsa.c",3
"torture_pki.c",5
"torture_rand.c",1
"torture_rekey.c",1
"torture_server_auth_kbdint.c",1
"torture_server_config.c",2
"torture_server.c",2
"torture_threads_buffer.c",1
"torture_threads_pki_rsa.c",2
"torture.c",4
"userauth.c",2
"wrapper.c",19
