"Commit","EhAutor","Arquivo"
"000d659ea2eb709bf99e27c4c76233032869294f","Autor",1
"004240af486768927a16742c457f69217f39077f","Colaborador",1
"00d68d63fa2859fddae415f5f30201f6e65154e8","Autor",1
"01135703a3c1fdbc103db3a8586659b07e652dff","Colaborador",1
"0138c9fd59a3fdf63791db6dd65aa2ff2abcb176","Colaborador",1
"01493b8d471c018613bc4684fbc80a1d4dd3d079","Colaborador",1
"015b1649b1a9e9d80336409066e5085584206e78","Colaborador",1
"0170ed888335843b1cbf0c3cfc3c4cc6b73f5219","Colaborador",1
"01a6004171c6a899192c87dfe5a8ff27c30b1eaf","Colaborador",1
"01e789184a27429775838ac7a211cf55b52b2e4f","Colaborador",1
"01e98a6df7583960d17f914d4ede4905e4d388c3","Colaborador",1
"022409e99c9f6d6f1e540da5c2fa925b72998974","Colaborador",1
"028888719a54794f998cc3572419361a73674929","Colaborador",1
"02953019283fca8069bb7a3a4a11c7bedd2941fc","Colaborador",1
"029d165b61d3c36c046a44d80fad6de1b2504eab","Colaborador",1
"02be4802d5f036e777671e188781e11c9bd7ad9e","Colaborador",1
"02d9b05f543ba4d2278a8bd0df81c04f993ae1d1","Colaborador",1
"02ebbfdecaf79cd00d02b01ad24288a47cd4f988","Colaborador",1
"032f25aab31549284d1d96e7fbda24d320af3063","Colaborador",1
"038c764055b84430a85ffdb893206dea24dafe28","Colaborador",1
"038e6411da2f1946358a1be3a75cd9a0cd94f787","Colaborador",1
"03a1f1dd0c7dfaef3633af30a36e373c833e56d4","Colaborador",1
"03b05c8a5ee609d17e118d57d62713c72df62732","Autor",1
"03b387cf47bf74f63a84b2ac4e9c91f35a6580f9","Colaborador",1
"03c40ac79f1fddafb2e9b41728922028543e75fc","Colaborador",1
"03ca994cc048ac5af7c2722e9f4e4b27d8a95784","Colaborador",1
"03edd0ebb16285c03b72090511207878a694103a","Colaborador",1
"041aff8060ace97ddab83037acdd228727ab9220","Colaborador",1
"0493c1fea9977dafd45cac62e2c961b347fe7bc3","Colaborador",1
"049c62098cbd0d8efc342150a194fe72c9bdf6b0","Colaborador",1
"04cb94a2ddb091c82764ed2b3981f891b093d5d3","Colaborador",1
"04d916f3aa2ace814bb505822f762d3feef45f46","Colaborador",1
"0523adf95cdc89c18b28cef3815b0e9f32a759f2","Colaborador",1
"0534fee674e0faec49d875ae3d2e71c966da399b","Colaborador",1
"05498e0e33f575948026316b560666213535d5ed","Colaborador",1
"057704c097b69c982fc342fdb5b3566198cf3372","Colaborador",1
"058bb0439682b72ae0f929566beb04218fc08001","Colaborador",1
"059b6851dc0d42ab6bb9dbf7134ce4c30c52ce1f","Colaborador",1
"05cd7296ba9a27d2eb4a9d1ecea8230ecb75a35e","Colaborador",1
"060171028ca5dc1af3a90ed109fc04dc42ffc9f6","Colaborador",1
"063430744ddd401c0fe217da611b87837a5b5db3","Colaborador",1
"0684f1b94a92996ed874b359666373f10ef29566","Colaborador",1
"0689304cff86226968f3b59da69646241f8ad0cc","Colaborador",1
"068a7dfc494f1be5263a0336bba48acc893d66a8","Colaborador",1
"06a0d8ff1cf017091788da045f958b532ca07be4","Colaborador",1
"06b9901e64f1ea2a1141115e5645552034d25850","Colaborador",1
"06cd9bc4dc2530ee62e24e14a47a5a05b3dbfb5f","Colaborador",1
"06d25497ffa7cdabad97f17586fa0aa5340a2b0b","Colaborador",1
"06eceb32044b9dabdfdfb43d9c05e706f17f080d","Colaborador",1
"0734bc490fe51b9d93180b77a418f2969fe80f06","Colaborador",1
"07506763ff10d55c341e54261850de1ae2c1cb2d","Colaborador",1
"0762057eb97e61bebd138f94cef5c03e213abfe2","Colaborador",1
"0770843309defa84b91373009c97596df8421cbe","Colaborador",1
"0773696ee50f32d2e66410502b4f25a81140bd46","Colaborador",1
"0792c015d63bc085e18b53248e05390e899a4290","Colaborador",1
"07986731c6e94cda22429e5a3397d6f414e2078a","Colaborador",1
"07a57b74ba0fb98da5dc2682473a60b743c6827d","Colaborador",1
"07a9e6b7c634491db1b6875f5a2018fa9f90773a","Colaborador",1
"07f607ec4c104d73b9ce258b16673c6fb9013861","Colaborador",1
"07f7fa7806e94ccaa271c185213afed80e13a77d","Colaborador",1
"07faf95a105721422212c1a3216aba218cb94cd9","Autor",1
"07faf95a105721422212c1a3216aba218cb94cd9","Colaborador",1
"07fb895fe98b29cc432f742ae51b09f502a1dce6","Colaborador",1
