"Commit","Variabilidades"
"000d659ea2eb709bf99e27c4c76233032869294f",4
"004240af486768927a16742c457f69217f39077f",1
"01e98a6df7583960d17f914d4ede4905e4d388c3",1
"02aecc1278d52fa1c2266e0a16fd3551e922f560",1
"03edd0ebb16285c03b72090511207878a694103a",2
"0493c1fea9977dafd45cac62e2c961b347fe7bc3",2
"04cc7b769a359ca2afdcfc0b70b5e8a17849b556",1
"04faa332596b6f37af7dfd68910aedb3dde86dfc",1
"052073c36d33089d3a99992840c88c6245461813",1
"0689304cff86226968f3b59da69646241f8ad0cc",1
"0773696ee50f32d2e66410502b4f25a81140bd46",2
"077dd81fcc9453613de18c6d037ef61f3a8e161c",1
"07abc3406df3b6b37471e10e495efb79003f5679",2
"07fb895fe98b29cc432f742ae51b09f502a1dce6",2
"08a70bb4745c3bb4296e1fa187762eb07507e348",1
"095775ef1be7ebd4d76045b4c7481148f7fe05e6",1
"09a715b1474dc41f71e3993fc72c0b9833f09e85",1
"0ad462102a313d22c60b32f4f1c9210839480fb3",1
"0bde6b142cadbe95a4478f40c427d6afed77e931",3
"0e886ba80341eee457c7a4c99da82e2fe3781206",1
"0f67ff89d9918344965897887ca47c9bb7471752",2
"104c9dca3f963440e4f1d1170c9244682e700e28",1
"10b625e18030144f30a68556321a4c3d11fa7e25",1
"10f27457d36fd39eee5c317d59e6ecfbc898db58",1
"11a5383604c66a4553a202184d78df2328450521",1
"11f3b0e684793740d180cfc5a19f45783c174219",1
"136f4d3b0d7475ae212dcf824c3ff624a97a08ad",1
"13f3679b2f81da19b3aad730eea5db864e432be5",1
"149be78ee046057391311fd5c5778bfaa22a7b4f",1
"14ae9a7f0c7ce7a9fa2972ef29c1c8cb86242d4d",1
"1663917f71317587425564298722740afec5ab47",1
"17ca9d9da78502c87eccbe6a1eb6cf4d6bde5706",1
"192657d88c2147e663d058e4610a9352f3394daa",1
"1973e833f2f8987c7be494e5dff86008a8557758",1
"19f7458ed30073bd325b491bb827c4b51d22f2e9",1
"1a56892e9f5f6bd3e6c0b16440013d986f8e1cfc",4
"1abdb28995fa5db61af7f385abf078c9b58fd843",2
"1b57445f6b9c850a97e69a122537e918de0e02c5",1
"1b88542fbe38fc6242ff47a2fde09d1e128bdbca",1
"1e019fee43681ef5d47fb700099d6d4d9fdc0cc1",3
"1e5e09563a4e3b6f094e2634c1453dd4d56e798c",1
"206f3ff895d3d822ac4f23426136537129f9f062",11
"20baf4f5b6d1c89a8f2483f99180df94be8cf55b",1
"21261270e5facb6ae2500b8497683d9ca0933dfb",1
"216cabc563e5629b0dad0d065bc1cc4ea8f91bba",2
"216cb8b1aa86d6fd5cf8db38938e70d5986403cd",1
"21881cde34acd67302af633fe97547b2857483a1",1
"21bf499bb4fbb4127f74966a6ea66ba282ee1cf5",1
"2234c115f25ccf606d28981711bc75871fbd2505",12
"228dc08038a18e8cc165baa4a9348d173549a048",4
"234706548121cb9acf609b6cce71d53144143968",2
"23dcc2c7f35d575aefa051aab676233cf734c076",1
"247983e9820fd264cb5a59c14cc12846c028bd08",1
"250273cf1aa5d8391aeb68ac11b55a067cab1969",1
"2653b31af01a859c00735e34d4ea3999a534b05f",2
"291522772d49898081cc9f09aadd9a9475db4c2f",2
"2917e71aadae004f3a353c3de0672d7534e1a2bf",1
"296767afc466caa4a6b7e618e29ff74ec0c744c3",1
"29997022c812a5ac47c1c96cbea4d8cee339b532",2
"29c57bab3351f5cf144ff4261e340dc70076b288",1
"2a1cb323f7d88331c83980e2a522cf470a0f0ef5",1
"2a2c1c98bf4129f4c70ec1fef6558c2e5af15e5d",2
"2b40ad29c02da4004dec3a0e51ea8cef4ebac01e",8
"2bd6501552a2e3b9ee8fa1cafea617b4c9369864",1
"2cca490076841b431d7a83d020d90e1ad00bbca5",2
"2dff359a331c5c9aab2435c470596b0fee7a502a",1
"2e83cc925d55c065796c8e393a9ac88f76dac3a9",2
"2e8f2f03e794144701a0e391b9d582cda224ba1b",2
"3090d104cf050028dbe2b29788ace057d8eca321",2
"33890daf4104238ecf4216102abd0411eed17c43",1
"33b0cfc199a1f8657a23ae9ce05d2fd4b8261257",1
"33b948cab991cb9ef4834ea02b19cf38623bcc3f",6
"347af845ab65b42410dc08f9fa0aa1d8862664b2",1
"36a727e656a7fcd91722cf2d050fc87d55410b5b",3
"36ee2d3332cd44de5ea9916a82f26d9ac5134d42",2
"370d4b014d22d6ae9229498f75a4f6d28d0d1614",2
"37262b98ef32494e449c17784b8977da2d0e9902",7
"379d65eaaf14c7ad699bb3752a5866ccb614f1af",1
"38420bff764c8a6d64a029746e68df9792356a0d",1
"38806e1dd87f9d6bf6e6a88634bdf342a4b6c74c",1
"38c53db9533a3e0ac446ee0a83dac8768d282de9",1
"39729bd3de3483adca74488d04da49b91b4cfee3",1
"3b0b1c3ee3c88d5bc1c649d20969219e1e43b58d",1
"3c7571e61b59ea4db332f31ebf27f462ffa3292f",1
"3daf1760a18c091159338fc9077fa71bfbd726a1",1
"3e8bdb122f12f6606476b6a87f5d3e5295343079",2
"3f04367fb8fbcf18e46cb09a766b18f36ffd9602",1
"3f9ce10525849776286e5bcbc57a3f7a364b48d2",1
"3feb6ebe281b58b06ca8170813e0883fe9fcdaea",2
"40b63f7c395d849b8cb17242f9be3c37b961b6dd",1
"40bcc0bed8f3382fbdcc9b2d904b0c7bd839412d",4
"4133f484ae317909169ad8e1bc689d25cabd9a77",3
"41c08986ae39940b177ad80cc9375b190b6ad560",1
"422271bd40d3b2d89fd02232b715385286ce032a",1
"433f8fd5502841279aae6f416c81bb70f42d1734",1
"43a4f86b6e14a907b3a298d10d5cd7efb59f6a09",3
"444008aabc44ae029efc6e0e56f00700e9c123ff",3
"4512a3feada80e236de1c1c09896e0ad10e2205a",1
"45857bc6066464451d72a083c0d06d040f83738c",1
"461d9413d3c32066953f4ed97b8d4d8fc6f169b0",1
"461e46b814a5b49ffaebd308ddb6ed886f2913fd",1
"46c3563da9a43e35cb8ed77edf8a59156d1945c4",1
"4745d652b5e71c27fd891edfe690162c0b8d3005",2
"48980573c1918034216ac307fd3e687d09d352bc",1
"48e4df4ac01002fbf0588e7178d4f01d861019df",1
"49f57a8d0dcf990169e2f591a937672f74ffa4a9",1
"4a3554b2fa794edec0a628610e7bfb3749d76129",7
"4cb6afcbd43ab503d4c3d3054b96a1492605ea8d",3
"4d87256ca77c1b79128a6720df271c6ab827200c",2
"4d889e0af094ed18334699f7ca6047726175dc0d",1
"4ecefb501702cb993eb3acd98876a378783526b6",1
"508374219255bf7876acf5046d7b63f00f85a6e3",1
"50a119dd0ac55763f965ba1660c132c2f58ed167",1
"50d8d75d890e16e8d4d3f4dd51de05812c0c3a1f",2
"51875db70ca0d23a8707da7a24b9e833cc51902d",1
"51f035aa3f2978709a531d46db07e28aec682020",1
"528b9c5323c61e65877c5fa0dd0f5444edccc981",3
"52d6b7b9149b913872de08948bdd95603a4698b9",1
"52efbc3a23fd62640177c96a14df76c42a1b462c",2
"5317ebf0fcf927e45a4c7a8c322357179dd87f2f",1
"539d7ba2499d5f7bb83de71d99ee63838748bc62",1
"5443863723964b0b7ea810f76e1abe170aa38e4e",1
"55252e4d70ecf58afccf6326091ea4dad66bc01f",1
"55846a4c7b09af2d105c7f7dfd0a43aab2f6e5a5",3
"55a713cb04550e340afaabc4073212b872ff37e2",2
"561441105f967f944f5da30523a6d1f8a894cf01",1
