"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total"
"Aris Adamantiadis","2005-07-01","Major",1,0,1
"Aris Adamantiadis","2005-08-01","Major",1,0,1
"Aris Adamantiadis","2005-09-01","Major",1,0,1
"Aris Adamantiadis","2005-10-01","Major",1,0,1
"Aris Adamantiadis","2005-11-01","Major",1,0,1
"Jean-Philippe Garcia Ballester","2005-11-01","Major",2,0,2
"Aris Adamantiadis","2005-12-01","Major",2,0,2
"Jean-Philippe Garcia Ballester","2006-07-01","Major",2,0,2
"Aris Adamantiadis","2006-11-01","Major",2,0,2
"Aris Adamantiadis","2006-12-01","Major",2,0,2
"Aris Adamantiadis","2007-03-01","Major",2,0,2
"Aris Adamantiadis","2008-03-01","Major",2,0,2
"Aris Adamantiadis","2008-05-01","Major",2,0,2
"Aris Adamantiadis","2008-06-01","Major",2,0,2
"Aris Adamantiadis","2008-10-01","Major",2,0,2
"Aris Adamantiadis","2008-11-01","Major",2,0,2
"Andreas Schneider","2008-12-01","Major",3,0,3
"Aris Adamantiadis","2008-12-01","Major",3,0,3
"Andreas Schneider","2009-02-01","Major",3,0,3
"Aris Adamantiadis","2009-02-01","Major",3,0,3
"Andreas Schneider","2009-03-01","Major",3,0,3
"Aris Adamantiadis","2009-03-01","Major",3,0,3
"Andreas Schneider","2009-04-01","Major",3,0,3
"Andreas Schneider","2009-05-01","Major",3,0,3
"Andreas Schneider","2009-06-01","Major",3,0,3
"Aris Adamantiadis","2009-06-01","Major",3,0,3
"Andreas Schneider","2009-07-01","Major",3,0,3
"Aris Adamantiadis","2009-07-01","Major",3,0,3
"Andreas Schneider","2009-08-01","Major",3,0,3
"Aris Adamantiadis","2009-08-01","Major",3,0,3
"Andreas Schneider","2009-09-01","Major",3,0,3
"Aris Adamantiadis","2009-09-01","Major",3,0,3
"Andreas Schneider","2009-10-01","Major",3,0,3
"Aris Adamantiadis","2009-10-01","Major",3,0,3
"Andreas Schneider","2009-11-01","Major",3,0,3
"Aris Adamantiadis","2009-11-01","Major",3,0,3
"Andreas Schneider","2009-12-01","Major",3,0,3
"Aris Adamantiadis","2009-12-01","Major",3,0,3
"Aris Adamantiadis","2010-01-01","Major",3,0,3
"Andreas Schneider","2010-02-01","Major",3,0,3
"Aris Adamantiadis","2010-02-01","Major",3,0,3
"Andreas Schneider","2010-03-01","Major",3,0,3
"Aris Adamantiadis","2010-03-01","Major",3,0,3
"Andreas Schneider","2010-04-01","Major",3,0,3
"Aris Adamantiadis","2010-04-01","Major",3,0,3
"Andreas Schneider","2010-05-01","Major",3,0,3
"Aris Adamantiadis","2010-05-01","Major",3,0,3
"Andreas Schneider","2010-06-01","Major",3,0,3
"Aris Adamantiadis","2010-06-01","Major",3,0,3
"Andreas Schneider","2010-07-01","Major",3,0,3
"Aris Adamantiadis","2010-07-01","Major",3,0,3
"Andreas Schneider","2010-08-01","Major",3,0,3
"Aris Adamantiadis","2010-08-01","Major",3,0,3
"Andreas Schneider","2010-09-01","Major",3,0,3
"Aris Adamantiadis","2010-09-01","Major",4,0,4
"Milo","2010-09-01","Major",4,0,4
"Aris Adamantiadis","2010-10-01","Major",4,0,4
"Andreas Schneider","2010-12-01","Major",4,0,4
"Aris Adamantiadis","2010-12-01","Major",4,0,4
"Andreas Schneider","2011-01-01","Major",4,0,4
"Aris Adamantiadis","2011-01-01","Major",4,0,4
"Andreas Schneider","2011-02-01","Major",4,0,4
"Aris Adamantiadis","2011-02-01","Major",5,0,5
"Bernhard R. Link","2011-02-01","Major",5,0,5
"Milo","2011-02-01","Major",5,0,5
"Andreas Schneider","2011-03-01","Major",5,0,5
"Aris Adamantiadis","2011-03-01","Major",5,0,5
"Andreas Schneider","2011-04-01","Major",5,0,5
"Aris Adamantiadis","2011-04-01","Major",5,0,5
"Andreas Schneider","2011-05-01","Major",5,0,5
"Aris Adamantiadis","2011-05-01","Major",6,0,6
"Oliver Stoneberg","2011-05-01","Major",6,0,6
"Andreas Schneider","2011-06-01","Major",6,0,6
"Aris Adamantiadis","2011-06-01","Major",6,0,6
"Aris Adamantiadis","2011-07-01","Major",6,0,6
"Andreas Schneider","2011-08-01","Major",6,0,6
"Aris Adamantiadis","2011-08-01","Major",6,0,6
"Andreas Schneider","2011-09-01","Major",6,0,6
"Aris Adamantiadis","2011-09-01","Major",6,0,6
"Andreas Schneider","2011-10-01","Major",6,0,6
"Aris Adamantiadis","2011-10-01","Major",6,0,6
"Andreas Schneider","2011-11-01","Major",6,0,6
"Andreas Schneider","2011-12-01","Major",6,0,6
"Andreas Schneider","2012-01-01","Major",6,0,6
"Andreas Schneider","2012-02-01","Major",6,0,6
"Andreas Schneider","2012-03-01","Major",6,0,6
"Andreas Schneider","2012-04-01","Major",6,0,6
"Andreas Schneider","2012-05-01","Major",6,0,6
"Andreas Schneider","2012-06-01","Major",6,0,6
"Andreas Schneider","2012-07-01","Major",6,0,6
"Andreas Schneider","2012-09-01","Major",6,0,6
"Dmitriy Kuznetsov","2012-09-01","Major",7,0,7
"Andreas Schneider","2012-10-01","Major",7,0,7
"Aris Adamantiadis","2012-10-01","Major",7,0,7
"Dmitriy Kuznetsov","2012-10-01","Major",7,0,7
"Andreas Schneider","2012-11-01","Major",7,0,7
"Andreas Schneider","2012-12-01","Major",7,0,7
"Aris Adamantiadis","2012-12-01","Major",7,0,7
"Andreas Schneider","2013-01-01","Major",7,0,7
"Aris Adamantiadis","2013-02-01","Major",7,0,7
"Aris Adamantiadis","2013-03-01","Major",7,0,7
"Andreas Schneider","2013-04-01","Major",7,0,7
"Aris Adamantiadis","2013-04-01","Major",7,0,7
"Aris Adamantiadis","2013-05-01","Major",7,0,7
"Andreas Schneider","2013-06-01","Major",7,0,7
"Aris Adamantiadis","2013-06-01","Major",7,0,7
"Andreas Schneider","2013-07-01","Major",7,0,7
"Aris Adamantiadis","2013-07-01","Major",7,0,7
"Andreas Schneider","2013-08-01","Major",7,0,7
"Andreas Schneider","2013-09-01","Major",7,0,7
"Aris Adamantiadis","2013-09-01","Major",7,0,7
"Andreas Schneider","2013-10-01","Major",7,0,7
"Aris Adamantiadis","2013-10-01","Major",7,0,7
"Andreas Schneider","2013-11-01","Major",7,0,7
"Aris Adamantiadis","2013-11-01","Major",7,0,7
"Andreas Schneider","2013-12-01","Major",7,0,7
"Alan Dunn","2014-01-01","Major",8,0,8
"Andreas Schneider","2014-01-01","Major",8,0,8
"Aris Adamantiadis","2014-01-01","Major",8,0,8
"Alan Dunn","2014-02-01","Major",8,0,8
"Andreas Schneider","2014-02-01","Major",9,0,9
"Aris Adamantiadis","2014-02-01","Major",9,0,9
"Audrius Butkevicius","2014-02-01","Major",9,0,9
"Andreas Schneider","2014-03-01","Major",9,0,9
"Luka Perkov","2014-03-01","Major",10,0,10
"Alan Dunn","2014-04-01","Major",10,0,10
"Andreas Schneider","2014-04-01","Major",10,0,10
"Aris Adamantiadis","2014-04-01","Major",10,0,10
"Andreas Schneider","2014-05-01","Major",10,0,10
"Andreas Schneider","2014-06-01","Major",10,0,10
"Andreas Schneider","2014-08-01","Major",10,0,10
"Aris Adamantiadis","2014-08-01","Major",10,0,10
"Andreas Schneider","2014-09-01","Major",10,0,10
"Aris","2014-09-01","Major",11,0,11
"Aris Adamantiadis","2014-09-01","Major",11,0,11
"Andreas Schneider","2014-10-01","Major",11,0,11
"Jon Simons","2014-10-01","Major",12,0,12
"Andreas Schneider","2014-12-01","Major",12,0,12
"Jon Simons","2014-12-01","Major",12,0,12
