"Desenvolvedor","Data","EhAutor","Variabilidades"
"Alan Dunn","2014-01-01","Autor",1
"Alan Dunn","2014-02-01","Autor",1
"Alan Dunn","2014-04-01","Autor",1
"Alex Gaynor","2018-02-01","Autor",1
"Anderson Toshiyuki Sasaki","2018-07-01","Autor",4
"Anderson Toshiyuki Sasaki","2018-07-01","Colaborador",3
"Anderson Toshiyuki Sasaki","2018-09-01","Colaborador",1
"Anderson Toshiyuki Sasaki","2018-10-01","Autor",1
"Anderson Toshiyuki Sasaki","2018-11-01","Autor",6
"Anderson Toshiyuki Sasaki","2018-11-01","Colaborador",5
"Anderson Toshiyuki Sasaki","2019-01-01","Autor",2
"Anderson Toshiyuki Sasaki","2019-02-01","Autor",3
"Anderson Toshiyuki Sasaki","2019-02-01","Colaborador",3
"Anderson Toshiyuki Sasaki","2019-03-01","Autor",1
"Anderson Toshiyuki Sasaki","2019-03-01","Colaborador",2
"Anderson Toshiyuki Sasaki","2019-04-01","Colaborador",2
"Anderson Toshiyuki Sasaki","2019-05-01","Autor",1
"Anderson Toshiyuki Sasaki","2019-05-01","Colaborador",5
"Anderson Toshiyuki Sasaki","2019-06-01","Autor",1
"Anderson Toshiyuki Sasaki","2019-06-01","Colaborador",1
"Anderson Toshiyuki Sasaki","2019-07-01","Colaborador",1
"Anderson Toshiyuki Sasaki","2019-08-01","Autor",2
"Anderson Toshiyuki Sasaki","2019-08-01","Colaborador",4
"Anderson Toshiyuki Sasaki","2019-09-01","Autor",1
"Anderson Toshiyuki Sasaki","2019-10-01","Colaborador",1
"Anderson Toshiyuki Sasaki","2019-11-01","Colaborador",1
"Anderson Toshiyuki Sasaki","2020-01-01","Colaborador",1
"Anderson Toshiyuki Sasaki","2020-04-01","Colaborador",1
"Anderson Toshiyuki Sasaki","2020-06-01","Colaborador",1
"Anderson Toshiyuki Sasaki","2020-07-01","Colaborador",1
"Andreas Schneider","2008-12-01","Colaborador",1
"Andreas Schneider","2009-02-01","Colaborador",3
"Andreas Schneider","2009-03-01","Colaborador",12
"Andreas Schneider","2009-04-01","Colaborador",10
"Andreas Schneider","2009-05-01","Colaborador",3
"Andreas Schneider","2009-06-01","Colaborador",10
"Andreas Schneider","2009-07-01","Colaborador",6
"Andreas Schneider","2009-08-01","Colaborador",3
"Andreas Schneider","2009-09-01","Colaborador",4
"Andreas Schneider","2009-10-01","Colaborador",3
"Andreas Schneider","2009-11-01","Colaborador",2
"Andreas Schneider","2009-12-01","Colaborador",3
"Andreas Schneider","2010-02-01","Colaborador",3
"Andreas Schneider","2010-03-01","Colaborador",2
"Andreas Schneider","2010-04-01","Colaborador",4
"Andreas Schneider","2010-05-01","Colaborador",5
"Andreas Schneider","2010-06-01","Colaborador",4
"Andreas Schneider","2010-07-01","Colaborador",2
"Andreas Schneider","2010-08-01","Autor",1
"Andreas Schneider","2010-08-01","Colaborador",2
"Andreas Schneider","2010-09-01","Autor",1
"Andreas Schneider","2010-09-01","Colaborador",5
"Andreas Schneider","2010-12-01","Autor",1
"Andreas Schneider","2010-12-01","Colaborador",6
"Andreas Schneider","2011-01-01","Colaborador",3
"Andreas Schneider","2011-02-01","Colaborador",4
