"Desenvolvedor","Variabilidades","Valor","Total"
"Jean-Philippe Garcia Ballester",3,"2005-11-01",253
"Milo",4,"2011-02-01",253
"Audrius Butkevicius",7,"2014-02-01",253
"Jon Simons",3,"2014-10-01",253
"Juraj Vijtiuk",2,"2017-12-01",253
"Till Wimmer",3,"2019-02-01",253
"Simo Sorce",2,"2019-03-01",253
"Anderson Toshiyuki Sasaki",26,"2019-08-01",253
"Aris Adamantiadis",86,"2019-10-01",253
"Andreas Schneider",102,"2019-11-01",253
"Jakub Jelen",13,"2020-04-01",253
"Dirkjan Bussink",2,"2020-12-01",253
