"Commit","Data","Classificacao_ownership","Desenvolvedor","Total"
"3113d8756628f463fda33b93801aee3c6ee9aa32","2005-07-01","Major",2,5206
"55846a4c7b09af2d105c7f7dfd0a43aab2f6e5a5","2005-07-01","Major",3,5206
"636432e47593f145675e40e21bb8c8b6eb6ce8be","2005-07-01","Major",3,5206
"c65f56aefa50a2e2a78a0e45564526ecc921d74f","2005-07-01","Major",34,5206
"d40f16d48ec1ed9670c20ffaad1005c59a689484","2005-07-01","Major",2,5206
"0c1ca983edd3859acd8c1a02b8db69fd62ca89b6","2005-08-01","Major",2,5206
"0de0dca16d1caf6c712fb4b50d4ff7c7e25d5129","2005-08-01","Major",2,5206
"1b20b8df85e07353f8403a6b55f8206980228639","2005-08-01","Major",2,5206
"35221f967ef5e9801c2496a7f10ced1408f9cd20","2005-08-01","Major",2,5206
"56602ca031726a7682de3164b8f7f3da4881f7bb","2005-08-01","Major",6,5206
"5c26ae735483d140f802d58b1872b2fe9468d219","2005-08-01","Major",10,5206
"6c0503f6c68ba92638516257c9991bcfd660e41e","2005-08-01","Major",1,5206
"7812915daa1bdb3198059f97e0fb889f0b39b7d2","2005-08-01","Major",1,5206
"8510d2abe49baf0c081ac52323d6a29ea94bab84","2005-08-01","Major",1,5206
"8963144850a17aa961b53ad3b036eb71b628d111","2005-08-01","Major",2,5206
"96a99bab7853998ec8c23da6bcb9ffb10855705d","2005-08-01","Major",7,5206
"9a4a7da811d13d57ea2b01436092d14ae3423d9c","2005-08-01","Major",2,5206
"a8b5d63e14af539ea417f4752850ff300055a0ad","2005-08-01","Major",2,5206
"b81c66ee8f785d56eea7ebf3c8d741704c4f2b1b","2005-08-01","Major",3,5206
"bb50d8f46429cecb43826c824b2d8139dcdb793e","2005-08-01","Major",2,5206
"bcb6bf25fa132421672d0782b9bfdb82fd2c6600","2005-08-01","Major",1,5206
"bddce3a5da9f24c18a9ca69e08da50ca4de4671d","2005-08-01","Major",1,5206
"c76e6e496d6065b8cb61c5ea25df6a38619cfdf4","2005-08-01","Major",1,5206
"c7a059f0d316b757714fb3e278044ed30bcdcda3","2005-08-01","Major",2,5206
"c83b993af9779967994c1fe1d26536026cdee3af","2005-08-01","Major",1,5206
"dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee","2005-08-01","Major",33,5206
"e2bdc2f66c85d4d1a38b2511cb98da105cafcc24","2005-08-01","Major",1,5206
"f0008adac6f9f5b6b2a06541bda7502139759ede","2005-08-01","Major",1,5206
"f23685f92b91aa53546a81bf7793c38a45df15d3","2005-08-01","Major",4,5206
"f31e7a3bec432be88aa4bb82c7f53baa32c6ac28","2005-08-01","Major",4,5206
"f730d3b361f717135786bddb3c949bfae213bbff","2005-08-01","Major",2,5206
"c0525750fd090bca0f1ab1884cc26ecd227addb7","2005-09-01","Major",2,5206
"0f67ff89d9918344965897887ca47c9bb7471752","2005-10-01","Major",5,5206
"5f7c84f900b81e3bbff55378f8170ddf150daf9c","2005-10-01","Major",31,5206
"7b416e5c520c4dea21e242733d64672f304fdbd3","2005-10-01","Major",1,5206
"9a2683f183338da7c82261d502cdeff0855c210c","2005-10-01","Major",5,5206
"bef09f8848f60a2adfac7ef4a522c83fe184a854","2005-10-01","Major",1,5206
"c53b6b907ce7ccaf720777c18eed3eea46807bb7","2005-10-01","Major",2,5206
"cddc5d6889f252b2cde5403f16063b640864f55d","2005-10-01","Major",1,5206
"d86f0017545f0076a1136b5c6f8b0a7a58366342","2005-10-01","Major",1,5206
"1847fb2373f6cc5e95d36efa4e0b260fb1337c3c","2005-11-01","Major",2,5206
"3edfd105b37c71f10816f32022e6baf54625d9c0","2005-11-01","Major",3,5206
"ac4fd091775805b6849774f3c4b7e59dc1ab6bde","2005-11-01","Major",3,5206
"d923851664f20f7143981dde3562ae9d6ce0b72e","2005-11-01","Major",1,5206
"4fd1df0586ed08911467141e605afa0c0c610e6a","2005-12-01","Major",1,5206
"c5287c543e28048f5cac844a5f03debb2df60271","2005-12-01","Major",50,5206
"9bb0be2dbb995097859f304111e61c6bbc910746","2006-07-01","Major",1,5206
"d101fb4329f4313f1b930e9876166df3304e672a","2006-11-01","Major",5,5206
"ea215fdecc62cc3ca25f707dade07941d66f7856","2006-11-01","Major",1,5206
"ff273b26b366c1aa2502b3a9828b256cc8d04a06","2006-11-01","Major",4,5206
"1c1e5de2c65e65718a0f7aa69f882285c2881638","2006-12-01","Major",1,5206
"4479b4aded35f52a49f20053ed81161037818cb6","2006-12-01","Major",2,5206
"ef5113cc5761d7364b77bc5572031c5ac91fcd54","2006-12-01","Major",1,5206
"0c3ead73925af354728c55bb956edc72d45de8de","2007-03-01","Major",2,5206
"01470097c6ff22b3c1a8c4383ae08a2ad3ce0ff8","2008-03-01","Major",4,5206
"077dd81fcc9453613de18c6d037ef61f3a8e161c","2008-03-01","Major",6,5206
"0d6e3c17903bf370765b24b5f2cfeaf9d5d57e3f","2008-03-01","Major",1,5206
"29997022c812a5ac47c1c96cbea4d8cee339b532","2008-03-01","Major",12,5206
"46b96a145cde14b7ecf4a9608173508aa877b9fa","2008-03-01","Major",2,5206
