"Variabilidades","Desenvolvedor","Valor","Total"
"HAS_AES",1,"2005-07-01",253
"HAS_BLOWFISH",1,"2005-07-01",253
"HAVE_GETHOSTBYADDR",1,"2005-07-01",253
"HAVE_SELECT",1,"2005-07-01",253
"HAVE_SYS_POLL_H",1,"2005-07-01",253
"OLD_CRYPTO",1,"2005-07-01",253
"OPENSSL_CRYPTO",1,"2005-07-01",253
"DEBUG",1,"2005-08-01",253
"ENABLE_SMALL",1,"2005-08-01",253
"HAVE_CFMAKERAW",1,"2005-08-01",253
"HAVE_CTYPE_H",1,"2005-08-01",253
"HAVE_DIRENT_H",1,"2005-08-01",253
"HAVE_GETPWUID",1,"2005-08-01",253
"HAVE_PAM_PAM_APPL_H",1,"2005-08-01",253
"HAVE_PWD_H",1,"2005-08-01",253
"HAVE_SECURITY_PAM_APPL_H",1,"2005-08-01",253
"HAVE_STDIO_H",1,"2005-08-01",253
"HAVE_STDLIB_H",1,"2005-08-01",253
"HAVE_STRING_H",1,"2005-08-01",253
"HAVE_SYS_STAT_H",1,"2005-08-01",253
"HAVE_SYS_TYPES_H",1,"2005-08-01",253
"HAVE_OPENSSL_DES_H",1,"2005-10-01",253
"HAVE_GETADDRINFO",1,"2006-12-01",253
"_WIN_32",1,"2008-03-01",253
"EWOULDBLOCK",1,"2009-02-01",253
"gai_strerror",1,"2009-03-01",253
"HAVE_LIBZ",2,"2009-03-01",253
"NO_GZIP",2,"2009-03-01",253
"NO_SERVER",2,"2009-03-01",253
"cbc_decrypt",1,"2009-04-01",253
"cbc_encrypt",1,"2009-04-01",253
"NO_SFTP",1,"2009-04-01",253
"HAVE_SSH1",2,"2009-05-01",253
"!(HAVE_POLL) && !(_WIN32)",2,"2009-06-01",253
"!(HAVE_SELECT) && !(HAVE_POLL)",2,"2009-06-01",253
"(_WIN32_WINNT) && (_WIN32_WINNT >= 0x0600)",1,"2009-06-01",253
"HAVE_POLL",2,"2009-06-01",253
"SELECT_LIMIT_CHECK",2,"2009-06-01",253
"STRICT",1,"2009-06-01",253
"USE_POLL",2,"2009-06-01",253
"USE_SELECT",2,"2009-06-01",253
"AI_NUMERICSERV",1,"2009-07-01",253
"HAVE_WSPIAPI_H",1,"2009-08-01",253
"(HAVE_LIBZ) && (WITH_LIBZ)",2,"2009-11-01",253
"USE_CHANNEL_SELECT",1,"2009-11-01",253
"NSS_BUFLEN_PASSWD",1,"2009-12-01",253
"WITH_SSH1",2,"2009-12-01",253
"(_WIN32_WINNT) && (_WIN32_WINNT >= 0x0600) */",1,"2010-04-01",253
"WORDS_BIGENDIAN",1,"2010-05-01",253
"HAVE_PTHREADS",1,"2010-08-01",253
"WSAPOLLFD",1,"2010-08-01",253
"HAVE_PTHREAD",1,"2010-09-01",253
"THREAD_NATIVE_PTHREAD",1,"2010-09-01",253
"HAVE_GETHOSTBYNAME",2,"2010-12-01",253
"_WIN32_IE",1,"2011-01-01",253
"_POSIX_C_SOURCE",2,"2011-02-01",253
"HAVE_REGCOMP",2,"2011-02-01",253
"_POSIX_MONOTONIC_CLOCK",1,"2011-05-01",253
