"Arquivo","Desenvolvedor"
"acl.c",1
"agent.c",1
"auth.c",1
"auth1.c",2
"authentication.c",2
"base64.c",2
"bcrypt_pbkdf.c",2
"bench_raw.c",1
"bench_scp.c",1
"bench_sftp.c",1
"benchmarks.c",1
"bignum.c",2
"bind_config.c",1
"bind.c",1
"blowfish.c",1
"buffer.c",1
"callbacks.c",3
"chacha.c",1
"chachapoly.c",1
"channels.c",1
"channels1.c",2
"chmodtest.c",1
"chroot_wrapper.c",1
"client.c",2
"cmdline.c",2
"conf_apache.c",1
"conf_colon.c",1
"conf_equal.c",1
"conf_section.c",1
"conf_space.c",1
"conf_xml.c",1
"config_parser.c",2
"config.c",2
"connect_ssh.c",2
"connect.c",2
"connection.c",1
"connector.c",2
"crc32.c",2
"crypt.c",2
"curve25519_ref.c",1
"curve25519.c",3
"default_cb.c",1
"deprecated.c",1
"dh_crypto.c",1
"dh_key.c",1
"dh-gex.c",1
"dh.c",2
"ecdh_crypto.c",1
"ecdh_gcrypt.c",1
"ecdh_mbedcrypto.c",1
"ecdh.c",3
"ed25519.c",1
"error.c",1
"exec.c",2
"fe25519.c",1
"fuzzer.c",1
"gcrypt_missing.c",2
"ge25519.c",1
"getpass.c",2
"getuid.c",1
"gssapi.c",1
"gzip.c",2
"init.c",2
"kdf.c",1
"kex.c",2
"kex1.c",2
"keyfiles.c",2
"keygen.c",1
"keygen2.c",1
"keys.c",1
"known_hosts.c",1
"knownhosts.c",1
"latency.c",2
"legacy.c",1
"libconfig.c",1
"libcrypto-compat.c",2
"libcrypto.c",2
"libgcrypt.c",3
"libmbedcrypto.c",2
"libssh_scp.c",2
"libsshpp_noexcept.cpp",1
"libsshpp.cpp",2
"list.c",1
"log.c",1
"main.c",1
"match.c",2
"mbedcrypto_missing.c",1
"mbedtls.c",1
"messages.c",2
"misc.c",1
"native.c",1
"noop.c",1
"options.c",1
"packet_cb.c",3
"packet_crypt.c",2
"packet.c",2
"packet1.c",2
"pcap.c",2
"pkd_daemon.c",2
"pkd_hello.c",3
"pkd_keyutil.c",1
"pkd_util.c",1
"pki_container_openssh.c",2
"pki_crypto.c",1
"pki_ed25519_common.c",1
"pki_ed25519.c",2
"pki_gcrypt.c",1
"pki_mbedcrypto.c",4
"pki.c",1
"poll.c",1
"poly1305.c",1
"protocol.c",1
"proxy.c",1
"pthread.c",2
"sample.c",2
"samplesftp.c",1
"samplesshd-cb.c",1
"samplesshd-kbdint.c",2
"samplesshd-tty.c",2
"samplesshd.c",2
"sc25519.c",2
"scp_download.c",2
"scp.c",1
"senddata.c",1
"server.c",2
"session.c",2
"sftp.c",1
"sftpserver.c",1
"socket.c",2
"ssh_client_fuzzer.cpp",2
"ssh_client.c",2
"ssh_ping.c",1
"ssh_server_fork.c",1
"ssh_server_fuzzer.cpp",2
"sshd_direct-tcpip.c",2
"sshnetcat.c",2
"string.c",2
"strsep.c",1
"strtoll.c",1
"test_exec.c",1
"test_pcap.c",1
"test_server.c",1
"test_socket.c",1
"test_ssh_bind_accept_fd.c",1
"test_tunnel.c",1
"test-lc.c",1
"threads.c",3
"token.c",1
"torture_algorithms.c",2
"torture_auth_pkcs11.c",1
"torture_auth.c",2
"torture_bind_config.c",2
"torture_buffer.c",2
"torture_bytearray.c",1
"torture_callbacks.c",2
"torture_channel.c",2
"torture_client_config.c",2
"torture_client_global_requests.c",1
"torture_cmocka.c",1
"torture_config.c",1
"torture_connect.c",3
"torture_crypto.c",2
"torture_forward.c",2
"torture_hashes.c",2
"torture_hostkey.c",1
"torture_init.c",2
"torture_isipaddr.c",2
"torture_key.c",1
"torture_keyfiles.c",2
"torture_knownhosts_parsing.c",4
"torture_knownhosts_verify.c",1
"torture_knownhosts.c",2
"torture_list.c",2
"torture_misc.c",2
"torture_moduli.c",1
"torture_options.c",3
"torture_packet_filter.c",1
"torture_packet.c",2
"torture_pki_dsa.c",2
"torture_pki_ecdsa_uri.c",1
"torture_pki_ecdsa.c",2
"torture_pki_ed25519.c",3
"torture_pki_rsa_uri.c",1
"torture_pki_rsa.c",2
"torture_pki.c",1
"torture_proxycommand.c",1
"torture_push_pop_dir.c",1
"torture_rand.c",1
"torture_rekey.c",2
"torture_request_env.c",2
"torture_scp.c",2
"torture_server_algorithms.c",1
"torture_server_auth_kbdint.c",1
"torture_server_config.c",2
"torture_server_x11.c",2
"torture_server.c",3
"torture_session_keys.c",1
"torture_session.c",2
"torture_sftp_benchmark.c",1
"torture_sftp_canonicalize_path.c",2
"torture_sftp_dir.c",2
"torture_sftp_ext.c",1
"torture_sftp_fsync.c",1
"torture_sftp_read.c",2
"torture_sftp_static.c",2
"torture_temp_dir.c",1
"torture_temp_file.c",1
"torture_threads_buffer.c",2
"torture_threads_crypto.c",1
"torture_threads_init.c",1
"torture_threads_pki_rsa.c",2
"torture_tokens.c",1
"torture.c",1
"userauth.c",1
"winlocks.c",1
"wrapper.c",2
