"Arquivo","Variabilidades"
"angel_fake.c",3
"angel_log.c",1
"angel_main.c",1
"angel_plugin_core.c",4
"angel_proc.c",2
"backends.c",1
"base_lua.c",1
"chunk.c",3
"chunks.c",2
"condition.c",2
"environment.c",1
"fastcgi_stream.c",2
"gnutls_filter.c",3
"lighttpd.c",5
"log.c",1
"memcached.c",1
"mempool.c",2
"mod_access.c",1
"mod_accesslog.c",1
"mod_auth.c",2
"mod_cache_disk_etag.c",1
"mod_debug.c",1
"mod_deflate.c",2
"mod_fastcgi.c",1
"mod_flv.c",1
"mod_gnutls.c",4
"mod_limit.c",1
"mod_lua.c",1
"mod_memcached.c",1
"mod_openssl.c",24
"mod_scgi.c",1
"mod_status.c",2
"network_sendfile.c",5
"network_writev.c",1
"network.c",2
"openssl_filter.c",1
"plugin_core.c",5
"profiler.c",3
"server.c",6
"sys_memory.c",4
"sys-files.c",1
"sys-socket.c",2
"utils.c",13
"worker.c",2
