"Commit","EhAutor","Arquivo"
"000bb1a2e19a8ae39ed4fb782b64d230fee9afc6","Autor",1
"004e70479e2e54d00f22da5739f94f92c8aa3983","Colaborador",1
"0084f21174370ac551cd570e10e035565f04d5a2","Autor",1
"00869413eee3a62d4fb82ca19aa6912733270474","Colaborador",1
"0087b8cfc2bad16c4f02f0f629ba4d0a3471c613","Autor",1
"0087b8cfc2bad16c4f02f0f629ba4d0a3471c613","Colaborador",1
"00926c8049627713f64944f7a5029ad3d1b8303a","Autor",1
"00926c8049627713f64944f7a5029ad3d1b8303a","Colaborador",1
"00ed27c509351e6301d9e83d6c9304b4b169ac94","Colaborador",1
"00ef8599cf4ab7da26486c01608f44f66b600451","Colaborador",1
"01068d7f1ddc4fa99b54ad929e2687e427837674","Autor",1
"013297bc9b7e788cd33b67208fbcc5f1fd91ac73","Autor",1
"018baa0375c3c47f871dc7e6f193fb7c7652d4f4","Colaborador",1
"01abf704a3f9c64a437c4f50a996a63560c44da6","Autor",1
"01abf704a3f9c64a437c4f50a996a63560c44da6","Colaborador",1
"0242db13979471e8c82c6f5e783175508fd97fd7","Colaborador",1
"0247ee879f5b845a23001ab6b9ae7c787c345a0e","Autor",1
"0247ee879f5b845a23001ab6b9ae7c787c345a0e","Colaborador",1
"025f0b5f84cf8752a125e71dd07cb8e7a83f1dea","Autor",1
"02c8be5afd482cae554f269f99307bcf8aba6899","Colaborador",1
"031b4d17e4c058f10052c11f7dd97a896c917039","Autor",1
"031b7bf7df02d75b87a59d016c55faedb8263d93","Autor",1
"0320330685745a06a55718c4f2b5a7cf24d5de14","Autor",1
"0325d10f4a50ac5c93110640663f6f75e93f32ff","Autor",1
"0372f3a671c4d94745cf12c36d3fd0f64d815151","Autor",1
"037c78e8ed2b4530e2e02b2b594e5928fd84b5f3","Colaborador",1
"041681dc8f27da0b8d0c3caf6aa1232ee9f21a14","Autor",1
"047bb1f0bd1ec32d3475cb1eea5328e9a4a4d019","Autor",1
"048a7d9144205804ad62aa5f98f1380326727221","Autor",1
"048c66938cc65d6b49fe592c9d566074a50fc44a","Autor",1
"04be82496a53652e2c27f5187d1392841c93b427","Autor",1
"04c6aa93cfc09e220b19a6c17fd8ecc4e99256a4","Colaborador",1
"04dea4289262548f7ebf4933ac9422767f748312","Autor",1
"04e54a4388901b6a49501d58e197e1cb6c72ef9b","Autor",1
"050d0d60d64e63990f9dc7877c42b2cfae6869cb","Colaborador",1
"053739a46d44f088a28761545e485f4faafc21e7","Autor",1
"05bc7981a64215731b36f4d6ba2e7c0d65b516ec","Colaborador",1
"05e058aa9cfc9cf0a5772df4fe5e0ede97c10f65","Autor",1
"06225998c6eabf9677fcfb7683fddea11ec8aa37","Autor",1
"06c7dfd3b9aef6f1ecde6ae232f5c35be5c0b833","Colaborador",1
"0719779fd2e0de2352c4eebcd2965550a63fa59c","Colaborador",1
"074f53744a2eac6787d14fa258dbf0f295407f78","Colaborador",1
"0756c1039ffce9ec38cc4bdf407046621d810d0c","Autor",1
"079c365f39537e0a28829ce49e57a5e6a136a047","Autor",1
"08de1fe4c91e40deacb2a7aa993c1727d1682afb","Autor",1
"08e336467fc5f73f12a63f2152007221926fa055","Colaborador",1
"09002ad8275e627f6f976fa76fb34d58ceda4ddd","Colaborador",1
