"Commit","Variabilidades"
"011380dcb7a21625678451dd98c29dcce8ec529b",1
"096e7667beb986c81791ce67c6784d72a56b6dc2",1
"0a514f657ea6525667ef1cd09d92882d63935820",4
"0b8365ca2995bc7d60bb3e2cc1a80e29e39046a4",2
"0d85a068c873752541b9c8bbf861d10296531710",1
"0fcbfb7ab7d1150014ab2a60ec139b639f85c705",1
"0fe57dc215563c79d141ec506fbd9bf541547be3",2
"14660bee4ff4bb94d57b099918afc89e32eaacd0",1
"17a516879320164618754a5cc52f50d51b13483d",1
"186309f529cae03333eb7a80822d8e56e08061e2",1
"1bc8c852662b7df62fb74c0e1272aa06ccbef73e",1
"1ce3b7fa2493a9bc4f3b0ba7dcf10934085d6439",1
"1df869edc39e1f04ee9d3eb44bc46cdd9065513f",2
"1dfa1c37f22f212efde1c2192ea41a4397cea60f",2
"1e115c522d02b2cdef721b30a5811c6e68e3c598",1
"20c3e7d6ad383a56a22f4b2d7fbfdd80e5e7d339",4
"2d52ff9170df2dd66eaf31922807d0360fa77e1b",1
"2d57e56bdc2074af8b36a5c93a81146e79288a77",1
"2fbc7b140874f48bbbffd95bbed2041cd04144f0",1
"304263f4a1a22b6f1745496f516431fb06d2e28f",1
"3194226966c203d2626f2cd00462f46edd5ee422",1
"31e581456d4d629a5603e76bd96ad206539addbe",1
"324224fe2e14f461bd838906dabcdfedc95cc7ef",1
"36b901afa77fb2896467a183a8020286a488b74f",1
"392e7bb823131377bc954c01bd7b0886422f09ed",1
"3bc425fef126a0bcdaef4e60bea6970c67bef5a3",1
"3dc644cf4008d6aa26298e2e5b7aff26c359070b",1
"4afebee1c74a3da2a3512f6c30b415cbff568dc0",4
"4ec620bfaca849c5b2c555c69a378cd90e7f852c",2
"505bfb053f481b39ffd0f03336e4a8511f45883e",1
"5e063e2b04320ff2714b1b30277968f1a84355fd",1
"5e309192917f958f2f64824833561d9ed2f18f1f",20
"659ebfdd16fb7d79c96dbde2075e0af80a2019f8",1
"6c573e5e00c7d878d143ef9fddb99497892826a5",2
"754ee742b2ffbce68c25cf640365a2dafb745c83",2
"75505f73e1df5b9fef99b13cff8f05b4d9769c0f",4
"777232ab5db4a9416767070e741f09391d11c737",1
"796f6b1547468f2d6f66ea722e99cb3b87210be9",1
"7fb0148348d956133a6b918914abee8f877ef463",1
"81ff95db844d8ddb995f0847b67aee30459d49df",1
"859ee3baec0a572fd340669f4f6d1e683e552a0c",1
"85fc9dbb6d325ffea96ab9707ca7c1e83f3a75b4",2
"8a180de1000fdcd994a9a5c69bb3a6c1ee3029cb",1
"8d417cec1b0f20248ba61ff993199b41d9760446",1
"92904247d68c69607a4ee05c166cab84290e7887",3
"931e8fea0c6e0322daa1bc3eece573a38b8f41a7",1
"9372e413939dd542f336994b6adc6ac7e1b3744e",4
"94b4dcc764891979a209451563ec1a4365e45472",4
"975ca1cddff1a33c0bdadc5ba6f479c62c883c91",1
"99733ef5a7ef3ae3f7f5825c09d7b665ebff6468",1
"9c63e60cb7d7b0a9ba8bc6e6c1d36f518481b3e5",4
"a14a7092379eecc514630178f7bc53d5cbee6eeb",2
"a3b7ce74af9e9b1b61ee1c37d0f1787392706679",1
"a863b6f7e9c0e366531ba099838580f81b368009",1
"ab9421a5e149cdeafcc95dc39b96e565551a269e",2
"acd2967534054e3d3600e0c7d2968fef2a2c1509",1
"aeb88422a0f7c8813dc04a3a3a14a414dd2ad2eb",1
"aff9544b9583893ab3bd327f2927ef554f0a2926",1
"b028ad841f506e093a09c88918f8c2e04ef4cbd0",1
"b033f0c194d4dd23d8e48cf92fed56b83fdd87e3",1
"b41cc2898a91f7e2b458f8cebf8fe216afe4ac43",1
"b5009f18dfd5099fecf639a15b183f561183f6fb",2
"b6ee9241ad52e68b5efdc7ce87548feb10dfd498",3
"b74ec36c1e2d488583cb3a7017207e8b5413f9db",2
"bedcc3d46a3288a31af7eb7a3da63125d04f8fc9",1
"c0128fea48b1d1332db1c2f97c88e9322dc1b6f7",2
"c3164aba8ba0f1267d37b6282a6e3db7ef80e8f5",1
"c458377d4a8b0dd06c1773aaa41121be253bcd04",1
"c612995cfe642a212fa258bb8eaff2eb0e89d800",1
"c72ee99ad7131066d7c6ff389a41aab44fa06325",1
"c7a39e4da1ad0634f26c1037aba1c08c50e7d2b4",1
"c8b27d74623d9a2b82e843df59fb7efe702a1325",1
"cd1a0684c78958c7bc0ba6b8e1b12678767ca7c1",1
"d0f6484e7ccdb6f24d9ae310015c2d049ab06cfd",1
"d9228f3ef0660606b90e83411de587d6456c492a",1
"dd4ed2c560051aae6e2946456ad875d47f68e89c",1
"df961673626475786bc0080210bea7fb7508109a",3
"e2eb4f774dd9c1bcf494725feb64b5d626e7727b",1
"e3393ce2f5c0d284bc7c2a4dd107179c5d935021",2
"e4e16c7da963c0974f0252e6acb95ea7bec02d56",2
"edd74a0e3ce9dfa8ff115bc86f74965e23cf8afd",1
"f1f1aacdfe2241fdbf067b6f0387fe64484cf2b1",1
"f285ad372e730d5e72b13c7062a63e1bf5c91cef",1
"f4280dca8b05dfdfb6728364c7760a7b289d6c3f",1
"f48287782554ae5f3ec411a0c13086c8a204ca12",1
"f4f2bd1f38cd100ad7fa7d07123c3172dceeabcf",2
"f8be820c364df06010b0fa702cdc7a94800c0d23",1
"f9b12036fe95a6fb9d6a70b8a17b5b02fb6fba4a",1
"fcf8e455abb076a1e8e81055308c3420f10a3cf7",1
"ff69160c346fd09f3a6bd1148f8652a7c63e5e7a",2
"ff9b6c44613c60b0d27cb16d5b93b206c866e88f",1
