"Desenvolvedor","Data","EhAutor","Variabilidades"
"Stefan Buhler","2008-06-01","Autor",4
"Stefan Buhler","2008-06-01","Colaborador",3
"Stefan Buhler","2008-07-01","Colaborador",4
"Stefan Buhler","2008-08-01","Autor",3
"Stefan Buhler","2008-08-01","Colaborador",6
"Stefan Buhler","2008-09-01","Colaborador",1
"Stefan Buhler","2008-10-01","Colaborador",1
"Stefan Buhler","2008-11-01","Autor",1
"Stefan Buhler","2008-11-01","Colaborador",7
"Stefan Buhler","2008-12-01","Autor",1
"Stefan Buhler","2008-12-01","Colaborador",1
"Stefan Buhler","2009-01-01","Colaborador",3
"Stefan Buhler","2009-02-01","Autor",1
"Stefan Buhler","2009-03-01","Autor",1
"Stefan Buhler","2009-03-01","Colaborador",2
"Stefan Buhler","2009-04-01","Colaborador",1
"Stefan Buhler","2009-05-01","Autor",1
"Stefan Buhler","2009-06-01","Autor",5
"Stefan Buhler","2009-07-01","Autor",2
"Stefan Buhler","2009-07-01","Colaborador",6
"Stefan Buhler","2009-08-01","Autor",1
"Stefan Buhler","2009-09-01","Autor",2
"Stefan Buhler","2009-09-01","Colaborador",2
"Stefan Buhler","2009-10-01","Colaborador",8
"Stefan Buhler","2009-11-01","Autor",2
"Stefan Buhler","2009-11-01","Colaborador",1
"Stefan Buhler","2009-12-01","Autor",1
"Stefan Buhler","2009-12-01","Colaborador",2
"Stefan Buhler","2010-01-01","Colaborador",2
"Stefan Buhler","2010-02-01","Colaborador",3
"Stefan Buhler","2010-03-01","Colaborador",1
"Stefan Buhler","2010-04-01","Colaborador",1
"Stefan Buhler","2010-05-01","Colaborador",5
"Stefan Buhler","2010-06-01","Autor",1
"Stefan Buhler","2010-06-01","Colaborador",2
"Stefan Buhler","2010-07-01","Colaborador",1
"Stefan Buhler","2010-08-01","Colaborador",2
"Stefan Buhler","2010-09-01","Autor",3
"Stefan Buhler","2010-10-01","Autor",1
"Stefan Buhler","2010-10-01","Colaborador",3
"Stefan Buhler","2010-11-01","Colaborador",1
"Stefan Buhler","2010-12-01","Autor",1
"Stefan Buhler","2011-01-01","Colaborador",1
"Stefan Buhler","2011-03-01","Autor",1
"Stefan Buhler","2011-04-01","Autor",1
"Stefan Buhler","2011-05-01","Colaborador",2
"Stefan Buhler","2011-08-01","Autor",1
"Stefan Buhler","2011-11-01","Colaborador",1
"Stefan Buhler","2011-12-01","Colaborador",2
"Stefan Buhler","2012-01-01","Colaborador",1
"Stefan Buhler","2012-03-01","Colaborador",1
"Stefan Buhler","2012-04-01","Colaborador",1
"Stefan Buhler","2012-06-01","Colaborador",1
"Stefan Buhler","2012-10-01","Colaborador",1
"Stefan Buhler","2012-12-01","Autor",1
"Stefan Buhler","2013-01-01","Autor",1
"Stefan Buhler","2013-04-01","Autor",2
"Stefan Buhler","2013-05-01","Autor",4
"Stefan Buhler","2013-05-01","Colaborador",6
"Stefan Buhler","2013-06-01","Autor",2
"Stefan Buhler","2013-06-01","Colaborador",2
"Stefan Buhler","2013-07-01","Autor",1
"Stefan Buhler","2013-08-01","Autor",1
"Stefan Buhler","2013-08-01","Colaborador",3
"Stefan Buhler","2013-09-01","Colaborador",2
"Stefan Buhler","2013-12-01","Colaborador",1
"Stefan Buhler","2014-01-01","Colaborador",2
"Stefan Buhler","2014-02-01","Colaborador",1
"Stefan Buhler","2014-04-01","Autor",4
"Stefan Buhler","2014-04-01","Colaborador",2
"Stefan Buhler","2014-05-01","Colaborador",21
"Stefan Buhler","2014-06-01","Colaborador",1
