"Commit","Data","Classificacao_ownership","Desenvolvedor","Total"
"031b7bf7df02d75b87a59d016c55faedb8263d93","2008-06-01","Major",4,2679
"503e8d7859771ba4588e3877263be2819434be8a","2008-06-01","Major",1,2679
"777232ab5db4a9416767070e741f09391d11c737","2008-06-01","Major",1,2679
"9372e413939dd542f336994b6adc6ac7e1b3744e","2008-06-01","Major",9,2679
"c612995cfe642a212fa258bb8eaff2eb0e89d800","2008-06-01","Major",3,2679
"04dea4289262548f7ebf4933ac9422767f748312","2008-07-01","Major",1,2679
"0ec240464743eed7b416b6844f65453c84580557","2008-07-01","Major",1,2679
"16f2068fadd1cdbb08b76f65f8f9e23415eb2360","2008-07-01","Major",1,2679
"18413d698ac59cdba35d3e39275988e9e803e008","2008-07-01","Major",7,2679
"2537bb9d82cf1fffa67541bb6923293d2fc96b9a","2008-07-01","Major",2,2679
"2f7359b14c91e63215b09dd627c3592cb4be8386","2008-07-01","Major",10,2679
"41a14f5b44f69c5361a66b3b9e71c1a7e8aefbed","2008-07-01","Major",1,2679
"4880a44903bf314e324a7fd95f7be1bf91f857b1","2008-07-01","Major",1,2679
"49dfcddc2abae19a11d425c5c06ca9f45fe4440f","2008-07-01","Major",1,2679
"5045a5ee0416b5f84012dc692ea0b53fbed0ab90","2008-07-01","Major",2,2679
"50bb61a04157f9b1ba8d6ba601e9a54a9282a655","2008-07-01","Major",5,2679
"57701f997d6ca2887de98560c26d70aab8731055","2008-07-01","Major",3,2679
"5c472203d79306454bf5295db720b8d8b64cdc96","2008-07-01","Major",1,2679
"5cee4c1fa476a6653694ed879e459d679e065bc9","2008-07-01","Major",3,2679
"607e1897efa3480f81aa8d09427fc1b7d84be13f","2008-07-01","Major",1,2679
"6b8bbdabde11e484726520b97ef439b21eb2ffee","2008-07-01","Major",1,2679
"6bbfe1e43ef84eaba9a95b61108ca3e2a76861b3","2008-07-01","Major",1,2679
"6c7d8a1165b6bcd0a4508262eac1d42bca77ef7a","2008-07-01","Major",2,2679
"6ee405f3cbf82b76c14a9166b7f7a2023486b35d","2008-07-01","Major",2,2679
"88f6a30274103d1e2e154b45f4c29d86373dcb7a","2008-07-01","Major",2,2679
"8c8b77bac2375c660720d2beb80f736a8f62a42e","2008-07-01","Major",2,2679
"8eb66703880d6158f8868c0ffaede36cb685de98","2008-07-01","Major",1,2679
"9858f4ee66f7125623fafd40af92f9c9d17fa98a","2008-07-01","Major",1,2679
"a1414bce60348a776aa76528d2f79399ee64ef38","2008-07-01","Major",1,2679
"a37ec08db5ce8baccfc138c5934d5ad2260110b1","2008-07-01","Major",2,2679
"a662b01aca239d511fd3639294e029d9dbfa803f","2008-07-01","Major",1,2679
"aa297fe7b2ec3009a6a34647b3e0cfa61ce2447c","2008-07-01","Major",1,2679
"aca2f46bf6bca2a79ba62e82c43e5b42f9114001","2008-07-01","Major",3,2679
"acf42d82b43a5e5c8b8d8f8cdf19f9301b670379","2008-07-01","Major",2,2679
"aff9544b9583893ab3bd327f2927ef554f0a2926","2008-07-01","Major",2,2679
"b2697e7cb8baf9c173192333222ec437b1cb2a94","2008-07-01","Major",1,2679
"b74a2ba5d3e11c36cee8938a1b0037a52e8a15b4","2008-07-01","Major",1,2679
"b871c6cafa9d92c208b620d894ed80492f5bba14","2008-07-01","Major",1,2679
"c342be6424de26ec8da0c1a959345085bd013539","2008-07-01","Major",5,2679
"cbf88bb3eec966af9d133596f4984dc9d08f360a","2008-07-01","Major",2,2679
"d10756d04779fe3a6377fc09e7dfeac73b1ee5e7","2008-07-01","Major",1,2679
"ded5777ea28a31d6f5ce110cd5c66f73b299cb92","2008-07-01","Major",2,2679
"e44aea16ba5a6a197206f01178f10320dfcf02be","2008-07-01","Major",1,2679
"e80f384fac5a177840b3521be0bf8b43351bee32","2008-07-01","Major",2,2679
"f5fdc416443c85d0191a7bd7aaa7d7f1ee2e46ee","2008-07-01","Major",1,2679
"fccd44f2ad0a327fb9ddcc55fd7f196f9738c0b3","2008-07-01","Major",3,2679
"fcf8e455abb076a1e8e81055308c3420f10a3cf7","2008-07-01","Major",1,2679
"ff9b6c44613c60b0d27cb16d5b93b206c866e88f","2008-07-01","Major",1,2679
"03458817ccbf6d849dfd596e72f143a52f907ff8","2008-08-01","Major",6,2679
"066d0f53420daeb544698f4684bb547f3d9d430e","2008-08-01","Major",3,2679
"09481f470fdb8018567535c29f9492815f90efb0","2008-08-01","Major",1,2679
"0a514f657ea6525667ef1cd09d92882d63935820","2008-08-01","Major",15,2679
"0d4b5ee989e6aec6f5579c20c0049b2eb1e41e87","2008-08-01","Major",1,2679
"124e21ee7dabb0e3a5b67730a78f9dfaca8d5f3c","2008-08-01","Major",1,2679
"179021ca1834e57fbf3b1d7af90a5b426e5486b8","2008-08-01","Major",1,2679
"1798e226ffab72cab991c6da94cd8df4cd88407f","2008-08-01","Major",1,2679
"1901397a0e27f4e9f13ba572bfdfe73ed8a12608","2008-08-01","Major",2,2679
"1bc8c852662b7df62fb74c0e1272aa06ccbef73e","2008-08-01","Major",9,2679
"1ed36c93b9349af79d0afdbb38cb1680018b4339","2008-08-01","Major",4,2679
"2546ce9259d9085be3317b5f7d6c2345633f1948","2008-08-01","Major",4,2679
"2d08b0b8230cef9aadcc5adc452de0e2cfcbf006","2008-08-01","Major",2,2679
"2fbc7b140874f48bbbffd95bbed2041cd04144f0","2008-08-01","Major",13,2679
"3041e2429d7e18301a756ac87d14a7738b5cbdad","2008-08-01","Major",1,2679
"3b4e8f6f8de0d47e6f0dc80859a217707372d7a3","2008-08-01","Major",3,2679
"475300d1aa61c26f1473ee7cf472e0f31398b2d6","2008-08-01","Major",1,2679
"486f64bd7d62b9304c4a7471e01bd80f16dba72e","2008-08-01","Major",3,2679
"491b7880cbd62fa9debc9750fd9ad24ad5421cb3","2008-08-01","Major",2,2679
"4d55315487fb1342ef4bd0fcf3d37d24e2b25b6e","2008-08-01","Major",1,2679
"52c5b05713d3159464f5ba40a902ab12ac253aca","2008-08-01","Major",1,2679
