"Variabilidades","Desenvolvedor","Valor","Total"
"_WIN32",1,"2008-06-01",94
"HAVE_INET_ATON",1,"2008-06-01",94
"HAVE_MADVISE",1,"2008-06-01",94
"HAVE_PCRE_H",1,"2008-06-01",94
"HAVE_LUA_H",1,"2008-07-01",94
"defined _WIN32",1,"2008-08-01",94
"HAVE_POSIX_FADVISE",1,"2008-08-01",94
"O_NONBLOCK",1,"2008-08-01",94
"TCP_CORK",1,"2008-08-01",94
"UIO_MAXIOV",1,"2008-08-01",94
"(HAVE_POSIX_FADVISE) && (POSIX_FADV_SEQUENTIAL)",1,"2008-11-01",94
"(USE_LINUX_SENDFILE)",1,"2008-11-01",94
"defined(USE_FREEBSD_SENDFILE)",1,"2008-11-01",94
"defined(USE_OSX_SENDFILE)",1,"2008-11-01",94
"defined(USE_SOLARIS_SENDFILEV)",1,"2008-11-01",94
"HAVE_IPV6",2,"2008-11-01",94
"USE_SENDFILE",1,"2008-11-01",94
"HAVE_SYS_UN_H",1,"2009-01-01",94
"DEFAULT_LIBDIR",1,"2009-07-01",94
"LIGHTTPD_REVISION",2,"2009-07-01",94
"HAVE_BZIP",1,"2009-09-01",94
"HAVE_GMTIME_R",2,"2009-09-01",94
"HAVE_LOCALTIME_R",2,"2009-09-01",94
"HAVE_ZLIB",1,"2009-09-01",94
"CMSG_SPACE",1,"2009-10-01",94
"HAVE_CRYPT_H",1,"2009-10-01",94
"HAVE_CRYPT_R",1,"2009-10-01",94
"HAVE_GETRLIMIT",1,"2009-10-01",94
"HAVE_SYS_RESOURCE_H",1,"2009-10-01",94
"MEMPOOL_MALLOC",1,"2009-11-01",94
"WITHOUT_CONFIG_PARSER",1,"2009-12-01",94
"FD_CLOEXEC",2,"2010-04-01",94
"(LIGHTY_OS_LINUX) && 0",1,"2010-05-01",94
"(LIGHTY_OS_MACOSX)",2,"2010-05-01",94
"defined(LIGHTY_OS_LINUX)",2,"2010-05-01",94
"HAVE_EXECINFO_H",2,"2010-05-01",94
"LIGHTY_OS_LINUX",2,"2010-05-01",94
"SO_ERROR",1,"2010-06-01",94
"(LIGHTY_OS_LINUX)",1,"2010-07-01",94
"defined(LIGHTY_OS_FREEBSD)",1,"2010-07-01",94
"defined(LIGHTY_OS_MACOSX)",1,"2010-07-01",94
"defined(LIGHTY_OS_SOLARIS)",1,"2010-07-01",94
"DEFAULT_LIBEXECDIR",1,"2010-08-01",94
"DEFAULT_LUADIR",1,"2010-09-01",94
"EPROTO",1,"2010-10-01",94
"HAVE_ACCEPT4",1,"2011-05-01",94
"WITH_PROFILER",2,"2011-11-01",94
"SSL_OP_NO_COMPRESSION",1,"2011-12-01",94
"FCGI_DEBUG",1,"2013-05-01",94
"GLIB_VERSION_2_30",1,"2013-05-01",94
"HAVE_GIOVEC",1,"2013-05-01",94
"LIGHTY_OS_NETBSD",1,"2013-05-01",94
"LIGHTY_OS_OPENBSD",1,"2013-05-01",94
"TCP_FASTOPEN",1,"2013-05-01",94
"USE_CORK",1,"2013-05-01",94
"HAVE_SAVE_RENEGOTIATION",1,"2013-06-01",94
"HAVE_SESSION_TICKET",1,"2013-06-01",94
"USE_SNI",1,"2013-06-01",94
"USE_OPENSSL_DH",1,"2013-08-01",94
"USE_OPENSSL_ECDH",1,"2013-08-01",94
"GNUTLS_ALPN_MAND",1,"2013-09-01",94
"HAVE_LIBUNWIND",1,"2014-04-01",94
"SSL_OP_ALL",1,"2014-05-01",94
"SSL_OP_EPHEMERAL_RSA",1,"2014-05-01",94
"SSL_OP_MICROSOFT_BIG_SSLV3_BUFFER",1,"2014-05-01",94
"SSL_OP_MICROSOFT_SESS_ID_BUG",1,"2014-05-01",94
"SSL_OP_MSIE_SSLV2_RSA_PADDING",1,"2014-05-01",94
"SSL_OP_NETSCAPE_CA_DN_BUG",1,"2014-05-01",94
"SSL_OP_NETSCAPE_CHALLENGE_BUG",1,"2014-05-01",94
"SSL_OP_NETSCAPE_DEMO_CIPHER_CHANGE_BUG",1,"2014-05-01",94
"SSL_OP_NETSCAPE_REUSE_CIPHER_CHANGE_BUG",1,"2014-05-01",94
"SSL_OP_NO_SSLv2",1,"2014-05-01",94
"SSL_OP_NO_SSLv3",1,"2014-05-01",94
"SSL_OP_NO_TLSv1",1,"2014-05-01",94
"SSL_OP_PKCS1_CHECK_1",1,"2014-05-01",94
"SSL_OP_PKCS1_CHECK_2",1,"2014-05-01",94
"SSL_OP_SINGLE_DH_USE",1,"2014-05-01",94
"SSL_OP_SSLEAY_080_CLIENT_DH_BUG",1,"2014-05-01",94
"SSL_OP_SSLREF2_REUSE_CERT_TYPE_BUG",1,"2014-05-01",94
"SSL_OP_TLS_BLOCK_PADDING_BUG",1,"2014-05-01",94
"SSL_OP_TLS_D5_BUG",1,"2014-05-01",94
"SSL_OP_TLS_ROLLBACK_BUG",1,"2014-05-01",94
"(HAVE_PIN)",1,"2016-08-01",94
"OPENSSL_VERSION_NUMBER < 0x10100000L || (LIBRESSL_VERSION_NUMBER)",1,"2017-01-01",94
