"Arquivo","Desenvolvedor"
"actions_lua.c",1
"actions.c",1
"angel_connection.c",1
"angel_data.c",1
"angel_fake.c",1
"angel_log.c",1
"angel_main.c",1
"angel_plugin_core.c",1
"angel_plugin.c",1
"angel_proc.c",1
"angel_server.c",1
"angel_value.c",1
"angel.c",1
"backends.c",1
"base_lua.c",1
"base.c",2
"buffer.c",1
"chunk_lua.c",1
"chunk_parser.c",1
"chunk.c",1
"chunks.c",1
"collect.c",1
"condition_lua.c",1
"condition.c",1
"config_lua.c",1
"connection_lua.c",1
"connection.c",1
"core_lua.c",1
"encoding.c",2
"environment_lua.c",1
"environment.c",1
"etag.c",1
"events.c",1
"fastcgi_stream.c",1
"fetch.c",1
"filter_buffer_on_disk.c",2
"filter_chunked.c",1
"filter.c",1
"filters_lua.c",1
"gnutls_filter.c",1
"gnutls_ocsp.c",1
"http_headers_lua.c",1
"http_headers.c",1
"idlist.c",1
"jobqueue.c",1
"lighttpd_glue.c",2
"lighttpd_worker.c",2
"lighttpd-glue.c",2
"lighttpd.c",2
"log.c",2
"memcached.c",1
"mempool.c",2
"mimetype.c",2
"mod_access.c",2
"mod_accesslog.c",2
"mod_auth.c",1
"mod_balance.c",1
"mod_balancer.c",1
"mod_cache_disk_etag.c",1
"mod_debug.c",1
"mod_deflate.c",1
"mod_dirlist.c",1
"mod_expire.c",2
"mod_fastcgi.c",1
"mod_flv.c",2
"mod_fortune.c",2
"mod_gnutls.c",1
"mod_limit.c",2
"mod_lua.c",1
"mod_memcached.c",1
"mod_openssl.c",1
"mod_progress.c",2
"mod_proxy.c",1
"mod_redirect.c",2
"mod_rewrite.c",2
"mod_scgi.c",1
"mod_status.c",2
"mod_throttle.c",1
"mod_userdir.c",2
"mod_vhost.c",2
"module.c",2
"network_linux_sendfile.c",2
"network_sendfile.c",1
"network_write.c",1
"network_writev.c",1
"network.c",1
"openssl_filter.c",1
"options_lua.c",1
"options.c",2
"pattern.c",2
"physical_lua.c",1
"plugin_core.c",2
"plugin.c",1
"profiler.c",2
"radix.c",2
"request_lua.c",1
"request.c",1
"response_lua.c",1
"response.c",1
"server.c",1
"stat_cache.c",2
"stat_lua.c",1
"stream_http_response.c",1
"stream_simple_socket.c",1
"stream.c",1
"subrequest_lua.c",1
"sys_memory.c",1
"sys_socket.c",1
"sys-files.c",1
"sys-socket.c",1
"tasklet.c",1
"test-chunk.c",1
"test-http-request-parser.c",1
"test-ip-parser.c",1
"test-radix.c",1
"test-range-parser.c",1
"test-utils.c",1
"tests.c",2
"throttle.c",2
"utils.c",1
"value_impl.c",1
"value_lua.c",1
"value.c",1
"virtualrequest_lua.c",1
"virtualrequest.c",1
"waitqueue.c",2
"worker.c",1
