"Arquivo","Variabilidades"
"alloca.c",11
"ansi2knr.c",2
"builtin.c",3
"debug.c",2
"error.c",10
"eval.c",2
"evalmp.c",1
"exitfail.c",1
"format.c",1
"freeze.c",2
"getopt.c",19
"getopt1.c",11
"gnu.c",9
"hash.c",1
"import.c",1
"input.c",1
"list.c",1
"ltdl.c",43
"m4.c",7
"m4error.c",7
"m4module.c",2
"m4obstack.c",9
"m4regex.c",32
"macro.c",1
"main.c",8
"modtest.c",1
"module.c",2
"mpeval.c",1
"numb.c",2
"obstack.c",12
"output.c",6
"path.c",1
"perl.c",1
"progname.c",1
"regex.c",56
"shadow.c",1
"stackovf.c",14
"stdlib.c",5
"strndup.c",3
"strnlen.c",2
"strtol.c",18
"symtab.c",2
"syntax.c",1
"time.c",5
"traditional.c",3
"utility.c",1
"version-etc.c",1
"xmalloc.c",7
"xstrdup.c",4
"xstrndup.c",1
"xstrzdup.c",1
