"Commit","EhAutor","Arquivo"
"01c5807a56be04620dbe3ff50f72358ef1ed88ed","Colaborador",1
"0272fa99f3cfa800daa5b8a8222611ad8d315937","Colaborador",1
"028f5c5976a35256f5fa3804f33292a75ba56c6e","Colaborador",1
"03c4e545afedafff51cce3a73aec5172482c0120","Colaborador",1
"047d480cdc9ff71e4e3228017ca24a83737cbf1f","Colaborador",1
"07dce5c8894c2ebe96a38d3c5d23e1cbc1c981a4","Autor",1
"0813dcfc0d5945c80e1440d779e8f7f592a1f0ea","Colaborador",1
"081c86f34daa1ff1cf2bc03017fc68f3b9ad04bc","Colaborador",1
"0836ac002d5603d3de494f7d1e296b22a3337f5e","Colaborador",1
"083f98f05fadf5b6256b7facb37a120955f58c00","Colaborador",1
"08cd2e151ca967cd8e53947f40d0dd2aba1bcdd9","Autor",1
"095b0ebd7497ad0e245d0bf6310fc9f0447cccc1","Colaborador",1
"0b0f9b371728717b30e2c846978441f085000a09","Colaborador",1
"0bed0cfbcc944a93edf719af0db3c8097fc8122f","Colaborador",1
"0c088ac9a6c1ab755a2f65a5577bc6eb188950a9","Autor",1
"0d558ad94060c4573d2c2640444d6dc82103ff52","Colaborador",1
"0db7c1504d4bec63381e1bd6385d8a8ded8f309b","Colaborador",1
"0e14ae3e78f06cefeabb61ca23ddbdf00afc2a00","Colaborador",1
"0ed86b0025e4a69bed0dd29a14e0fe8c4137baea","Autor",1
"0fb36e12c3269d59d40bf12d558ca25c030107dd","Colaborador",1
"1117977cc5c466546f155bacb82e9dd9a2f5b049","Colaborador",1
"146924c22280e37a0ad4b1fe147ca0899fb3fccb","Colaborador",1
"1722215a83e85c5d0edf5e5431925b0a08d1a334","Autor",1
"1761b0d68f12c701abfdcf0a36d955f787849e3c","Colaborador",1
"17c36f8b030aec43612b8b9a79f270293ac69975","Colaborador",1
"180376508cd4345812278d896024a3f3cd5746d1","Colaborador",1
"19c823f477a093cf19c9d79886e73eb0c0e2edd4","Colaborador",1
"1b291af14992d6d330e7fd034d7103da4353f85d","Colaborador",1
"1b6af058955698bbe97dab699a208ece8c0493ca","Colaborador",1
"1f2f1e997980014af57a7780809ede5d6dbeacc6","Autor",1
"1f2f1e997980014af57a7780809ede5d6dbeacc6","Colaborador",1
"2243fca7d2467700d05ea05c650115702cb49ab0","Colaborador",1
"22b46f4ab25c345937d656a91adfe0c2a433a1f0","Autor",1
"22f445f46540022e6251591aa698f8234a14ae83","Colaborador",1
"23b5e7571c2afd7c168b0718bb86466fbbddfbb9","Colaborador",1
"2510870d46c28568affaa04f31462cd77fcf36f8","Colaborador",1
"25f5825272d2e2aa17c0c626026c5b7ba6dbd6f5","Autor",1
"2985bdaf4e577ce8c6f690b8705ea1e57daff01c","Colaborador",1
"2a81277e8b963000c6365bfed87c4f1e523904d0","Colaborador",1
"2c19e82d5d813565abfc2aca0085e1da339416fd","Colaborador",1
"2c7b5e5410536f7fe4c81be2d639ca8a029ebdc3","Colaborador",1
"2cb4aa350a1dbaa2073446ae6a9900523ffeb317","Colaborador",1
"2fb0cd6641e3223474ac2487605938cfafc7f540","Colaborador",1
"3015ff90bef2b98f98912d496110ccade8f93cc1","Colaborador",1
"306ef6b90e323997276e13788feec4b6dfe2c4d2","Colaborador",1
"3285293706f3a2af3a3c5c97ec48c59a0b8bf63f","Colaborador",1
"33ac212bed1448f8fd9b87f94f4c1c79461f2eaf","Colaborador",1
"3834539812ee0415494f2bfd1aa1d67745b1b293","Colaborador",1
"394083c7c6df499eedb10173ac838aced7d00a34","Colaborador",1
"3998b3ad447a3200ce8a040b860a8fd0e109850b","Colaborador",1
"3aa86615d46144acfff9b7ff60cdec4f7cc2a43d","Colaborador",1
"3c8f27fde86af3e70a6831944f9c8fb8c8832ae2","Colaborador",1
"3e94491ce48d87420b5b38cf5e7a274e6539a600","Colaborador",1
"3ec47b1812dfba17c1f34992d74d1ed7c6e7950f","Colaborador",1
