"Commit","Variabilidades"
"00619f6150e3cc9252725e62fdb231de51e6cf32",1
"03c4e545afedafff51cce3a73aec5172482c0120",2
"076b2ba6c0de5d11cea357954c9a7d7b9e1a9419",1
"07dce5c8894c2ebe96a38d3c5d23e1cbc1c981a4",4
"081c86f34daa1ff1cf2bc03017fc68f3b9ad04bc",31
"0b0f9b371728717b30e2c846978441f085000a09",1
"0c088ac9a6c1ab755a2f65a5577bc6eb188950a9",7
"0ed86b0025e4a69bed0dd29a14e0fe8c4137baea",1
"146924c22280e37a0ad4b1fe147ca0899fb3fccb",1
"1691fa49fb62043d4f660397c2d15742cb2aa4dd",14
"1722215a83e85c5d0edf5e5431925b0a08d1a334",1
"17b9a9aacd7c866276ca54619a12ec76b326694e",1
"1fad880daf644d343ffb8e5820f7ff00cc2a4b58",2
"252b7dbebecc9ab7a286254c26b2f2e8120c4a57",49
"2a81277e8b963000c6365bfed87c4f1e523904d0",29
"2bfa4bad6682769f3b1a4a0324b43c7cbcd72d1e",1
"2cb4aa350a1dbaa2073446ae6a9900523ffeb317",1
"3a3104b3f756f53c38172408f152ada06c6958d5",10
"42c9fc34d5c0345f5955dc33cf1306304829277b",1
"46c9aa856095ff79bed9110e26bdadfeb6f94f8b",9
"515426b6599db6d06cfa8c795644d898475c19cc",1
"524bc8fc2a70ce52981cf15de5c5791db29dfc54",4
"52506d6407a8ff8bc223123adff41cf84b4cf8df",11
"54a1ab447fc79ed0f817e6b8e140ac2fd49b6e62",5
"59bf11efafb98d9a96a57ccf95263e876852bf17",1
"5aa3437efbddcbf9dd3fcca2d39dcdd402633cc1",1
"5d083e4726ed578b093aaf82e2a5a542f5815dcd",1
"5e1198384a9b632ecaf7125a0006922ef304b5c2",2
"5f3919bec950224c43715abe5f4130c016486b50",2
"62d79467612536c860572fc2c845fd43281dae73",5
"64d44150bc5c9af45051371550f9917027e0fa41",1
"64fc3407b9b88f6ccf9d5737b1af7df141b0eae6",3
"68e5fa96a5a8965b49141f877a4d162f7b0a5a52",1
"6c0ddae3701d611c9981505c414f12ab1f0c5217",2
"74724608de4b22cd753abf0b7822b467be8a3147",3
"799a7195748a4baa2f8bc0bddf930f1f57981917",3
"7b41678d9745d1bcab2aa85ef903d805971ef294",1
"88f76e24b13243b04e3f5659df9a2feb8701f475",1
"8b8afe81fe7dbda9cf1dea6c18a1b4d56e871c7e",2
"8cb4718e3308c3bc0d917403132601fae3d428b7",1
"93f6aa339d5a8443ae14108b62fc5e1ab113781f",2
"95e22ae00e2b4e468fc753feed6e0afac7555b87",1
"95e9095e3f500d947198d5e9a8e66222c5951d2c",10
"981dcee68e067f3c5ca251fa0577c5a3dfe4171e",1
"98c3bc603d27ae511346ec22036095019b870da8",1
"9a17e39435d6b053ba955c19bf9c808ab26a0f1a",3
"9bdb9e740307c63e53217b4ce4ec41405e1ff28f",3
"9d699e7c5c65d04eb2d402c52b06427ab7709b52",5
"a2df6b461c098df5a505d79d119538b3a294e301",1
"a95a114b1d01028c1ea4d5b8e151a4453823694e",1
"aeb92bcb25e253b55650961f341640f93ec3b54e",1
"b3851535a5795f49e73c192e4b949648f6bb806e",19
"b4925d1d03d740be6e518d2851034357739645c9",1
"b51fc681d0bb8b6d1e3dbbb0fa32bd8851ff6fd8",9
"bb6929eb95052e1e091154b409fd5f86952cebac",2
"bd11691d6520f7539e7ed2efdf75f266719e27e9",121
"bf75b7c5a25393af1e559493bf9517f24f3c8104",8
"c2a2811a8b81dac7b090dcd6f584742fed6dd085",1
"c2f262a05ac862842363dd86ba47962009c068ac",75
"c33cb8fcbff9b93658ee0a6b878d40c61c97fabd",1
"c46066c0351aa72d42c8b9ed40eae60450493594",1
"ca6af9acfda5ecb37d3e96fe5b9554568a3138a5",3
"da742200e853f49ec46ce23b5cb0b718d69d0fcf",8
"dda0922ce08566dc37d4521495f78a0fbc9bc5f7",5
"de11cb28a57e7d1196a587f24dc83f1b492570b3",1
"efbbe4e349ee137b0aa55adbc863cfd88536be25",1
"f347d2784ee2118b4dec9e487b424ac28d282dd6",1
"f35f8d1bfe05ec271fb311eb7c2b2451ef31031e",1
"f54a4fcdfdcbac8177a4082580787400a60e8c40",1
"f6cac26a08f20d283d5f2442088ffb0119dde2ef",1
"f7e09e0c1a6886a2d2c037c3107ffe195c810a7f",7
"fa34c3f77687fac1d5264955e11a7c704a89e875",1
"fa8768bc7aa3153979a6a5295baa84f138fd0d9c",1
"fb1aef142de0ba4224eb7f4c7fddbe9e96027237",1
