"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total","Perc_Especialista","Perc_Generalista","Perc_Misto"
"2000-02-01","Jeff Bailey","Misto",0,0,1,1,0,0,100
"2000-11-01","Gary V. Vaughan","Misto",0,0,2,2,0,0,100
"2000-12-01","Gary V. Vaughan","Misto",0,0,2,2,0,0,100
"2001-04-01","Gary V. Vaughan","Misto",0,0,2,2,0,0,100
"2001-08-01","Akim Demaille","Generalista",0,1,2,3,0,33.3333333333333,66.6666666666667
"2001-08-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2001-09-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2001-10-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2002-05-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2003-05-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2003-06-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2003-07-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2003-08-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2003-09-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2003-10-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2003-11-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2003-12-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2004-06-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2004-07-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2004-09-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2004-10-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2005-05-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2005-10-01","Gary V. Vaughan","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2006-05-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2006-06-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2006-07-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2006-07-01","Gary V. Vaughan","Misto",0,1,3,4,0,25,75
"2006-08-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2006-09-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2006-10-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2006-11-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2006-12-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2007-01-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2007-02-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2007-03-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2007-04-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2007-04-01","Gary V. Vaughan","Misto",0,1,3,4,0,25,75
"2007-05-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2007-07-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2007-08-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2007-09-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2007-09-01","Gary V. Vaughan","Misto",0,1,3,4,0,25,75
"2007-10-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2007-11-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2007-12-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2008-01-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2008-02-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2008-03-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2008-04-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2008-05-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2008-05-01","Gary V. Vaughan","Misto",0,1,3,4,0,25,75
"2008-06-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2008-07-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2008-08-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2008-09-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2008-12-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2009-01-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2009-02-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2009-03-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2009-06-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2009-08-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2009-11-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2009-12-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2010-01-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2010-06-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2010-08-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2010-12-01","Eric Blake","Misto",0,1,3,4,0,25,75
"2013-09-01","Gary V. Vaughan","Misto",0,1,3,4,0,25,75
"2014-11-01","Gary V. Vaughan","Misto",0,1,3,4,0,25,75
"2014-12-01","Gary V. Vaughan","Misto",0,1,3,4,0,25,75
"2017-01-01","Eric Blake","Misto",0,1,3,4,0,25,75
