"Commit","Data","Classificacao_ownership","Desenvolvedor","Total"
"bd11691d6520f7539e7ed2efdf75f266719e27e9","2000-02-01","Major",244,2335
"1691fa49fb62043d4f660397c2d15742cb2aa4dd","2000-11-01","Major",52,2335
"1b291af14992d6d330e7fd034d7103da4353f85d","2000-11-01","Major",1,2335
"5e27e0df7b13906d07ab6cea3abd46968a9b6291","2000-11-01","Major",1,2335
"5e8200459bcdbfa46b6a70cd1054fb470db052ed","2000-11-01","Major",2,2335
"74724608de4b22cd753abf0b7822b467be8a3147","2000-11-01","Major",6,2335
"799a7195748a4baa2f8bc0bddf930f1f57981917","2000-11-01","Major",7,2335
"8a78ed8bfdd9eece7c3c411b7638e44008546ad6","2000-11-01","Major",1,2335
"a95a114b1d01028c1ea4d5b8e151a4453823694e","2000-11-01","Major",1,2335
"b4925d1d03d740be6e518d2851034357739645c9","2000-11-01","Major",10,2335
"bf75b7c5a25393af1e559493bf9517f24f3c8104","2000-11-01","Major",9,2335
"c2f262a05ac862842363dd86ba47962009c068ac","2000-11-01","Major",160,2335
"d7c7dd09fbf95405228c77f32f8f59acc1f27139","2000-11-01","Major",1,2335
"e3edaa5279a297133bd148fc0852e2b17198f282","2000-11-01","Major",1,2335
"e9109737dc514fa3b338095cc910dc72de855625","2000-11-01","Major",1,2335
"effe106d7f2145fb62e9c9d4e9985d0dcca1d88a","2000-11-01","Major",2,2335
"469788807b6d4decc9576f7caa30040074994426","2000-12-01","Major",3,2335
"a22e63db30c535a04cfacf7e7f9f8871658aa388","2000-12-01","Major",7,2335
"0fb36e12c3269d59d40bf12d558ca25c030107dd","2001-04-01","Major",1,2335
"0a7af6da176dd12bcb96b52a6cbc60cea12202b6","2001-08-01","Major",17,2335
"3e94491ce48d87420b5b38cf5e7a274e6539a600","2001-08-01","Major",1,2335
"524bc8fc2a70ce52981cf15de5c5791db29dfc54","2001-08-01","Major",9,2335
"5be9d6aa86557e2ada201b21629fd5a487c86fb4","2001-08-01","Major",1,2335
"7053e603ff3768cf3be0b80bb82c58f4d30ed7a4","2001-08-01","Major",13,2335
"7072bc13847a549eca9d45b7502895e9a467bff5","2001-08-01","Major",1,2335
"93f6aa339d5a8443ae14108b62fc5e1ab113781f","2001-08-01","Major",11,2335
"b51fc681d0bb8b6d1e3dbbb0fa32bd8851ff6fd8","2001-08-01","Major",10,2335
"bb50e1b6e553d7997148626b5b3731b8a40e40b5","2001-08-01","Major",1,2335
"ea42747e1814a3909e170e22fcf6b34b1db710ad","2001-08-01","Major",4,2335
"f6955a7d11b3bc6cd3b5dc7c1498541dcd63e65b","2001-08-01","Major",3,2335
"146924c22280e37a0ad4b1fe147ca0899fb3fccb","2001-09-01","Major",1,2335
"16fda89eaa7ace336b58aa25c612ea516f800033","2001-09-01","Major",2,2335
"17b9a9aacd7c866276ca54619a12ec76b326694e","2001-09-01","Major",3,2335
"17c36f8b030aec43612b8b9a79f270293ac69975","2001-09-01","Major",1,2335
"17d52d2909333844becacd4f8b4eb48034ecb8a2","2001-09-01","Major",5,2335
"4dca933acda6c9271b4597b364faddc8fb860ffa","2001-09-01","Major",1,2335
"5e49288b592ef8382db4ddc7b397f9c808a3ab3f","2001-09-01","Major",4,2335
"610714d84d99c45e646e01ffd49b6174ba144854","2001-09-01","Major",3,2335
"64fc3407b9b88f6ccf9d5737b1af7df141b0eae6","2001-09-01","Major",13,2335
"7a6010fe44aec44428f1cdf2b39692d23bcdcf3b","2001-09-01","Major",2,2335
"9213b2fd06bc0e94b0debcfa427a2341013f8264","2001-09-01","Major",3,2335
"95e22ae00e2b4e468fc753feed6e0afac7555b87","2001-09-01","Major",8,2335
"9a17e39435d6b053ba955c19bf9c808ab26a0f1a","2001-09-01","Major",9,2335
"bce902a7fe4194cc0cfbe75d410ad2f057f78746","2001-09-01","Major",3,2335
"c33cb8fcbff9b93658ee0a6b878d40c61c97fabd","2001-09-01","Major",1,2335
"c4e7197b4b9976d1404b439f644887467af398dd","2001-09-01","Major",1,2335
"ca6af9acfda5ecb37d3e96fe5b9554568a3138a5","2001-09-01","Major",13,2335
"008a582dc6f7e2939a4df30f5d07771babc1defb","2001-10-01","Major",12,2335
"3c8f27fde86af3e70a6831944f9c8fb8c8832ae2","2001-10-01","Major",1,2335
"6c0ddae3701d611c9981505c414f12ab1f0c5217","2001-10-01","Major",11,2335
"7cf6f4f5df9a09993b9243174da200747c472f6e","2001-10-01","Major",1,2335
"93f99fc4af26bfba091e262f80da5e5da8a0c913","2002-05-01","Major",2,2335
