"Variabilidades","Desenvolvedor","Valor","Total"
"_AIX /* Already did AIX, up at the top.  */",1,"2000-02-01",319
"_REGEX_RE_COMP",1,"2000-02-01",319
"! (emacs) && ! (SYNTAX_TABLE)",1,"2000-02-01",319
"( (C_ALLOCA) ||  (REGEX_MALLOC)) && ( (emacs) ||  (REL_ALLOC))",1,"2000-02-01",319
"(_AIX) && ! (REGEX_MALLOC)",1,"2000-02-01",319
"(REGEX_MALLOC)",1,"2000-02-01",319
"(STDC_HEADERS) || (! (isascii) && ! (HAVE_ISASCII))",1,"2000-02-01",319
"(VA_START) && __STDC__",1,"2000-02-01",319
"bcmp",1,"2000-02-01",319
"bcopy",1,"2000-02-01",319
"bzero",1,"2000-02-01",319
"C_ALLOCA",1,"2000-02-01",319
"DEBUG_STKOVF",1,"2000-02-01",319
"EXTRACT_MACROS",1,"2000-02-01",319
"EXTRACT_MACROS /* To debug the macros.  */",1,"2000-02-01",319
"HAVE_EFGCVT",1,"2000-02-01",319
"INHIBIT_STRING_HEADER",1,"2000-02-01",319
"LONG_MAX",1,"2000-02-01",319
"LONG_MIN",1,"2000-02-01",319
"SIGSTKSZ",1,"2000-02-01",319
"STACKOVF_DETECT",1,"2000-02-01",319
"SWITCH_ENUM_BUG",1,"2000-02-01",319
"Sword",1,"2000-02-01",319
"SYNTAX_TABLE",1,"2000-02-01",319
"ULONG_MAX",1,"2000-02-01",319
"_",2,"2000-11-01",319
"__BEOS__",2,"2000-11-01",319
"__GNU_LIBRARY__",2,"2000-11-01",319
"__GNUC__",2,"2000-11-01",319
"__set_errno",1,"2000-11-01",319
"__STDC__",1,"2000-11-01",319
"__WINDOWS__",1,"2000-11-01",319
"_LIBC",2,"2000-11-01",319
"_LIBC ||  HAVE_WCHAR_H",1,"2000-11-01",319
"_NO_PROTO",2,"2000-11-01",319
"! (__GNUC__) || __GNUC__ < 2",2,"2000-11-01",319
"! (__STDC__) || !__STDC__",1,"2000-11-01",319
"! (( __STDC__ && __STDC__) ||  PROTOTYPES)",1,"2000-11-01",319
"( __STDC__ && __STDC__) ||  PROTOTYPES",1,"2000-11-01",319
"(__STDC__) && __STDC__",2,"2000-11-01",319
