"Arquivo","Desenvolvedor"
"alloca.c",2
"ansi2knr.c",1
"builtin.c",1
"cat-id-tbl.c",1
"changeword.c",2
"debug.c",2
"error.c",2
"eval.c",2
"evalmp.c",2
"evalparse.c",2
"exitfail.c",1
"format.c",2
"free.c",1
"freeze.c",2
"getopt.c",2
"getopt1.c",2
"gnu.c",1
"hash.c",1
"import.c",2
"input.c",1
"list.c",2
"load.c",2
"ltdl.c",1
"m4.c",1
"m4error.c",1
"m4module.c",2
"m4obstack.c",1
"m4regex.c",1
"macro.c",1
"main.c",2
"malloc.c",1
"modtest.c",2
"module.c",1
"mpeval.c",2
"numb.c",2
"obstack.c",2
"output.c",1
"path.c",2
"perl.c",2
"progname.c",1
"realloc.c",1
"regex.c",2
"resyntax.c",2
"shadow.c",2
"stackovf.c",2
"stdlib.c",2
"strndup.c",1
"strnlen.c",1
"strtol.c",2
"symtab.c",2
"syntax.c",2
"test.c",1
"time.c",2
"traditional.c",3
"utility.c",2
"version-etc.c",1
"xmalloc.c",1
"xstrdup.c",2
"xstrndup.c",1
"xstrzdup.c",1
