"Arquivo","Variabilidades"
"apdu.c",1
"asn1.c",2
"card-belpic.c",2
"card-cac-common.c",1
"card-cac.c",1
"card-cac1.c",3
"card-coolkey.c",3
"card-dnie.c",2
"card-edo.c",2
"card-etoken.c",1
"card-gpk.c",1
"card-iasecc.c",1
"card-idprime.c",1
"card-myeid.c",1
"card-npa.c",4
"card-oberthur.c",5
"card-piv.c",1
"card-rutoken.c",4
"card-sc-hsm.c",3
"card-westcos.c",4
"card.c",2
"cardmod.c",4
"cardos-info.c",2
"cardos-tool.c",2
"cert_support.c",2
"compat___iob_func.c",3
"compat_getpass.c",2
"compat_report_rangecheckfailure.c",3
"compat_strlcat.c",1
"compat_strnlen.c",2
"compression.c",2
"ctx.c",11
"customactions.c",2
"customactions.cpp",2
"cwa-dnie.c",3
"cwa14890.c",2
"dnie-tool.c",2
"ef-atr.c",1
"ef-gdo.c",1
"egk-tool-cmdline.c",5
"egk-tool.c",3
"eidenv.c",1
"engine_opensc.c",1
"engine_pkcs11.c",5
"framework-pkcs15.c",3
"framework-pkcs15init.c",1
"fread_to_eof.c",1
"getopt.c",8
"getopt1.c",7
"getpass.c",1
"gids-tool.c",2
"goid-tool-cmdline.c",5
"goid-tool.c",2
"hw_opensc.c",2
"hw_pkcs11.c",4
"iasecc-sdo.c",2
"iasecc-sm.c",2
"iasecc-tool.c",1
"ikey2k.c",1
"ikey3k.c",1
"iso7816.c",1
"keycache.c",4
"libpkcs11.c",15
"libscdl.c",3
"log.c",1
"lottery.c",3
"mechanism.c",1
"minidriver.c",4
"misc_conv.c",3
"mkdtemp.c",1
"module.c",4
"netkey-tool.c",2
"notify.c",12
"npa-tool-cmdline.c",5
"npa-tool.c",5
"npunix.c",1
"openpgp-tool.c",1
"opensc-asn1-cmdline.c",5
"opensc-asn1.c",1
"opensc-explorer.c",2
"opensc-notify-cmdline.c",5
"opensc-notify.c",6
"opensc-ssh.c",2
"opensc-tool.c",2
"openscd.c",1
"openssl.c",1
"p11_err.c",1
"p11_key.c",1
"p11_load.c",2
"p11test_case_readonly.c",1
"p15_eid.c",11
"p15_ldap.c",12
"pam_opensc.c",10
"pam_pkcs15.c",2
"pam_support.c",5
"parse.c",3
"pinpad-ccid.c",1
"piv-tool.c",2
"pkcs11-display.c",2
"pkcs11-global.c",5
"pkcs11-object.c",2
"pkcs11-register-cmdline.c",2
"pkcs11-register.c",5
"pkcs11-spy.c",3
"pkcs11-tool.c",7
"pkcs15-actalis.c",2
"pkcs15-algo.c",12
"pkcs15-asepcos.c",2
"pkcs15-authentic.c",3
"pkcs15-cac.c",1
"pkcs15-cardos.c",1
"pkcs15-cert.c",1
"pkcs15-cflex.c",1
"pkcs15-crypt.c",3
"pkcs15-data.c",1
"pkcs15-din-66291.c",1
"pkcs15-dnie.c",1
"pkcs15-entersafe.c",1
"pkcs15-esteid.c",3
"pkcs15-etoken.c",4
"pkcs15-gids.c",2
"pkcs15-gpk.c",4
"pkcs15-iasecc.c",3
"pkcs15-incrypto34.c",2
"pkcs15-infocamere.c",2
"pkcs15-init.c",5
"pkcs15-itacns.c",2
"pkcs15-jcop.c",1
"pkcs15-lib.c",7
"pkcs15-miocos.c",1
"pkcs15-muscle.c",2
"pkcs15-myeid.c",1
"pkcs15-oberthur-awp.c",1
"pkcs15-oberthur.c",4
"pkcs15-piv.c",1
"pkcs15-prkey-rutoken.c",4
"pkcs15-pubkey.c",4
"pkcs15-rutoken.c",4
"pkcs15-sc-hsm.c",1
"pkcs15-setcos.c",1
"pkcs15-starcert.c",1
"pkcs15-starcos.c",1
"pkcs15-syn.c",1
"pkcs15-tool.c",7
"pkcs15-westcos.c",2
"pkcs15-wrap.c",1
"portability.c",4
"print.c",1
"prngtest.c",3
"profile.c",3
"reader-ctapi.c",3
"reader-openct.c",2
"reader-pcsc.c",14
"reader-tr03119.c",2
"reader-usbtoken.c",2
"rutoken-tool.c",3
"sc-hsm-tool.c",1
"sc.c",9
"scam.c",6
"scconf.c",3
"scdl.c",10
"sceac-example.c",2
"scldap.c",17
"sclex.c",2
"scrandom.c",15
"sia_opensc.c",2
"sia_support.c",1
"simclist.c",3
"slot.c",2
"sm-card-authentic.c",2
"sm-card-iasecc.c",2
"sm-common.c",3
"sm-cwa14890.c",2
"sm-eac.c",4
"sm-global-platform.c",2
"sm-iso.c",2
"sm.c",1
"smm-local.c",2
"strings.c",1
"strlcpy.c",1
"stubs.c",1
"test-conf.c",2
"test-ldap.c",2
"test-pam.c",2
"test-random.c",1
"test-sia.c",1
"ui.c",4
"usb.c",1
"user-interface.c",7
"westcos-tool.c",1
"write.c",1
