"Commit","EhAutor","Arquivo"
"00044617342bd1937878a18dc532a9e565f3d296","Autor",1
"00044617342bd1937878a18dc532a9e565f3d296","Colaborador",1
"0010fcbe6b9c5356b8a626364d18edfee04c394a","Colaborador",1
"00330b2c7937bbceae3e3ebfae112c626c7ae231","Colaborador",1
"004f23f10261ad12c20c3ee5e2692c422dfc0a2b","Colaborador",1
"0056eeb34c1c2a8f70efb82314496b6dbee8c9cc","Colaborador",1
"0062708982a685a3c07367eb5c507d4b374d5465","Colaborador",1
"0070307a04240046c100e8dd7fbd496d30bd1271","Colaborador",1
"0077a0876df194e40cabad9f22f5aad53ab42c6c","Colaborador",1
"0079d836f3e51f1c4b9e67dee026217a7c13cc47","Colaborador",1
"007d27feebe4a09ce9e02c501cefc8d83daa6e79","Colaborador",1
"00a2a0defd97603f11e470f0f0153c6f1ab0ab14","Autor",1
"00b069a08e43397e02571674d105c38b5967f459","Autor",1
"00d1501ae666b08fb62403cfa2da2c7669f0eda5","Colaborador",1
"00daa3f53566d46d7728e7dc59617879b08a3cf6","Colaborador",1
"013bdcb26409c3fae84258fbc5f318d468660b1b","Colaborador",1
"01810fcb664416d9e749a9cc717acdf17c34c38f","Colaborador",1
"01a36a8aed2489d9c8ecee94fd963c453781bcbb","Colaborador",1
"01d4f00dea49e4343d5fae28dd6f4b5208567a41","Colaborador",1
"01e506e5edb0cb1a8c2f5664e0ead5ddebeaa9e0","Colaborador",1
"01e63424f57ef0f5413d8d3eb1585087fcf9553f","Colaborador",1
"021dfaccba8965bc8d04b7903e016cab8583158c","Autor",1
"02314bdd7e2d13f8f9803a0e4312112c42609bef","Colaborador",1
"0258c91f300899320e78bfc1e5f3fbeb69f30fd3","Colaborador",1
"026b6ab43dfb52b768ad15123dc698e05c52be20","Autor",1
"02768fb5dc8e7fe782e40994ebf0a7f4a2372936","Colaborador",1
"027e4a08679c1bacb139e990ec33b8a61f3d416a","Colaborador",1
"0283a6f24e247c6f27466a239516566aac0e03d8","Colaborador",1
"02cbe02bc24c2269bc24d86ad5ade8a04cb49742","Colaborador",1
"02cc450be0e971d11a651ab0b9856aeaff683334","Colaborador",1
"02f3997632d147ad3e55a51a74794602d38144eb","Colaborador",1
"030d58d7ca577a5d9abc5635af03a619a61fe990","Colaborador",1
