"Desenvolvedor","Arquivo"
"Aet",61
"Aj",40
"Alonbl",11
"Andreas Schwier",2
"Dengert",1
"Doug Engert",4
"Ep",3
"Fabled",14
"Flc",1
"Frank Morgner",107
"German Blanco",3
"Gurer",1
"Hamano Tsukasa",2
"Hannu Honkanen",2
"Hector Sanjuan",1
"Jakub Jelen",17
"Jakuje",15
"Jey",58
"Le Toux Vincent",2
"Ludovic Rousseau",1
"Ludovic.Rousseau",11
"Maciej S. Szmigiero",2
"Martin",18
"Martin Paljak",3
"Nils",32
"Okir",52
"Peter Marschall",7
"Philip Wendland",2
"Piotr Majkrzak",1
"Pisi",1
"Programatix",1
"Raul Metsma",3
"Ricky",2
"S",3
"Sth",12
"Viktor Tarasov",15
"Viktor.Tarasov",10
"Vletoux",6
"Vtarasov",5
