"Commit","Variabilidades"
"004f23f10261ad12c20c3ee5e2692c422dfc0a2b",1
"013bdcb26409c3fae84258fbc5f318d468660b1b",1
"027ccad439cd9b82f3c57ad05f36bf51ad6627d7",2
"030f4d15597c2558c08175caec605716514a6eff",1
"04499ddb48d57cad71f626ab75bc7a89a85745e8",1
"04a7075290bcfaa16a9150255e4bed5c604d3d80",1
"04b52edbb819b1a0dbdda87542a86497974c5ecd",2
"04dfc47d92ebfbccce826c4fcee970ea7f69c466",4
"0502a839c654555220964e9f4d58ca508471472e",1
"078e99fdca1e552f30b38e17c918bb0d58e3b479",1
"09f2d373b26e4b71f0a9b3b8c04aa0c2b125e7fc",1
"0a809dd5cb55b61b1726bf64a5e85db18edbb107",31
"0a9fdb6cb74280b3ab48c4b7b32f2a29551308db",1
"0abe9d11c75f8d9de32e862a5a9775aa70a44cc3",4
"0b683472b0749b45c14c181c22b1e86f0775dc64",1
"0bba170d91878b8e176c13a1794d259255933d79",1
"0c07f24de084e432713a4c92531fa75c7408591b",2
"0cfbcb8fd6377a71534aa8812a4aee169699ae8e",6
"0e03c6d5cf0d3e73b762b8d1a7f8d0b458d142ed",4
"0ecc294ed8bea00c712e90b0db3ea29eef935730",7
"0f4c706e3bcae8a5578e3fa4a20d861a159f2f90",1
"0f82c7c1d456acfde9d788cab175c25818c118f5",1
"0f95c1c6de9b4079882aa3fe4ddd698da41dfa8e",41
"0fe282414f17777487cb6bd09ca7897f1f595a7e",1
"113dfda49403655abb8285a984b46a9396544bdf",1
"124b046d99e885bd1d221b3f5b7d9568cb4ab4b4",3
"12e6874f03efa663696d22214b47e520b2a3b55e",1
"13429baed047a93719987db900f169c7a426c426",1
"141ec6ab23842797f76dcb65ee867962428598ca",1
"148f4051f672916e7665758232d19b97da9a9132",1
"14a5e628be8ee5ec76b3d23f26c3d22d31861dc5",1
"1556f98ba579d283aa57cdfca43f190bfeb4ec62",1
"156f368f9daa0f8db35e7038d65d8fc6f4121419",1
"1596ca4244dc182102cbf56195b5f4eb0613602b",7
"16b1b6e5a2ecf2092db0013854d2dd007156787c",1
"172f320c9a1b5664240be5fa3e143622941b2845",1
"1a58c429cbed13bed30e561896e747e3051a6d15",2
"1a5c6d7faabe2068db4cd92877c1d8ead1076996",1
"1a994ef76006362538fb570a2b8db8e4957d269c",1
"1ca1a024dfe9400ebbf6fd3dc23cfc5006c5d89f",1
"1d2c9e4c487996ca26defb4dc303deb8801f4b0b",5
"1e2a42dae582ee48c601d821f76c77d0b85ea988",1
"1f58981bcb51c6b70f00ddf83cfd8c4ccf4b19e8",1
"20059c984f851921d7cec269e21d6cf35d6ddf9a",2
"21dfabee2730b59c3986895f84f808f51528d283",1
"2249cfde72a48145967efc34c8f624c7890e1c6d",3
"23158d7a9693f22e7d5657bef3186dac55e31d4b",1
"23c1e81512eb6b2013fe3dd507547681bf6da3f7",6
"23d1ca554e89840b89dbf0d0ebf074e03fc29ac5",1
"23fa9aeed49c5336abadbf78c903ba10e948d528",2
"275c7f930e4a9488a6ca636ec5b74ed695b84efb",3
"27d00f9265e053c574690d9cf27d4d579d29a09d",1
"2882c93ec1910ce6c7dac27be8c969ab1feb8c39",1
"28958af5597cbe2060a47092e2f4c0844fb4b779",3
"29dd06ba9f278137c3d30d5f6da52686e51be3a1",3
"2b8b355992cfb4d42e38727920b92d050afd1747",1
"2b99f2df144e240cb8a4369e25c50dd11809198c",1
"2c26b7392d8d0d7e1db2b6143583376758074dda",4
"2c7a0ac27b79266dec9d61e93eecac86ac3907dd",1
"2d6e3bd262db664c1114e13e49ad16c5dce485e7",2
"2e2a998f10da567a20b194efde3165224de5d459",1
"2e5b3c540ce1abb17deaf9f73aa43bda136705e9",2
"2e898942c05f865836c749afefa3c4ffc944c58e",1
"2f421d23b9f368f480358047113f348a70213894",2
"2fbf01e87d2dbf584ca3de1c942049068594b891",1
"2fda14ebf51f701f90c7ea3aad8f8ce156ec5193",2
"30e04cef59d700c7d4f2a47f0a43fa46b986156b",1
"314a31f8675a5901b18e866c66d4f021f06f746c",1
"3158fa3e05244cea43ffb63a41f36e3568efbb68",1
"317a0663c9a79cf868a121c669a7491ade19d9a8",2
"3439f9cdd7c51155f412fda95786f145a5001fe8",1
"345914e9e230068055f7cc071498c4cb85619b1d",2
"34a75de5d75f0f740f0dfb177e1434474e07894e",1
"359660c45468faa27fb8a5a81d9efcb955538619",1
"3611b5c9f23dccf1b78462a75e02101b47ba4efb",1
"383602b6fe9f6bbb8de986c600d908988350bb85",2
"39f619fbb3e2968a53bb446e6151f960d92858e0",2
"3a2a4463b16f95cda29edd32a816e9041711f69b",2
"3a61c4fe97200c6a1ddb2b49623c996860aed611",1
"3b16e35af139484c183786fb6dd4f10e464dc9fe",1
"3b873adad2e0fe22ff13cd7c2c9f5e87abe4ba4a",1
"3ba355247dc23e58752b2ca1cfb685dbafd6cef7",1
"3bb5c9f5302ef64aaa4b50559aaada9b3ca248ff",1
"3c63878fb363b42a33f665788c329dce7c028282",1
"3d23ea782beb49ac55295d73cfe9285588804734",1
"3dacb2c6268dfa15072a43c35a6c738b24151e5f",1
"3dbc0a714308980a8f35c82160a94609e888f6b2",1
"3dccd639899fdce44b14b7f4fa0e555ccc0acd46",1
"3f0d5ce3368a47c17eb1ca46b97c8b9cb3c8e15d",5
"40acedcc218c7770243a94eb5bc9d43078dd2209",2
"42ad6be451632f0e8d0ba9d1a113b8ed6cfe313f",1
"4317df10e63fda5f69e68ee4fc5d2c679990289c",5
"44694a0cf37a1102f987f14b6c63aa97cdc4d872",2
"447335bc1fdf6d65636aa39c7e2989e2fb6ef590",1
"44cf3d06aea96d8867e0b6ee26c9ab2616174fa5",2
"46b55bb870ebc84783f5e9c61cc6dbc6bbf1e8d6",2
"496232d9b96bbf65c2c5fd8d3bcb2067cfa24e10",7
"4a3a3e5df21ce3420d149e6d36c9d9c73d298077",3
"4a448f43cf37137fee0012ee72766cdab3259452",1
"4dc884574e05fafbd3d181e075386ed4b154e20c",1
"4dd6abf41b92b4d684cd080c1276542b849aab39",1
"4fa7283ae2559ca037c6799db2141fcf5c449671",1
"5007e9fc9fbcd866eef1eb54912fb1d97f805583",1
"50490acca0c32b37c71b8e86748648b7a2811ade",2
"504b0ae2b9d4b849385ef5283e8a97034047ed09",5
"51ccfe79f43e51fa677f7faf234d4d188ef54de0",1
"51e15b8fb4bcd96f74dbc11dcfe80cafc9c6c9c4",1
"52c1b2d700f4d41b3bf04a76f94ce46a06f4898f",3
"53a112eda223cb8f7f06269208238aac5bb3ab72",1
"5616dba08ea576ab8730ae48edb0fcd544973947",5
"56191b8d20842fd7cc9ea31df914561a42b3d1b3",1
"56fb57603b58117e2acc94b51328941e1eb635e5",2
"57b7a81c3a3233e93e9b60927103b26f9a20463e",2
"5835e752b51ca16dd4d70f776c481d7722012047",1
"584f5e5cb8a9d1fc4a1d2d60c4281b2df8ab52af",2
"594e125f06e1bf7c818d1690de25dfb51d8a351c",1
"596220e82116eccb4bbfb7065a369226223216f4",1
"597877eb49aff0ff69d3a6c1e70edcf9ce8a4d14",2
"5a1ca44c11e463b5ac6fe16c529f2266358ea589",2
"5b21dd6a0523719d00ee2b3b663cc3f1c8a8a07d",1
"5b40de43eda340d7fd8c5cf94cddaf43364a58cd",1
"5c29dcdb94632d69b990fa90bbc6e35e3524b3fa",1
"5c2c12bb781e266613cbe4f1e72119ba08e9a238",1
"5c2f9f72d35bb229feb51c0ea91686884d85b599",1
"5d7ed3724694e344c1cc33b150bd7ede5d20c895",2
"5dda541b7e883ee4d468367af927627cb2cd65a5",1
"607271df531a390e0c7104636fac0ad2edfbc497",2
"609e2d89cfdcd19594162e469381d087bf557e5e",6
"60b4570531bc6f2c86dddf7fe34b7b0985616513",1
"60e8db4c22dba1c0a629cbc78759e5cc3406a758",7
"61fc1f93270daca5f10699d3a2037383ae83a6e6",4
"63ce563d76f0c4003b248654f09dd9b2af1b1069",8
"64c62eb0db4ec3f26216c531a1df02b3724d51cd",1
"666e08ffde3649d8eff7d2c33eedda7afa490c8d",3
"67608feffb659383e673c65d30cdf91b1b19d78a",1
"682c464540478cb77672c7ab8563bcb82f8c9833",2
"69e9861dddced0c3e0d982c8fdb9c2fc3f6a7a12",1
"6a243449a0169ac7722408c23f1fd04f44b03877",4
"6ab6d7bad9090a21c2fc3157a494b86c27d4fe78",1
"6aeb544fd96548f3b81d7c40c6453a139dd43836",1
"6b07ff64f6082ae44df9544129962a40a46fd548",1
"6cd28cfc7c5d9aa2ace94d60549f58f5cd3c4a49",1
"6e9c7e561941502878c88a99ca6af1655b0bab8f",1
"6f9b58af72307013f3f5bdeeea2415333a9aaf43",6
"6ffec4205590acf435d05bdc4477ae2e2f16f436",1
"70d50abfba8979480741a1aec013fdb9fe180966",2
"7164006b44a83f8ad855b62638a9ac24d416dcf5",1
"71cdef0ed255b63f34246960d3c9c36c2d2f8989",2
"72786abe1f95763532a4c2462e332caaa7557908",1
"7400bb9ee3f61c1926ebd7bc654cf91cd7fe5c07",4
"7449b007688ccce16eb8265cd82a69a945fd38f5",1
"74ec7b04ffda539819eb8bfd6a0e766e69d8c946",2
"75a10198fc4bc9c80774a5f5f20c5d6de39d574c",1
"7635468ed975bc4417ff47f4ec0d4be279dfab9b",1
"777e2a3751e3f6d53f056c98e9e20e42af674fb1",1
"77a2db5f5e3356ed060286aa3a501f88a4e7631c",12
"790ed5fcd7a3189c2df686daebe02f43ae5a72c3",3
"7931ded481170704ca047ae5442e5a6b2a299926",1
"7a34c204c1904b789a1842003071b4da3d7c0932",1
"7d2171c1d25d6f19e3ce737076b28c9f168ac6d1",1
"7d2ebb11c4a969583cadca8adb6e8153228a4866",15
"7de8272675a299967f78477837cc1aa1089f165e",2
"7ef766b7854bc1c2565bb7be356d4077fe3eb12a",1
"7ff4c4544c7f5333f640eb01cb81d790ab83f91b",2
"8182177a004601e8b36464397ea09c38227fac47",1
"82712c45b8905b0dc185b3795e48d8ca8b72fe26",1
"828de113e882224c6912cda087cbe56c56f375f6",1
"836b1ada2d9f06061690fc50884668a972904a08",4
"846a14849e45530011709c512550778acc3285bd",1
