"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total","Perc_Especialista","Perc_Generalista","Perc_Misto"
"2001-10-01","Fabled","Generalista",0,1,0,1,0,100,0
"2001-10-01","Jey","Misto",0,1,1,2,0,50,50
"2001-11-01","Fabled","Generalista",0,1,1,2,0,50,50
"2001-11-01","Jey","Misto",0,2,1,3,0,66.6666666666667,33.3333333333333
"2001-12-01","Aet","Generalista",0,2,1,3,0,66.6666666666667,33.3333333333333
"2001-12-01","Jey","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2002-01-01","Aet","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2002-01-01","Fabled","Generalista",0,1,2,3,0,33.3333333333333,66.6666666666667
"2002-01-01","Jey","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2002-02-01","Aet","Misto",0,1,2,3,0,33.3333333333333,66.6666666666667
"2002-02-01","Jey","Misto",0,1,3,4,0,25,75
"2002-02-01","Okir","Misto",0,1,3,4,0,25,75
"2002-03-01","Aet","Misto",0,1,3,4,0,25,75
"2002-03-01","Fabled","Generalista",0,1,3,4,0,25,75
"2002-03-01","Jey","Misto",0,1,3,4,0,25,75
"2002-03-01","Okir","Misto",0,1,3,4,0,25,75
"2002-04-01","Aet","Misto",0,1,3,4,0,25,75
"2002-04-01","Jey","Misto",0,1,3,4,0,25,75
"2002-04-01","Okir","Misto",0,1,3,4,0,25,75
"2002-05-01","Aet","Misto",0,1,3,4,0,25,75
"2002-05-01","Jey","Misto",0,1,3,4,0,25,75
"2002-06-01","Aet","Misto",0,1,3,4,0,25,75
"2002-06-01","Fabled","Misto",0,0,4,4,0,0,100
"2002-06-01","Jey","Misto",0,0,4,4,0,0,100
"2002-06-01","Okir","Misto",0,0,4,4,0,0,100
"2002-08-01","Jey","Misto",0,0,4,4,0,0,100
"2002-08-01","Okir","Misto",0,0,4,4,0,0,100
"2002-09-01","Okir","Misto",0,0,4,4,0,0,100
"2002-10-01","Aet","Misto",0,0,4,4,0,0,100
"2002-10-01","Okir","Misto",0,0,4,4,0,0,100
"2002-11-01","Aet","Misto",0,0,4,4,0,0,100
"2002-11-01","Okir","Misto",0,0,4,4,0,0,100
"2002-12-01","Jey","Misto",0,0,4,4,0,0,100
