"Desenvolvedor","Data","EhAutor","Variabilidades"
"Aet","2001-12-01","Autor",1
"Aet","2001-12-01","Colaborador",2
"Aet","2002-01-01","Autor",10
"Aet","2002-02-01","Colaborador",1
"Aet","2002-03-01","Autor",1
"Aet","2002-03-01","Colaborador",51
"Aet","2002-04-01","Colaborador",5
"Aet","2002-05-01","Colaborador",11
"Aet","2002-06-01","Autor",1
"Aet","2002-10-01","Colaborador",7
"Aet","2002-11-01","Colaborador",4
"Aet","2003-01-01","Colaborador",1
"Aet","2003-07-01","Colaborador",9
"Aet","2003-08-01","Autor",1
"Aet","2003-08-01","Colaborador",13
"Aet","2003-09-01","Autor",5
"Aet","2003-09-01","Colaborador",16
"Aet","2003-10-01","Colaborador",2
"Aet","2003-11-01","Autor",1
"Aet","2003-11-01","Colaborador",7
"Aet","2003-12-01","Colaborador",1
"Aet","2004-01-01","Colaborador",1
"Aet","2004-12-01","Autor",1
"Aet","2005-01-01","Autor",3
"Aet","2005-01-01","Colaborador",1
"Aet","2005-02-01","Autor",1
"Aet","2005-03-01","Colaborador",1
"Aj","2003-05-01","Colaborador",10
"Aj","2004-04-01","Colaborador",1
"Aj","2004-06-01","Colaborador",4
"Aj","2004-07-01","Colaborador",1
"Aj","2004-10-01","Colaborador",1
"Aj","2005-04-01","Colaborador",1
"Aj","2005-06-01","Colaborador",4
"Aj","2005-07-01","Colaborador",6
"Aj","2005-09-01","Colaborador",16
"Aj","2005-10-01","Autor",1
"Aj","2005-11-01","Colaborador",1
"Aj","2005-12-01","Colaborador",1
"Aj","2006-01-01","Colaborador",1
"Aj","2006-04-01","Colaborador",1
"Aj","2006-05-01","Colaborador",1
"Aj","2006-11-01","Colaborador",1
"Aj","2006-12-01","Colaborador",1
"Aj","2007-03-01","Autor",1
"Aj","2007-03-01","Colaborador",1
"Aj","2007-04-01","Colaborador",1
"Aj","2007-06-01","Colaborador",2
"Aj","2007-07-01","Colaborador",1
"Aj","2007-08-01","Colaborador",1
"Aj","2008-07-01","Colaborador",1
"Aj","2008-08-01","Autor",2
"Aj","2008-09-01","Autor",2
"Aj","2009-04-01","Autor",1
"Aj","2009-06-01","Autor",2
"Aj","2009-07-01","Autor",1
"Aj","2009-09-01","Autor",1
