"Desenvolvedor","Variabilidades","Valor","Total"
"Fabled",4,"2002-06-01",398
"Jey",22,"2002-12-01",398
"Okir",38,"2003-12-01",398
"Aet",96,"2005-01-01",398
"Sth",5,"2006-06-01",398
"Nils",12,"2007-07-01",398
"Ludovic.Rousseau",9,"2008-01-01",398
"Alonbl",35,"2010-02-01",398
"Aj",27,"2010-03-01",398
"Viktor.Tarasov",8,"2010-04-01",398
"Ep",3,"2010-08-01",398
"Dengert",1,"2010-09-01",398
"Flc",5,"2010-09-01",398
"S",3,"2010-09-01",398
"Vtarasov",3,"2010-12-01",398
"Martin",24,"2011-04-01",398
"Viktor Tarasov",6,"2012-06-01",398
"Andreas Schwier",2,"2012-10-01",398
"Ludovic Rousseau",1,"2014-10-01",398
"German Blanco",10,"2015-11-01",398
"Vletoux",8,"2015-11-01",398
"Le Toux Vincent",4,"2015-12-01",398
"Hannu Honkanen",2,"2016-08-01",398
"Raul Metsma",1,"2016-09-01",398
"Ricky",2,"2016-12-01",398
"Peter Marschall",2,"2018-07-01",398
"Jakuje",5,"2018-10-01",398
"Jakub Jelen",4,"2019-08-01",398
"Frank Morgner",54,"2020-01-01",398
"Piotr Majkrzak",2,"2020-05-01",398
