"Commit","Data","Classificacao_ownership","Desenvolvedor","Total"
"07671adadd3c22ac9d32265eaf11457ac279933d","2001-10-01","Major",2,5431
"08fba4d225482a29f41c64c200b56bcc066b07fd","2001-10-01","Major",1,5431
"0af1a516a660c534b903daf093f28ac91fc1200d","2001-10-01","Major",6,5431
"0ba739b3d41a101c43d18bcc7b49c5b57cc1177f","2001-10-01","Major",1,5431
"202c8e5227ee85e3567183b82f423559098ef1a0","2001-10-01","Major",1,5431
"2656921bbea2827031cae790b228467e8bc1c95c","2001-10-01","Major",1,5431
"2a981ac02ce0605e741a0fd8688d1bd5292de560","2001-10-01","Major",1,5431
"2f086f5261d945f95e3d5dfafe90fbab9ad54bd2","2001-10-01","Major",2,5431
"2ffefc3f839068725b21b36c71a9d7777e6fef8a","2001-10-01","Major",1,5431
"3088f6547b65b11e4d33a812cf142eca4e9c8ea8","2001-10-01","Major",2,5431
"4636ef651664c68053550b5041bdc43cd9f9d0a9","2001-10-01","Major",1,5431
"4d8a79ca42d5a3946690f565ea8d90b56affd23a","2001-10-01","Major",1,5431
"5414ed9bb095e7418c5535b9897e87ad0336e005","2001-10-01","Major",1,5431
"5df5aa7ca9ea98f3b7ba812b946c596b8219755c","2001-10-01","Major",1,5431
"68eedb40d2ec26f423025e5bec590ca5c17a1f73","2001-10-01","Major",1,5431
"731312443bcfdbea57548f4eb58537ea0b8d0e6a","2001-10-01","Major",1,5431
"86bbeffc40e6528b615282cf7e4ee15f2350bd8f","2001-10-01","Major",3,5431
"9476addfa07d4a35fdfca7fb538279961e490d4f","2001-10-01","Major",1,5431
"9ea1e4be9e61b62202c6367d7c32316a714ab188","2001-10-01","Major",3,5431
"a1af1550181e442ac87f932c8e5e36c7053cb8eb","2001-10-01","Major",1,5431
"a6a988ec68b84930881af5fd8e5bf0a9ef6fcaa4","2001-10-01","Major",1,5431
"aea833a5e8e336cd66a88289957b96dae107950f","2001-10-01","Major",9,5431
"b5d584e5a7febd8f613209115d4ce7b987a031bf","2001-10-01","Major",1,5431
"bff3bf85609dc5359919534ab24b4244b8f6f3d5","2001-10-01","Major",5,5431
"ce82fc73164488ce64878e5214acfccb6c828ffc","2001-10-01","Major",1,5431
"e52d097f2370b19e2a2403f7d8b6b3ad645353e1","2001-10-01","Major",3,5431
"f3bf3dc0b8702a4473271e9b763e70d7ef009c89","2001-10-01","Major",8,5431
"f43f23050cd6d290b67db45020805c3e46a90721","2001-10-01","Major",3,5431
"1194017d5a6a9f7656a8e5ace6fd2d6419ceb079","2001-11-01","Major",8,5431
"16c6db4b2a67be2dfbc7cc0d24b0ce4fdb87e288","2001-11-01","Major",5,5431
"187d8a0b29471e90feff26bf2edffdd3c42f61cd","2001-11-01","Major",3,5431
"18bab373b8cddc4ec80d5e6ee67d6dc8e2affe3e","2001-11-01","Major",9,5431
"27cc0a0189f0e09a519af51cc2b5a72c43724650","2001-11-01","Major",6,5431
"2ac6b811a542680153b820fc1a59d3ffd0561ea9","2001-11-01","Major",4,5431
"3f727ca8b7c29ce8e4ea6f98d1e5e1b47f4a005b","2001-11-01","Major",1,5431
"584f5e5cb8a9d1fc4a1d2d60c4281b2df8ab52af","2001-11-01","Major",7,5431
