"Variabilidades","Desenvolvedor","Valor","Total"
"OPENSC_VERSION",1,"2001-11-01",398
"PLUGIN_TRACE",1,"2001-11-01",398
"VERSION",1,"2001-11-01",398
"XP_UNIX",1,"2001-11-01",398
"CACHE_CERTS",1,"2001-12-01",398
"__GNU_LIBRARY__",1,"2002-01-01",398
"_NO_PROTO",1,"2002-01-01",398
"! (__STDC__) || !__STDC__",1,"2002-01-01",398
"(_LIBC) || ! (__GNU_LIBRARY__)",1,"2002-01-01",398
"const",1,"2002-01-01",398
"NULL",1,"2002-01-01",398
"TEST",2,"2002-01-01",398
"!(HAVE_READLINE__READLINE_H)",1,"2002-02-01",398
"!(HAVE_READLINE_READLINE_H)",1,"2002-02-01",398
"(HAVE_OPENSSL) && 0",1,"2002-02-01",398
"0 && (HAVE_OPENSSL)",1,"2002-02-01",398
"1 && (HAVE_OPENSSL)",1,"2002-02-01",398
"dontuse",1,"2002-02-01",398
"HAVE_READLINE__READLINE_H",1,"2002-02-01",398
"((PAM_STATIC) && (PAM_SM_ACCOUNT)) || !(PAM_STATIC)",1,"2002-03-01",398
"((PAM_STATIC) && (PAM_SM_AUTH)) || !(PAM_STATIC)",1,"2002-03-01",398
"((PAM_STATIC) && (PAM_SM_PASSWORD)) || !(PAM_STATIC)",1,"2002-03-01",398
"((PAM_STATIC) && (PAM_SM_SESSION)) || !(PAM_STATIC)",1,"2002-03-01",398
"(HAVE_OPENSSL)",2,"2002-03-01",398
"(HAVE_OPENSSL) && (HAVE_LDAP)",1,"2002-03-01",398
"(HAVE_PAM)",1,"2002-03-01",398
"(PAM_SCAM)",1,"2002-03-01",398
"(PRNGD_SOCKET) || (PRNGD_PORT)",1,"2002-03-01",398
"(RANDOM_POOL)",1,"2002-03-01",398
"(RANDOM_POOL) || (PRNGD_PORT) || (PRNGD_SOCKET)",1,"2002-03-01",398
"(SA_INTERRUPT)",1,"2002-03-01",398
"1 && (HAVE_LIBPCSCLITE)",1,"2002-03-01",398
"ATR_SUPPORT",1,"2002-03-01",398
"defined(HAVE_OSF_SIA)",1,"2002-03-01",398
"defined(PRNGD_PORT)",1,"2002-03-01",398
"defined(PRNGD_SOCKET)",1,"2002-03-01",398
"defined(SIA_SCAM)",1,"2002-03-01",398
"EWOULDBLOCK",1,"2002-03-01",398
"HAVE_CONFIH_H",1,"2002-03-01",398
"HAVE_DLFCN_H",1,"2002-03-01",398
"HAVE_LBER_H",1,"2002-03-01",398
"HAVE_LDAP",1,"2002-03-01",398
"HAVE_LDAP_H",1,"2002-03-01",398
"HAVE_LDAP_SSL_H",1,"2002-03-01",398
"HAVE_PTHREAD",1,"2002-03-01",398
"HAVE_SCIDI",1,"2002-03-01",398
"HAVE_SECURITY__PAM_MACROS_H",1,"2002-03-01",398
"HAVE_SETUTENT",1,"2002-03-01",398
"HAVE_UTMP_H",1,"2002-03-01",398
"LDAP_URL_ERR_BADATTRS",1,"2002-03-01",398
"LDAP_URL_ERR_BADENCLOSURE",1,"2002-03-01",398
"LDAP_URL_ERR_BADEXTS",1,"2002-03-01",398
"LDAP_URL_ERR_BADFILTER",1,"2002-03-01",398
"LDAP_URL_ERR_BADHOST",1,"2002-03-01",398
"LDAP_URL_ERR_BADSCHEME",1,"2002-03-01",398
"LDAP_URL_ERR_BADSCOPE",1,"2002-03-01",398
"LDAP_URL_ERR_BADURL",1,"2002-03-01",398
"LDAP_URL_ERR_MEM",1,"2002-03-01",398
"LDAP_URL_ERR_PARAM",1,"2002-03-01",398
"offsetof",1,"2002-03-01",398
"PAM_EXTERN",1,"2002-03-01",398
"PAM_STATIC",1,"2002-03-01",398
"PAM_SUN_CODEBASE",1,"2002-03-01",398
"PAMTEST",1,"2002-03-01",398
"PCSCLITE_SERVER_PATH",1,"2002-03-01",398
"SC_PKCS15_TYPE_PRKEY_DSA",1,"2002-03-01",398
"notdef",2,"2002-04-01",398
"RANDOM_POOL",1,"2002-04-01",398
"SC_ALGORITHM_3DES /* EDE CBC mode */",1,"2002-04-01",398
"SC_ALGORITHM_3DES_WRAP /* from CMS */",1,"2002-04-01",398
"SC_ALGORITHM_DES /* CBC mode */",1,"2002-04-01",398
"SC_ALGORITHM_DSA",1,"2002-04-01",398
"SC_ALGORITHM_MD5",1,"2002-04-01",398
"SC_ALGORITHM_PBES2",1,"2002-04-01",398
"SC_ALGORITHM_PBKDF2",1,"2002-04-01",398
"SC_ALGORITHM_RC2 /* CBC mode */",1,"2002-04-01",398
"SC_ALGORITHM_RC2_WRAP /* from CMS */",1,"2002-04-01",398
"SC_ALGORITHM_RSA /* really rsaEncryption */",1,"2002-04-01",398
"SC_ALGORITHM_SHA1",1,"2002-04-01",398
"SC_PKCS15_TYPE_PUBKEY_DSA",1,"2002-04-01",398
"!(RANDOM_POOL) && !(PRNGD_PORT) && !(PRNGD_SOCKET)",1,"2002-05-01",398
