"Arquivo","Desenvolvedor"
"apdu.c",4
"asn1.c",3
"atr.c",1
"aux-data.c",1
"base64.c",1
"cachedir.c",1
"card-acos5.c",1
"card-akis.c",2
"card-asepcos.c",2
"card-atrust-acos.c",2
"card-authentic.c",1
"card-belpic.c",1
"card-cac-common.c",1
"card-cac.c",1
"card-cac1.c",2
"card-cardos.c",2
"card-coolkey.c",1
"card-default.c",1
"card-dnie.c",1
"card-edo.c",1
"card-emv.c",2
"card-entersafe.c",3
"card-epass2003.c",1
"card-esteid2018.c",1
"card-etoken.c",1
"card-flex.c",2
"card-gemsafeV1.c",2
"card-gemsafeV2.c",1
"card-gids.c",1
"card-gpk.c",1
"card-ias.c",1
"card-iasecc.c",1
"card-idprime.c",2
"card-incrypto34.c",1
"card-isoApplet.c",1
"card-itacns.c",1
"card-javacard.c",2
"card-jcop.c",2
"card-jpki.c",2
"card-masktech.c",1
"card-mcrd.c",2
"card-miocos.c",1
"card-multiflex.c",2
"card-muscle.c",4
"card-myeid.c",2
"card-npa.c",1
"card-oberthur.c",5
"card-openpgp.c",1
"card-piv.c",2
"card-rtecp.c",2
"card-rutoken.c",2
"card-sc-hsm.c",2
"card-setcos.c",1
"card-starcos.c",2
"card-tcos.c",4
"card-westcos.c",3
"card.c",2
"cardmod.c",3
"cardos-info.c",2
"cardos-tool.c",1
"cert_support.c",2
"commands.c",1
"compat___iob_func.c",1
"compat_dummy.c",1
"compat_getopt_main.c",2
"compat_getopt.c",1
"compat_getpass.c",2
"compat_report_rangecheckfailure.c",1
"compat_strlcat.c",1
"compat_strlcpy.c",1
"compat_strnlen.c",1
"compression.c",2
"cryptoflex-tool.c",1
"ctbcs.c",2
"ctx.c",3
"customactions.c",1
"customactions.cpp",2
"cwa-dnie.c",3
"cwa14890.c",3
"debug.c",2
"defaults.c",1
"dialog.c",1
"dialog.cpp",1
"digestsign.c",2
"dir.c",2
"dnie-tool.c",2
"ef-atr.c",1
"ef-gdo.c",1
"egk-tool-cmdline.c",1
"egk-tool.c",1
"eidenv.c",2
"emv.c",1
"endecrypt.c",1
"engine_opensc.c",3
"engine_pkcs11.c",3
"errors.c",2
"etoken.c",1
"eutron.c",1
"filetest.c",1
"framework-pkcs15.c",2
"framework-pkcs15init.c",2
"fread_to_eof.c",1
"function_table.c",2
"fuzz_asn1_print.c",1
"fuzz_asn1_sig_value.c",1
"fuzz_pkcs15_decode.c",1
"fuzz_pkcs15_reader.c",1
"generic.c",3
"getopt.c",1
"getopt1.c",1
"getpass.c",2
"gids-tool.c",2
"goid-tool-cmdline.c",1
"goid-tool.c",1
"gp.c",2
"hack-disabled.c",1
"hack-enabled.c",1
"hst-test.c",1
"hw_opensc.c",2
"hw_pkcs11.c",2
"iasecc-sdo.c",2
"iasecc-sm.c",2
"iasecc-tool.c",2
"ikey2k.c",1
"ikey3k.c",1
"iso7816.c",2
"keycache.c",1
"libpkcs11.c",2
"libscdl.c",1
"log.c",1
"lottery.c",2
