"Arquivo","Variabilidades"
"argv.c",2
"auth_token.c",2
"auth-pam.c",1
"base64.c",5
"block_dns.c",5
"buffer.c",8
"clinat.c",1
"comp-lz4.c",4
"comp.c",7
"compat-basename.c",3
"compat-daemon.c",11
"compat-dirname.c",2
"compat-gettimeofday.c",5
"compat-inet_ntop.c",4
"compat-inet_pton.c",4
"compat-lz4.c",23
"compat-strsep.c",3
"compat.c",2
"compstub.c",3
"console_builtin.c",8
"console_systemd.c",2
"console.c",7
"crypto_mbedtls.c",2
"crypto_openssl.c",16
"crypto_polarssl.c",7
"crypto.c",6
"cryptoapi.c",4
"dllmain.c",3
"down-root.c",1
"env_set.c",2
"error.c",2
"event.c",7
"fdmisc.c",1
"forward.c",18
"fragment.c",2
"gremlin.c",2
"helper.c",1
"hexdump.c",2
"ieproxy.c",1
"init.c",38
"interactive.c",2
"interval.c",1
"keyingmaterialexporter.c",1
"list.c",2
"lladdr.c",7
"lzo.c",2
"main.c",4
"manage.c",8
"mbuf.c",1
"misc.c",37
"mock_msg.c",2
"mroute.c",3
"msica_arg.c",3
"msica_op.c",3
"msiex.c",3
"mss.c",1
"mstats.c",1
"mtcp.c",3
"mtu.c",4
"mudp.c",7
"multi.c",15
"networking_iproute2.c",3
"networking_sitnl.c",4
"ntlm.c",2
"occ.c",2
"openvpn.c",3
"openvpnmsica.c",6
"openvpnserv.c",3
"options.c",31
"otime.c",4
"packet_id.c",6
"perf.c",4
"pf.c",4
"ping.c",1
"pkcs11_polarssl.c",2
"pkcs11-helper.c",20
"pkcs11.c",10
"platform.c",14
"plugin.c",7
"pool.c",3
"proto.c",2
"proxy.c",3
"ps.c",1
"push.c",8
"reliable.c",3
"ring_buffer.c",1
"route.c",30
"run_command.c",4
"schedule.c",3
"service.c",1
"session_id.c",2
"shaper.c",3
"sig.c",6
"snappy.c",3
"socket.c",19
"socks.c",2
"ssl_mbedtls.c",11
"ssl_ncp.c",2
"ssl_openssl.c",23
"ssl_polarssl.c",9
"ssl_verify_openssl.c",5
"ssl_verify_polarssl.c",5
"ssl_verify.c",8
"ssl.c",32
"status.c",4
"tap.c",5
"tapdrvr.c",2
"test_auth_token.c",3
"test_buffer.c",2
"test_crypto.c",3
"test_ncp.c",4
"test_networking.c",1
"test_packet_id.c",2
"test_tls_crypt.c",4
"thread.c",3
"tls_crypt.c",3
"tun.c",38
"utils.c",1
"vlan.c",2
"win32.c",1
