"Commit","Variabilidades"
"00d391705c713b06b2c80f0b36724f9bb4d806ae",1
"0146fd00c3bd70a470290be7be27ee75db2db63b",1
"01cfa61a41e5162ba2f61383e03ff66741511d3a",1
"026cf3e5d3ada763617bf86087cb651cc57bddb2",2
"03bfb228ffd95c37e135bb9a5a37160c247e28a9",1
"03defa3b29eafc954304532d766aff11712ff9de",2
"0475d17e1ce34e6b2471d17a102b7c2a2d1427c7",1
"04f4b793f90293a6092f17208810d094a4a96768",2
"0563473601abfbf2142bfa0ca5b863c5aa7953a2",1
"05ffefcca997708e1f146bed6f5dba9b9f5b1e90",1
"06498f21cdf051b0643606efda96b27b3c358e0c",1
"06f65a0cbfcb1a3093e3086a10b3e95350eb3c04",1
"07560d9ed11a4bfdd7f2446f2c6ff854ee091154",1
"093e7eba18610c1b154dc0282ef572626f7d34f9",1
"0a48ae367f4de3d95c99dc0f1668ea0308205ed5",1
"0a88ef8c2a6b573f9f21b122bd4818265d39d710",3
"0aee9ca7e76887fb5752c15ef63bfb7a356df06e",3
"0c5632510ce14a25a31b5065019f64ca9724a294",2
"0d1a75bfe241466230c41a52c6013494135c5935",2
"0df678794a708eb42426ce9844f78ef034dc94bf",1
"0e8a30c0b05c1e2b59a1dea0a6eab5daa1d9d9a1",6
"0eb2ee14350308042eae163af35e795d6a67f8d3",2
"0f25d2969f09ba4263dc37944e1f10405a2df461",1
"13de0103ea361e2be24ab8b16f5be269c6ab7496",1
"14a131ac1cfc95e5ba2518ff887d04c034aecc53",14
"1828f9c199cc8cdf4e9d8d0bf072e726604f69dc",3
"18597b93f7b43f63173f373fbd8548f2d08e25bb",18
"19dd3ef12f45b2c70c0657ea72fbdce5241e45c2",1
"1ae9d05173a5960eaf84dcb55b91374fa2bb6639",1
"1b1a98069b290512f673db5630eb4134f4899f16",1
"1b9a88a2c38a6a29f8ccbec4fd529d7b363bfc06",3
"1bda73a7b0f45a2502ae93e33e30b98152d893f3",11
"1d561d4eaebe8652768270b6373023177b8d706d",2
"1eb9a1271053fa95fbe8e7e973a47cce529d673d",1
"1f2c6877ad1fc8cb96937d56ea9ad097bfd43f02",1
"1f99578ce98947170a8f3809e8d77cb2d4b9a4f4",2
"214fc873fe744ac722e9dd69917b6254e2151af2",1
"222f0840463e0681181b374f8734153d9f23443d",1
"225d5fe945bb6fc6d7a523b5944e96243a6b5038",1
"2270775d8c17ce040818887cf8e3b288182660b6",2
"2282b1be7968ef44accde705ccc64addab6d77ba",1
"252a728256d60770dfaea235dae4e21648be5407",1
"26bb4c740b12cf3f606f657103a1695c23f6b72f",1
"27556854a512a901dba5118ad18b37f3abf0d440",1
"289a8bb806150b418abb64abea26cb4106811850",1
"290bb26990133a895eac68215a7ded7e993ef167",1
"2a3d17ed182608cf60d731a237f9f926c28db522",5
"2ff366f78a2bf8d0a2744db9b59f7274b671a042",3
"3128abcfdd1eb293b10e4d0bfdb0805728538563",1
"31ea2ee4ca642a4d8bbdac3dadb44eca11f52e35",9
"3212d0c0a5caac6607b30effb584887eb3325942",1
"3280d8c8f3583d03fed923837447ef45c8f83d52",1
"34a507c9ab159a1e56715246c594b93a93d68469",1
"35a3c167a12dfacc434a197497627114a904dae1",1
"36bef1b52b49ebbc3790635be230e2f30f0532a7",1
"37aab49b083a9e385970e3ab2dd727ea1a95ff35",2
"38d96bd7975e626d490b3d9f9514d81e070a5495",12
"3b185161de1254af746494007b7e81d17f632d4b",4
"3ba6b9ff1a50800dfea55d33d9be53c77b50d307",1
"3c7f2f553be4b3ba9412c1b3f64a258c469d78f4",4
"3cd37fc03d244121c2bcc286e3412be04dbc894b",1
"3cf9dd88fd84108eccfcce0ebf44e00f9481cd82",4
"3d163bc544ab9dfc62d9a2c865f8abb865bf6eb3",5
"3ddb56433b1fa0f20565dfda13a647459c06251a",2
"40efb6359aff0e4805c0439acd6e899c687ef058",6
"428b82796705988239c4c7f09dc6a89c22a8e615",1
"4308f2374361f56b2049ccc5884cddd58d24b1e3",19
"430ce8bd03b23717ec42a8a34aa66e804ca97287",7
"445b192a7c31187c7b5c66c8250a1886b04a2b2c",18
"447997dd83400bffc05db65a91f659dc87b4a367",1
"44b3dcc8927c4bde391792a4632198cecba29f8d",2
"4507bb6cd11799f72f1ede602315a60e03bb449c",1
"46e4b6639a950c56a08261b6610e7fe17404213d",20
"47ae8457f9e9c2bb0f5c1e8f28822e1bbc16c196",3
"485c5f76a15e7f9950a3ee3126dbf50f66f9ef82",1
"4e9a51d78ffa0696cf7d14ff0292ca8863689f70",8
"4f378ddb9932973965bb4931e85c991ddd86f7f0",1
