"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total","Perc_Especialista","Perc_Generalista","Perc_Misto"
"2005-09-01","James","Generalista",0,1,0,1,0,100,0
"2005-09-01","James","Misto",0,0,1,1,0,0,100
"2005-10-01","James","Misto",0,0,1,1,0,0,100
"2005-11-01","James","Misto",0,0,1,1,0,0,100
"2005-12-01","James","Misto",0,0,1,1,0,0,100
"2006-01-01","James","Misto",0,0,1,1,0,0,100
"2006-02-01","James","Misto",0,0,1,1,0,0,100
"2006-04-01","James","Misto",0,0,1,1,0,0,100
"2006-06-01","James","Misto",0,0,1,1,0,0,100
"2006-07-01","James","Misto",0,0,1,1,0,0,100
"2006-09-01","James","Misto",0,0,1,1,0,0,100
"2006-11-01","James","Misto",0,0,1,1,0,0,100
"2007-02-01","James","Misto",0,0,1,1,0,0,100
"2007-03-01","James","Misto",0,0,1,1,0,0,100
"2007-04-01","James","Misto",0,0,1,1,0,0,100
"2007-06-01","James","Misto",0,0,1,1,0,0,100
"2007-08-01","James","Misto",0,0,1,1,0,0,100
"2007-10-01","James","Misto",0,0,1,1,0,0,100
"2008-01-01","James","Misto",0,0,1,1,0,0,100
"2008-02-01","James","Misto",0,0,1,1,0,0,100
"2008-05-01","James","Misto",0,0,1,1,0,0,100
"2008-06-01","James","Misto",0,0,1,1,0,0,100
"2008-07-01","James","Misto",0,0,1,1,0,0,100
"2008-08-01","James","Misto",0,0,1,1,0,0,100
"2008-09-01","James","Misto",0,0,1,1,0,0,100
"2008-10-01","James","Misto",0,0,1,1,0,0,100
"2008-11-01","James","Misto",0,0,1,1,0,0,100
"2008-12-01","James","Misto",0,0,1,1,0,0,100
"2009-01-01","James","Misto",0,0,1,1,0,0,100
"2009-04-01","James","Misto",0,0,1,1,0,0,100
"2009-05-01","James","Misto",0,0,1,1,0,0,100
"2009-06-01","James","Misto",0,0,1,1,0,0,100
"2009-08-01","James","Misto",0,0,1,1,0,0,100
"2009-09-01","James","Misto",0,0,1,1,0,0,100
"2009-10-01","James","Misto",0,0,1,1,0,0,100
"2009-11-01","James","Misto",0,0,1,1,0,0,100
"2009-12-01","James","Misto",0,0,1,1,0,0,100
"2010-01-01","Gert Doering","Misto",0,0,2,2,0,0,100
"2010-01-01","James","Misto",0,0,2,2,0,0,100
"2010-02-01","Gert Doering","Misto",0,0,2,2,0,0,100
"2010-02-01","James","Misto",0,0,2,2,0,0,100
"2010-03-01","Gert Doering","Misto",0,0,2,2,0,0,100
"2010-03-01","James Yonan","Generalista",0,2,2,4,0,50,50
"2010-04-01","David Sommerseth","Generalista",0,2,2,4,0,50,50
"2010-04-01","James Yonan","Generalista",0,2,2,4,0,50,50
"2010-05-01","James Yonan","Generalista",0,2,2,4,0,50,50
"2010-06-01","James Yonan","Generalista",0,2,2,4,0,50,50
"2010-08-01","David Sommerseth","Generalista",0,2,2,4,0,50,50
"2010-08-01","Gert Doering","Misto",0,2,2,4,0,50,50
"2010-09-01","Gert Doering","Misto",0,2,2,4,0,50,50
"2010-10-01","Gert Doering","Misto",0,2,2,4,0,50,50
"2010-10-01","James Yonan","Misto",0,0,4,4,0,0,100
"2010-11-01","David Sommerseth","Misto",0,0,4,4,0,0,100
"2010-11-01","James Yonan","Misto",0,0,4,4,0,0,100
"2010-12-01","David Sommerseth","Misto",0,0,4,4,0,0,100
"2010-12-01","James Yonan","Misto",0,0,4,4,0,0,100
"2011-01-01","David Sommerseth","Misto",0,0,4,4,0,0,100
"2011-01-01","Gert Doering","Misto",0,0,4,4,0,0,100
"2011-02-01","James Yonan","Misto",0,0,4,4,0,0,100
"2011-03-01","James Yonan","Misto",0,0,4,4,0,0,100
"2011-04-01","James Yonan","Misto",0,0,4,4,0,0,100
"2011-05-01","Gert Doering","Misto",0,0,4,4,0,0,100
"2011-06-01","Adriaan De Jong","Misto",0,0,5,5,0,0,100
"2011-06-01","James Yonan","Misto",0,0,5,5,0,0,100
"2011-07-01","Adriaan De Jong","Misto",0,0,5,5,0,0,100
"2011-07-01","David Sommerseth","Misto",0,0,5,5,0,0,100
