"Desenvolvedor","Variabilidades","Valor","Total"
"James",189,"2009-09-01",699
"Alon Bar-Lev",33,"2012-02-01",699
"Adriaan De Jong",35,"2012-04-01",699
"James Yonan",189,"2012-09-01",699
"Daniel Kubec",1,"2015-04-01",699
"Jens Neuhalfen",1,"2016-05-01",699
"Heiko Hund",3,"2016-10-01",699
"David Sommerseth",62,"2016-12-01",699
"Selva Nair",4,"2018-02-01",699
"Simon Rozman",8,"2018-10-01",699
"Antonio Quartulli",5,"2018-12-01",699
"Lev Stipakov",3,"2019-12-01",699
"Steffan Karger",67,"2020-01-01",699
"Gert Doering",75,"2020-09-01",699
"Arne Schwabe",24,"2020-10-01",699
