"Variabilidades","Data","EhAutor","Desenvolvedor"
"","2005-09-01","Autor",1
"","2005-09-01","Colaborador",1
"","2005-10-01","Autor",1
"","2005-10-01","Colaborador",1
"","2005-11-01","Autor",1
"","2005-11-01","Colaborador",1
"","2005-12-01","Autor",1
"","2005-12-01","Colaborador",1
"","2006-01-01","Autor",1
"","2006-02-01","Autor",1
"","2006-02-01","Colaborador",1
"","2006-04-01","Autor",1
"","2006-06-01","Autor",1
"","2006-07-01","Autor",1
"","2006-09-01","Autor",1
"","2006-11-01","Autor",1
"","2006-11-01","Colaborador",1
"","2007-02-01","Autor",1
"","2007-03-01","Autor",1
"","2007-04-01","Autor",1
"","2007-04-01","Colaborador",1
"","2007-06-01","Autor",1
"","2007-08-01","Autor",1
"","2007-10-01","Autor",1
"","2007-10-01","Colaborador",1
"","2008-01-01","Autor",1
"","2008-01-01","Colaborador",1
"","2008-05-01","Autor",1
"","2008-06-01","Autor",1
"","2008-06-01","Colaborador",1
"","2008-07-01","Autor",1
"","2008-07-01","Colaborador",1
"","2008-08-01","Autor",1
"","2008-09-01","Autor",1
"","2008-09-01","Colaborador",1
"","2008-10-01","Autor",1
"","2008-10-01","Colaborador",1
"","2008-11-01","Autor",1
"","2008-11-01","Colaborador",1
"","2008-12-01","Autor",1
"","2008-12-01","Colaborador",1
"","2009-01-01","Autor",1
"","2009-04-01","Autor",1
"","2009-05-01","Autor",1
"","2009-05-01","Colaborador",1
"","2009-06-01","Autor",1
"","2009-08-01","Autor",1
"","2009-08-01","Colaborador",1
"","2009-09-01","Autor",1
"","2009-10-01","Autor",1
"","2009-10-01","Colaborador",1
"","2009-11-01","Autor",1
"","2009-12-01","Autor",1
"","2010-01-01","Autor",1
"","2010-01-01","Colaborador",1
"","2010-02-01","Colaborador",2
"","2010-03-01","Colaborador",2
"","2010-04-01","Colaborador",2
"","2010-05-01","Autor",1
"","2010-06-01","Colaborador",1
"","2010-08-01","Colaborador",2
"","2010-09-01","Colaborador",1
"","2010-10-01","Colaborador",1
"","2010-11-01","Colaborador",1
"","2010-12-01","Colaborador",1
"","2011-01-01","Colaborador",2
"","2011-03-01","Autor",1
"","2011-03-01","Colaborador",1
"","2011-04-01","Colaborador",1
"","2011-05-01","Colaborador",1
"","2011-06-01","Autor",1
"","2011-06-01","Colaborador",1
"","2011-07-01","Autor",1
"","2011-07-01","Colaborador",2
"","2011-08-01","Autor",1
"","2011-08-01","Colaborador",2
"","2011-09-01","Autor",1
"","2011-10-01","Autor",1
"","2011-10-01","Colaborador",1
"","2011-11-01","Colaborador",1
"","2011-12-01","Colaborador",1
"","2012-01-01","Autor",1
"","2012-01-01","Colaborador",1
"","2012-02-01","Autor",2
"","2012-02-01","Colaborador",2
"","2012-04-01","Colaborador",1
"","2012-06-01","Colaborador",1
"","2012-08-01","Colaborador",2
"","2012-09-01","Colaborador",1
"","2012-11-01","Colaborador",1
"","2013-03-01","Colaborador",2
"","2013-04-01","Colaborador",2
"","2013-05-01","Colaborador",3
"","2013-07-01","Colaborador",1
"","2013-11-01","Colaborador",1
"","2014-01-01","Colaborador",2
"","2014-02-01","Colaborador",1
"","2014-03-01","Colaborador",1
"","2014-04-01","Colaborador",2
"","2014-05-01","Colaborador",1
"","2014-06-01","Colaborador",1
"","2014-07-01","Colaborador",1
"","2014-08-01","Colaborador",1
"","2014-09-01","Colaborador",2
"","2014-10-01","Colaborador",1
"","2014-11-01","Colaborador",3
"","2014-12-01","Colaborador",3
"","2015-01-01","Colaborador",1
"","2015-02-01","Autor",1
"","2015-02-01","Colaborador",1
"","2015-03-01","Colaborador",1
"","2015-05-01","Colaborador",2
"","2015-06-01","Colaborador",1
"","2015-07-01","Colaborador",2
"","2015-09-01","Colaborador",2
"","2015-10-01","Colaborador",2
"","2015-11-01","Colaborador",3
"","2015-12-01","Colaborador",1
"","2016-01-01","Autor",1
"","2016-01-01","Colaborador",1
"","2016-02-01","Colaborador",3
"","2016-03-01","Colaborador",2
"","2016-04-01","Colaborador",1
"","2016-05-01","Autor",2
"","2016-05-01","Colaborador",2
"","2016-06-01","Colaborador",2
"","2016-07-01","Colaborador",2
"","2016-08-01","Colaborador",1
"","2016-09-01","Colaborador",3
"","2016-10-01","Colaborador",3
"","2016-11-01","Colaborador",4
"","2016-12-01","Autor",1
"","2016-12-01","Colaborador",2
"","2017-01-01","Autor",1
"","2017-01-01","Colaborador",1
"","2017-02-01","Autor",1
"","2017-02-01","Colaborador",1
"","2017-03-01","Autor",1
"","2017-03-01","Colaborador",3
"","2017-04-01","Colaborador",1
"","2017-05-01","Autor",1
"","2017-05-01","Colaborador",1
"","2017-06-01","Autor",2
"","2017-06-01","Colaborador",2
"","2017-07-01","Colaborador",3
"","2017-08-01","Autor",1
"","2017-08-01","Colaborador",2
"","2017-09-01","Colaborador",1
"","2017-10-01","Colaborador",1
"","2017-11-01","Autor",1
"","2017-11-01","Colaborador",2
"","2017-12-01","Autor",1
"","2017-12-01","Colaborador",2
"","2018-01-01","Autor",1
"","2018-01-01","Colaborador",3
"","2018-02-01","Colaborador",3
"","2018-04-01","Colaborador",1
"","2018-06-01","Colaborador",1
"","2018-07-01","Autor",1
"","2018-07-01","Colaborador",1
"","2018-08-01","Colaborador",1
"","2018-09-01","Colaborador",1
"","2018-10-01","Colaborador",5
"","2018-11-01","Autor",1
"","2018-11-01","Colaborador",2
"","2018-12-01","Autor",2
"","2018-12-01","Colaborador",4
"","2019-01-01","Autor",1
"","2019-01-01","Colaborador",3
"","2019-02-01","Autor",1
"","2019-02-01","Colaborador",1
"","2019-05-01","Colaborador",1
"","2019-06-01","Autor",1
"","2019-07-01","Autor",1
"","2019-07-01","Colaborador",1
"","2019-08-01","Autor",1
"","2019-09-01","Autor",2
"","2019-09-01","Colaborador",1
"","2019-10-01","Autor",1
"","2019-10-01","Colaborador",1
"","2019-11-01","Autor",1
"","2019-11-01","Colaborador",1
"","2019-12-01","Colaborador",1
"","2020-02-01","Colaborador",4
"","2020-03-01","Autor",2
"","2020-03-01","Colaborador",2
"","2020-04-01","Autor",3
"","2020-04-01","Colaborador",1
"","2020-05-01","Colaborador",2
"","2020-06-01","Autor",1
"","2020-06-01","Colaborador",2
"","2020-07-01","Autor",1
"","2020-07-01","Colaborador",2
"","2020-08-01","Colaborador",2
"","2020-09-01","Autor",1
"","2020-09-01","Colaborador",2
"","2020-10-01","Colaborador",3
"","2020-12-01","Colaborador",1
"__cplusplus","2005-09-01","Autor",1
"__cplusplus","2011-03-01","Colaborador",1
"__GNUC__","2006-04-01","Autor",1
"__GNUC__","2007-10-01","Autor",1
"__GNUC__","2016-11-01","Colaborador",1
"__GNUC__","2018-10-01","Autor",1
"__MINGW32_VERSION","2005-09-01","Autor",1
"__MINGW32_VERSION","2011-03-01","Colaborador",1
"_DEBUG","2018-10-01","Autor",1
"_DEBUG","2018-11-01","Autor",1
"_MSC_VER","2005-09-01","Autor",1
"_MSC_VER","2008-05-01","Autor",1
"_MSC_VER","2011-03-01","Colaborador",1
"_MSC_VER","2014-01-01","Autor",1
"_MSC_VER","2016-06-01","Autor",1
"_MSC_VER","2016-12-01","Colaborador",1
"_MSC_VER","2018-10-01","Autor",1
"_MSC_VER","2018-10-01","Colaborador",1
"_MSC_VER","2018-11-01","Autor",1
"_MSC_VER","2018-12-01","Autor",1
"_MSC_VER","2020-03-01","Autor",1
"_MSC_VER","2020-03-01","Colaborador",1
"_MSC_VER    /* Visual Studio */","2016-06-01","Autor",1
"_MSC_VER    // Visual Studio","2014-01-01","Autor",1
"_MSC_VER    // Visual Studio","2016-06-01","Autor",1
"_MSC_VER   // This version is faster with Visual","2014-01-01","Autor",1
"_MSC_VER   // This version is faster with Visual","2016-06-01","Autor",1
"_MSC_VER  /* Dummy function needed to avoid empty file compiler warning in Microsoft VC */","2010-11-01","Colaborador",1
"_WIN32","2016-11-01","Autor",1
"_WIN32","2016-11-01","Colaborador",1
"_WIN32","2016-12-01","Colaborador",1
"_WIN32","2018-07-01","Autor",1
"_WIN32","2019-12-01","Autor",1
"_WIN32","2019-12-01","Colaborador",1
"_WIN32","2020-07-01","Autor",1
"_WIN32  /* This function is only used when compiling on Windows */","2016-11-01","Autor",1
"_WIN32 /* using SO_REUSEADDR on Windows will cause bind to succeed on port conflicts! */","2016-11-01","Autor",1
"_WIN64","2018-10-01","Autor",1
"_WIN64","2018-10-01","Colaborador",1
"!(_WIN32)","2007-10-01","Autor",1
"!(_WIN32)","2011-03-01","Colaborador",1
"!(ENABLE_DEBUG) && !(ENABLE_SMALL)","2016-12-01","Colaborador",1
"!(ENABLE_SNAPPY)","2012-09-01","Autor",1
"!(ENABLE_SNAPPY)","2014-01-01","Autor",1
"!(ENABLE_SNAPPY) && !(ENABLE_LZ4)","2014-01-01","Autor",1
"!(HAVE_READV) || !(HAVE_WRITEV)","2005-09-01","Autor",1
"!(HAVE_READV) || !(HAVE_WRITEV)","2011-03-01","Colaborador",1
"!(HAVE_READV) || !(HAVE_WRITEV)","2012-02-01","Colaborador",1
"!(IN)","2005-10-01","Autor",1
"!(LZ4_FORCE_UNALIGNED_ACCESS) && !(__GNUC__)","2014-01-01","Autor",1
"!(LZ4_FORCE_UNALIGNED_ACCESS) && !(__GNUC__)","2016-06-01","Autor",1
"!(OUT)","2005-10-01","Autor",1
"!(RSA_PKCS1_PADDING_SIZE)","2006-06-01","Autor",1
"!(RSA_PKCS1_PADDING_SIZE)","2007-10-01","Autor",1
"!(WIN32)","2006-04-01","Autor",1
"!(WIN32)","2007-10-01","Autor",1
"(__ARM_FEATURE_UNALIGNED)","2014-01-01","Autor",1
"(__ARM_FEATURE_UNALIGNED)","2016-06-01","Autor",1
"(__GLIBC__)","2014-01-01","Autor",1
"(__GLIBC__)","2016-06-01","Autor",1
"(__GNUC__)  && !(LZ4_FORCE_UNALIGNED_ACCESS)","2014-01-01","Autor",1
"(__GNUC__)  && !(LZ4_FORCE_UNALIGNED_ACCESS)","2016-06-01","Autor",1
"(__STDC_VERSION__) && __STDC_VERSION__ >= 199901L   // C99","2014-01-01","Autor",1
"(__STDC_VERSION__) && __STDC_VERSION__ >= 199901L   // C99","2016-06-01","Autor",1
"(__STDC_VERSION__) && (__STDC_VERSION__ >= 199901L)   /* C99 */","2016-06-01","Autor",1
