"Variabilidades","Desenvolvedor","Valor","Total"
"(ENABLE_HTTP_PROXY) &&  (ENABLE_DEBUG)",1,"2005-09-01",699
"!(IN)",1,"2005-10-01",699
"!(OUT)",1,"2005-10-01",699
"(HAVE_SETSOCKOPT) && (IPPROTO_TCP) && (TCP_NODELAY)",1,"2005-10-01",699
"(PKCS11H_ENABLE_HELPER)",1,"2005-10-01",699
"(USE_CRYPTO) && (USE_SSL) && (ENABLE_PKCS11)",1,"2005-10-01",699
"BROKEN_OPENSSL_ENGINE",1,"2005-10-01",699
"OPENSSL_VERSION_NUMBER < 0x00907000L && (CRYPTO_LOCK_ENGINE)",1,"2005-10-01",699
"!(WIN32)",1,"2006-04-01",699
"(ENABLE_PKCS11H_CERTIFICATE)",1,"2006-04-01",699
"(ENABLE_PKCS11H_DATA)",1,"2006-04-01",699
"(ENABLE_PKCS11H_ENUM)",1,"2006-04-01",699
"(ENABLE_PKCS11H_HELPER)",1,"2006-04-01",699
"(ENABLE_PKCS11H_LOCATE)",1,"2006-04-01",699
"(ENABLE_PKCS11H_OPENSSL)",1,"2006-04-01",699
"(ENABLE_PKCS11H_SLOTEVENT)",1,"2006-04-01",699
"(ENABLE_PKCS11H_STANDALONE)",1,"2006-04-01",699
"(ENABLE_PKCS11H_THREADING)",1,"2006-04-01",699
"(ENABLE_PKCS11H_TOKEN)",1,"2006-04-01",699
"(ENABLE_PKCS11H_TOKEN) || (ENABLE_PKCS11H_CERTIFICATE)",1,"2006-04-01",699
"(HAVE_CPP_VARARG_MACRO_ISO) && !(__LCLINT__)",1,"2006-04-01",699
"defined(HAVE_CPP_VARARG_MACRO_GCC) && !defined(__LCLINT__)",1,"2006-04-01",699
"!(RSA_PKCS1_PADDING_SIZE)",1,"2006-06-01",699
"(AUTO_USERID) && (WIN32)",1,"2006-11-01",699
"AUTO_USERID",1,"2006-11-01",699
"DDKVER",1,"2007-04-01",699
"USE_OLD_EXTRACT_X509_FIELD",1,"2008-02-01",699
"NETBSD_MULTI_AF",1,"2010-01-01",699
"TUNSIFHEAD",1,"2010-01-01",699
"(TARGET_WIN32) || \",1,"2010-02-01",699
"(ENABLE_HTTP_PROXY) || (ENABLE_PKCS11)",2,"2010-10-01",699
"(ENABLE_HTTP_PROXY) || (ENABLE_PKCS11) || (ENABLE_CLIENT_CR)",1,"2010-10-01",699
"defined(ENABLE_CLIENT_CR)",1,"2010-10-01",699
"_MSC_VER  /* Dummy function needed to avoid empty file compiler warning in Microsoft VC */",1,"2010-11-01",699
"(ENABLE_HTTP_PROXY) || (ENABLE_PKCS11) || (ENABLE_CLIENT_CR) || (MANAGMENT_EXTERNAL_KEY)",1,"2010-12-01",699
"MANAGEMENT_IN_EXTRA",1,"2010-12-01",699
"(ENABLE_CLIENT_NAT)",1,"2011-02-01",699
"__cplusplus",2,"2011-03-01",699
"__MINGW32_VERSION",2,"2011-03-01",699
"!(_WIN32)",2,"2011-03-01",699
"(ENABLE_EXECVE)",2,"2011-03-01",699
"(ENABLE_FRAGMENT) && (ENABLE_OCC)",2,"2011-03-01",699
"(ENABLE_HTTP_PROXY) && (ENABLE_DEBUG)",2,"2011-03-01",699
"(ENABLE_HTTP_PROXY) && (ENABLE_SOCKS)",2,"2011-03-01",699
"(ENABLE_PF)",2,"2011-03-01",699
"(ENABLE_PKCS11_FORCE_DEBUG)",2,"2011-03-01",699
"(ENABLE_PLUGIN_SEARCH)",2,"2011-03-01",699
"(HAVE_FLOCK) && (LOCK_EX) && (LOCK_NB)",2,"2011-03-01",699
"(HAVE_FTRUNCATE)",2,"2011-03-01",699
"(HAVE_GETSOCKOPT) && (SOL_SOCKET) && (SO_RCVBUF)",2,"2011-03-01",699
"(HAVE_GETSOCKOPT) && (SOL_SOCKET) && (SO_SNDBUF)",2,"2011-03-01",699
"(HAVE_RES_INIT)",2,"2011-03-01",699
"(HAVE_SETSOCKOPT) && (SOL_IP) && (IP_MTU_DISCOVER)",2,"2011-03-01",699
"(HAVE_SETSOCKOPT) && (SOL_SOCKET) && (SO_RCVBUF)",2,"2011-03-01",699
"(HAVE_SETSOCKOPT) && (SOL_SOCKET) && (SO_SNDBUF)",2,"2011-03-01",699
"(HAVE_TUN_PI) && (HAVE_IPHDR) && (HAVE_IOVEC) && (ETH_P_IPV6) && (ETH_P_IP) && (HAVE_READV) && (HAVE_WRITEV)",2,"2011-03-01",699
