"Arquivo","Desenvolvedor"
"argv.c",3
"auth_token.c",1
"auth-pam.c",1
"automatic.c",1
"base64.c",2
"block_dns.c",1
"buffer.c",1
"cert_data.c",2
"clinat.c",2
"common_osx.c",2
"common.c",2
"comp-lz4.c",2
"comp.c",1
"compat-basename.c",2
"compat-daemon.c",1
"compat-dirname.c",1
"compat-gettimeofday.c",2
"compat-inet_ntop.c",1
"compat-inet_pton.c",1
"compat-lz4.c",1
"compat-strsep.c",1
"compat.c",1
"compstub.c",2
"console_builtin.c",2
"console_systemd.c",2
"console.c",2
"crypto_mbedtls.c",2
"crypto_openssl.c",2
"crypto_osx.c",2
"crypto_polarssl.c",2
"crypto.c",1
"cryptoapi.c",2
"dhcp.c",1
"dllmain.c",1
"down-root.c",2
"env_set.c",1
"error.c",1
"event.c",1
"fdmisc.c",1
"forward.c",1
"fragment.c",1
"gremlin.c",1
"helper.c",1
"hexdump.c",1
"httpdigest.c",1
"ieproxy.c",1
"init.c",1
"instance.c",1
"interactive.c",1
"interval.c",1
"keyingmaterialexporter.c",2
"libtestengine.c",1
"list.c",2
"lladdr.c",1
"log_v3.c",2
"log.c",1
"lzo.c",1
"macinfo.c",1
"main.c",2
"manage.c",1
"mbuf.c",2
"mem.c",1
"memcmp.c",1
"misc.c",1
"mock_get_random.c",1
"mock_msg.c",2
"mroute.c",1
"msica_arg.c",1
"msica_op.c",2
"msiex.c",1
"mss.c",1
"mstats.c",2
"mtcp.c",2
"mtu.c",1
"mudp.c",3
"multi.c",2
"networking_iproute2.c",1
"networking_sitnl.c",1
"ntlm.c",3
"occ.c",1
"openvpn.c",1
"openvpnmsica.c",1
"openvpnserv.c",1
"options.c",1
"otime.c",1
"packet_id.c",2
"pamdl.c",1
"perf.c",2
"pf.c",2
"ping.c",1
"pkcs11_mbedtls.c",1
"pkcs11_openssl.c",1
"pkcs11_polarssl.c",1
"pkcs11-helper.c",1
"pkcs11.c",1
"platform.c",2
"plugin.c",1
"pool.c",2
"proto.c",1
"proxy.c",1
"ps.c",1
"push.c",3
"reliable.c",1
"ring_buffer.c",1
"route.c",2
"run_command.c",1
"sample-client-connect.c",1
"schedule.c",2
"service.c",1
"session_id.c",1
"shaper.c",1
"sig.c",1
"simple.c",1
"snappy.c",1
"socket.c",1
"socks.c",1
"ssl_mbedtls.c",2
"ssl_ncp.c",2
"ssl_openssl.c",2
"ssl_polarssl.c",1
"ssl_verify_mbedtls.c",2
"ssl_verify_openssl.c",2
"ssl_verify_polarssl.c",2
"ssl_verify.c",1
"ssl.c",4
"status.c",1
"tap.c",2
"tapdrvr.c",1
"test_argv.c",2
"test_auth_token.c",1
"test_buffer.c",1
"test_crypto.c",1
"test_ncp.c",2
"test_networking.c",1
"test_packet_id.c",1
"test_search_and_replace.c",1
"test_tls_crypt.c",2
"test.c",1
"test2.c",1
"thread.c",1
"tls_crypt.c",3
"tun.c",2
"u2d.c",1
"utils.c",2
"validate.c",1
"vlan.c",1
"win32.c",1
