"Arquivo","Variabilidades"
"asprintf.c",1
"bacon-cd-selection.c",6
"bacon-message-connection.c",1
"bacon-resize.c",2
"bacon-v4l-selection.c",5
"bacon-video-widget-gst-0.10.c",1
"bacon-video-widget-gst-missing-plugins.c",2
"bacon-video-widget-gst.c",3
"bacon-video-widget-properties.c",3
"bacon-video-widget-xine.c",10
"bacon-video-widget.c",1
"bacon-volume.c",2
"cd-drive.c",13
"disc-test.c",1
"dvd_plus_rw_utils.cpp",8
"egg-recent-model.c",4
"egg-recent-util.c",3
"egg-recent-vfs-utils.c",2
"egg-recent-view-gtk.c",3
"egg-recent-view.c",1
"eggsmclient-win32.c",1
"ev-sidebar.c",1
"gnome-password-dialog.c",1
"gstscreenshot.c",3
"gtk-playlist.c",2
"gtk-xine.c",4
"input_gnomevfs.c",3
"metadata-test.c",2
"scrsaver.c",1
"test-parser.c",1
"totem-audio-preview.c",2
"totem-cd-selection.c",1
"totem-dirs.c",2
"totem-disc-recorder.c",1
"totem-disc.c",4
"totem-download.c",1
"totem-dvb-setup.c",1
"totem-gallery-thumbnailer.c",3
"totem-glow-button.c",1
"totem-gromit.c",1
"totem-interface.c",1
"totem-irman.c",1
"totem-menu.c",1
"totem-missing-plugins.c",3
"totem-mozilla-plugin.c",2
"totem-mozilla-plugin.cpp",3
"totem-mozilla-scriptable.cpp",1
"totem-mozilla-viewer.c",3
"totem-object.c",3
"totem-pl-parser-lines.c",2
"totem-pl-parser-media.c",2
"totem-pl-parser-misc.c",2
"totem-pl-parser-pla.c",2
"totem-pl-parser-pls.c",2
"totem-pl-parser-podcast.c",2
"totem-pl-parser-qt.c",2
"totem-pl-parser-smil.c",2
"totem-pl-parser-wm.c",2
"totem-pl-parser-xspf.c",2
"totem-pl-parser.c",5
"totem-playlist.c",3
"totem-plugin-manager.c",1
"totem-plugin-viewer.c",4
"totem-plugin.c",2
"totem-plugins-engine.c",3
"totem-preferences.c",1
"totem-properties-page.c",1
"totem-python-module.c",3
"totem-remote.c",1
"totem-screenshot-plugin.c",1
"totem-screenshot.c",3
"totem-scrsaver.c",3
"totem-session.c",3
"totem-statusbar.c",3
"totem-subtitle-encoding.c",1
"totem-video-indexer.c",2
"totem-video-thumbnailer.c",5
"totem-volume.c",2
"totem-youtube.c",2
"totem.c",8
"totemComplexPlugin.cpp",1
"totemGMPPlaylist.cpp",1
"totemmodule.c",2
"totemNarrowSpacePlugin.cpp",1
"totemNPClass.cpp",2
"totemNPNGlue.cpp",3
"totemNPObject.cpp",1
"totemPlugin.cpp",28
"totemPluginGlue.cpp",2
"vanity.c",4
"video-dev.c",4
"video-utils.c",2
"xmllexer.c",2
"xmlparser.c",1
