"Desenvolvedor","Arquivo"
"Alexander Saprykin",4
"Bastien Nocera",177
"Brian Cameron",1
"Christian Fredrik Kalager Schaller",1
"Christian Persch",29
"Cosimo Cecchi",1
"Frederic Crozat",3
"Guillaume Desmottes",1
"Ignacio Casal Quinteiro",1
"James Livingston",1
"James Willcox",2
"Jan Arne Petersen",4
"Javier Jardon",4
"Jon Trowbridge",3
"Jonathan Matthew",1
"Julien Moutte",1
"Kjartan Maraas",2
"Mark Mcloughlin",1
"Mathias Hasselmann",1
"Matthias Clasen",1
"Matthieu Gautier",1
"Philip Withnall",38
"Robert Roth",1
"Robin Stocker",1
"Ronald Bultje",8
"Takao Fujiwara",1
"Tim-Philipp Muller",2
"Yosef Or Boczko",1
