"Commit","Variabilidades"
"0058ed2ede41a172a57e8756c5d5eb97c5ead365",2
"00c5ce17c2b3d1d6a093f30a85a0069b03ed547e",2
"011a99b05e764798b90bcd7dff94ec4dfad49101",2
"01950c7ba72209a44cc4e1b7772b5b9396e7da67",1
"03a059ee3d1c9ef41cb81583bf1765c1e2bbf255",2
"03c96e417f93e84364b14397b3e9749c8b8927aa",1
"040b118a86ac5a1f4e44d3f7662102b5afbce3d7",1
"052a8a1d26c71ad52e5ad70c2e6e24a0c3bcaf89",2
"05ba9e12ddcfb12bc2af695726e24712a2767ea0",1
"0602e46969caca100fd39537b4ffac8d80a97a23",1
"0645f6cffa78079e77c7213bf2409c19ea6caec9",1
"07ec4f18ac677e450eea82d3ee80a04271b6cfa3",1
"085364b191d3c1ec894adc41c5418cb74c89b9d3",1
"0939ca81b5980d68b2e287ea18f2df201e0c98d2",1
"0aca942eacc4a346f4420e6164ee609ea159273d",1
"0b579d9c5e7822da6a3608dd21c508ec9fa72f03",1
"0b6eee2afca978b53fb70bc9eff5ffb080d64ff6",1
"0bb0e018650560f346b1a2b8ec8a1c8b9a5a4cc7",24
"0c8280f12b14df7ba7aa8f679e6c8544e67368ef",2
"0e226ef235270e1cd58e283b37b200a39b594e36",1
"11896ed518caaa0d8af56403214a055877fccacc",2
"134edd345f99bc1b283f33a0d9fb20457d7b586a",1
"14abd80b16170aff306b5e32a727cc665f8c7c63",2
"15d8d71febc9da0c3ec3993213d9469fcd6ddfac",1
"17f7cc2571917634288393a322745292fa2c58a2",1
"187cd707d64fa149bf5932ddd776551852cff553",1
"1a107c5f613374f812fde8147082e18905ce0f9e",2
"1a88fef60b2d2a78a081f766cad20f798e87e9c4",3
"1ba688f0b1a9b3b349f8343db1225d5a1401a3fc",1
"1c6a0dcbe2d193e665198cdb7057853599510e87",2
"1cb72d98ec07a6ba8333fbd68916d9f386db6761",2
"1e13441ec61642c431dd2d534308ba10323244bb",6
"207ea4b388144131558de6bc692c68a6a8018505",3
"20fff7bb5d66fbf1183ffcfa91230e7663659854",2
"22ffcb06a34d8b51362ff976bf06c864ba0c6fa0",2
"2629388c66d1501401b51da19cbab85f6cd11b59",1
"2629f8eeac7cd2bf8750055e7a80cf5502420e74",1
"26947d6f667405332147a576db5ca3bc12ccaa8d",1
"26a564c99a4dd414ee4014e524e371188769a4e6",1
"2860fc372789d808daa63b7b183cfc272d1b64ea",1
"29ddfaa95da71cc8b34235f3f3270f5648d9bbf5",2
"2a4dc83b91c1462d8777299fd838c815fb1563da",1
"2a65714821c3c4165e9effe3ea942a05c446c222",1
"2a8e07be52fb11308433e3945c82614b5128ea4e",1
"2b8e0ec595cf78b3f5debb9a5ef6844b793051a0",2
"2e88e6e209dea4fe9537e96a105f1fcaeeb21a4a",1
"2eaef00029fae2af46b54f3e9f2178f73e9fa774",1
"2f49b103ea254ce9b209a9a3bc6f6632952b5fe3",1
"2f680da91ad76dd29eede8c6ead4528dfccdb54a",2
"31c85043c30dc198e6cc0b606f0afd504be3cd5c",1
"326aafc48580ba3835ac5cacaa3fc9221602f6a2",1
"32bf82c2976330bca4a8f567e154912146478f5a",1
"3353323b0c79dbdfe5ef3ca5f71037188dae9c13",3
"3448cb53523494ce6a85f6e4abf37f9d6e61be05",1
"3554b49cbe6ac9e13bd8ee7e24b9e2005aebf237",2
"356180dee55adff03840077d126b8704e136feb0",1
"36675533e06403ce8a103e46447b8b70c4121c43",1
"37c5d81ebc3ff01199ea104541897fc7819c0de7",1
"3835e9e04d1e053d564695375eb6565158d7b12b",1
"399549e66a4961d7287c08a01b2f6b837c8f5fbe",1
"3a95222727715950bd789ca6034b341300e1fc54",2
"3ac3aaa0365899f6c04b2f60dd551ed8f59bc036",1
"3ad3b1bf85415f2715706217479dba7440678e34",1
"3d292c2faee81a4d68944660e4729df11df56bd5",1
"3e51f4028c53da789a4bddbbf52b521ffc0fd286",1
"3f5172323b15f031899c5b34a5c68958c24a6e91",1
"3fc9486f0b0cf6f68d7483709fe92c0adb65698c",1
"3ffe549f08390d44a48a4c763968973c38585deb",1
"40364fdc98407a9c30d714a6ca774f9ac7a6cb78",1
"40fa40fb8d8cd4847181eec72c894b3ee5203c75",2
"41d676081f77fe251b98c775a51ee34206312231",1
"421c4d1243efb1751ef91135c7332b0167a00e9b",1
"42b34a77a388776b1949c863c150a994ce35daa6",2
"430037da6527c1730fea9d16c9cf0e6e79a8a420",1
"4436620d98276f067ec158629681fb7843993c3b",2
"4471b944cfd50bbcf6299965dbef03795ee023cb",1
"46be51e279fe8f7a7953124febf7c9b5900bda81",1
"479ea52afa955310ef7b6c20ef9816370a582c53",1
"47c4ac3c9725d594781b3f7b4ec05d21106be777",1
"48af7ac6ee32939617911b138f4e4c2e1ebe6882",2
"49b1ed6f4d19140577f24aed96220204e15bdf44",2
"49da6e0235d9857b1afe84e224bc15ee1b8e657c",1
"4a33065291d35eaf54b874fe9f6de82d692c651d",1
"4b78319a380052e297f7f8cc82d82c024568aac4",2
"4b82030880df746021e08d7fc175f914da24ba03",2
"4ea02f64e2f5dc9e50421710f4f3c0ab1787f699",1
"4ef75fabbe6e0a50edccdbb1d00c08051972d4c0",1
"5036cd4051bb06c5d59a3a4a81458277b8ee0318",3
"512fc1e9be55cf0d7f60dad3ad09f3334e502089",1
"51e6747d49a39432b036465fd6254999f7c91a8b",1
"5225d2e98b6fd9bb695915a1a9c579518e2cff5b",1
"540aaa7a104de22128218dd96be2c1078d2a3f8c",1
"56e813eafe23bbc195ffc3c8fe7628edef7c6500",1
"58ffbb5b9d280a8c73db6786bbc23871d4bd98c2",1
"5940feefedc705a537d4084b2bf4937c70225b87",1
"59c589992d589984339773bbe1e580da5850795b",2
"5a214fc8375d1dde7bac4255f595c47abfe8206a",1
"5a2835761ef70070c28cd275e4cdbcc2957c0e7f",15
"5beeb504574e5e025993ef4b9a6ba974ce75caf8",1
"5bf6a5d532290cbd311e190394d78f418d5c620d",4
"5d58e383a06bc4cb79e2d6a35b03af286f1823a5",1
"5dd8838b25a88bf2e4e7828278cb8adc6393f397",1
"5e3bd4a617d152e26b0e7817a9c1d0214f3b3a0c",2
