"Desenvolvedor","Data","EhAutor","Variabilidades"
"Alexander Saprykin","2010-07-01","Autor",1
"Bastien Nocera","2002-07-01","Autor",5
"Bastien Nocera","2002-08-01","Autor",2
"Bastien Nocera","2002-09-01","Autor",1
"Bastien Nocera","2002-10-01","Autor",5
"Bastien Nocera","2002-11-01","Autor",3
"Bastien Nocera","2002-12-01","Autor",2
"Bastien Nocera","2002-12-01","Colaborador",4
"Bastien Nocera","2003-01-01","Autor",2
"Bastien Nocera","2003-01-01","Colaborador",8
"Bastien Nocera","2003-02-01","Colaborador",4
"Bastien Nocera","2003-03-01","Colaborador",2
"Bastien Nocera","2003-04-01","Colaborador",5
"Bastien Nocera","2003-05-01","Colaborador",4
"Bastien Nocera","2003-06-01","Colaborador",5
"Bastien Nocera","2003-07-01","Colaborador",10
"Bastien Nocera","2003-08-01","Colaborador",2
"Bastien Nocera","2003-09-01","Colaborador",2
"Bastien Nocera","2003-10-01","Colaborador",2
"Bastien Nocera","2003-11-01","Colaborador",1
"Bastien Nocera","2003-12-01","Colaborador",3
"Bastien Nocera","2004-01-01","Colaborador",3
"Bastien Nocera","2004-02-01","Autor",1
"Bastien Nocera","2004-02-01","Colaborador",4
"Bastien Nocera","2004-03-01","Colaborador",3
"Bastien Nocera","2004-04-01","Colaborador",8
"Bastien Nocera","2004-05-01","Colaborador",1
"Bastien Nocera","2004-06-01","Colaborador",16
"Bastien Nocera","2004-07-01","Colaborador",3
"Bastien Nocera","2004-08-01","Colaborador",1
"Bastien Nocera","2004-09-01","Colaborador",17
"Bastien Nocera","2004-10-01","Colaborador",2
"Bastien Nocera","2004-11-01","Colaborador",1
"Bastien Nocera","2004-12-01","Colaborador",7
"Bastien Nocera","2005-01-01","Colaborador",4
"Bastien Nocera","2005-02-01","Colaborador",3
"Bastien Nocera","2005-03-01","Colaborador",3
"Bastien Nocera","2005-04-01","Colaborador",2
"Bastien Nocera","2005-05-01","Colaborador",3
"Bastien Nocera","2005-06-01","Colaborador",1
"Bastien Nocera","2005-07-01","Colaborador",3
"Bastien Nocera","2005-08-01","Colaborador",4
"Bastien Nocera","2005-09-01","Colaborador",2
"Bastien Nocera","2005-10-01","Colaborador",3
"Bastien Nocera","2005-11-01","Colaborador",2
"Bastien Nocera","2005-12-01","Colaborador",1
"Bastien Nocera","2006-01-01","Colaborador",4
"Bastien Nocera","2006-02-01","Colaborador",1
"Bastien Nocera","2006-03-01","Colaborador",1
"Bastien Nocera","2006-04-01","Colaborador",1
"Bastien Nocera","2006-05-01","Colaborador",7
"Bastien Nocera","2006-06-01","Colaborador",2
