"Variabilidades","Data","EhAutor","Desenvolvedor"
"","2002-07-01","Autor",1
"","2002-07-01","Colaborador",1
"","2002-08-01","Autor",1
"","2002-08-01","Colaborador",1
"","2002-09-01","Autor",1
"","2002-09-01","Colaborador",1
"","2002-10-01","Autor",1
"","2002-10-01","Colaborador",1
"","2002-11-01","Autor",1
"","2002-11-01","Colaborador",1
"","2002-12-01","Autor",1
"","2002-12-01","Colaborador",1
"","2003-01-01","Autor",1
"","2003-01-01","Colaborador",1
"","2003-02-01","Autor",1
"","2003-02-01","Colaborador",1
"","2003-03-01","Autor",1
"","2003-03-01","Colaborador",1
"","2003-04-01","Autor",1
"","2003-04-01","Colaborador",2
"","2003-05-01","Autor",1
"","2003-05-01","Colaborador",2
"","2003-06-01","Autor",1
"","2003-06-01","Colaborador",1
"","2003-07-01","Autor",1
"","2003-07-01","Colaborador",2
"","2003-08-01","Colaborador",1
"","2003-09-01","Autor",1
"","2003-09-01","Colaborador",2
"","2003-10-01","Colaborador",1
"","2003-11-01","Colaborador",1
"","2003-12-01","Colaborador",2
"","2004-01-01","Autor",1
"","2004-01-01","Colaborador",2
"","2004-02-01","Autor",1
"","2004-02-01","Colaborador",2
"","2004-03-01","Autor",1
"","2004-03-01","Colaborador",1
"","2004-04-01","Colaborador",1
"","2004-05-01","Colaborador",1
"","2004-06-01","Autor",1
"","2004-06-01","Colaborador",1
"","2004-07-01","Autor",1
"","2004-07-01","Colaborador",1
"","2004-08-01","Autor",1
"","2004-08-01","Colaborador",1
"","2004-09-01","Colaborador",1
"","2004-10-01","Autor",1
"","2004-10-01","Colaborador",2
"","2004-11-01","Autor",1
"","2004-11-01","Colaborador",2
"","2004-12-01","Colaborador",2
"","2005-01-01","Autor",1
"","2005-01-01","Colaborador",2
"","2005-02-01","Autor",1
"","2005-02-01","Colaborador",2
"","2005-03-01","Autor",1
"","2005-03-01","Colaborador",2
"","2005-04-01","Colaborador",2
"","2005-05-01","Colaborador",2
"","2005-06-01","Colaborador",2
"","2005-07-01","Autor",1
"","2005-07-01","Colaborador",2
"","2005-08-01","Autor",1
"","2005-08-01","Colaborador",2
"","2005-09-01","Colaborador",1
"","2005-10-01","Colaborador",1
"","2005-11-01","Colaborador",2
"","2005-12-01","Colaborador",2
"","2006-01-01","Colaborador",3
"","2006-02-01","Colaborador",3
"","2006-03-01","Colaborador",1
"","2006-04-01","Colaborador",1
"","2006-05-01","Colaborador",1
"","2006-06-01","Colaborador",1
"","2006-07-01","Colaborador",1
"","2006-08-01","Autor",2
"","2006-08-01","Colaborador",1
"","2006-09-01","Colaborador",1
"","2006-10-01","Autor",2
"","2006-10-01","Colaborador",1
"","2006-11-01","Autor",1
"","2006-11-01","Colaborador",1
