"Variabilidades","Desenvolvedor","Valor","Total"
"DEBUG",1,"2002-07-01",148
"DEBUG_PL_ENABLE",1,"2002-07-01",148
"TOTEM_DEBUG",1,"2002-07-01",148
"XShmGetEventBase",1,"2002-07-01",148
"HAVE_XTEST",1,"2002-08-01",148
"HAVE_IRMAN",1,"2002-09-01",148
"__GNUC__",1,"2002-10-01",148
"LOG",1,"2002-10-01",148
"__linux__",1,"2002-12-01",148
"USE_STABLE_LIBGLIB",1,"2002-12-01",148
"USE_STABLE_LIBGNOMEUI",1,"2002-12-01",148
"ENABLE_NLS",1,"2003-01-01",148
"ENABLE_REMEMBER_INFO",1,"2003-01-01",148
"HAVE_RSVG",1,"2003-01-01",148
"HAVE_XFREE",1,"2003-02-01",148
"HAVE_XSUN",1,"2003-02-01",148
"UNIX_PATH_MAX",1,"2003-02-01",148
"THUMB_DEBUG",1,"2003-03-01",148
"HAVE_XINE",1,"2003-04-01",148
"__FreeBSD__",1,"2003-05-01",148
"HAVE_RANDR",1,"2003-06-01",148
"HAVE_X86",1,"2003-06-01",148
"_FILE_OFFSET_BITS",1,"2003-07-01",148
"_GNU_SOURCE",1,"2003-07-01",148
"_LARGEFILE_SOURCE",1,"2003-07-01",148
"_LARGEFILE64_SOURCE",1,"2003-07-01",148
"(__linux__) ||  (__FreeBSD__)",1,"2003-07-01",148
"(__linux__) || (__FreeBSD__)",1,"2003-07-01",148
"(__linux)",1,"2003-07-01",148
"HAVE_XINE_CLOSE",1,"2003-09-01",148
"HAVE_REMOTE",2,"2003-10-01",148
"XINE_LANG_LABEL_MAX_SIZE",1,"2003-12-01",148
"USE_HAL",1,"2004-02-01",148
"LIBSTDCXX_HACK",1,"2004-04-01",148
"! (__linux__)",1,"2004-06-01",148
"!( (__linux__)) || ( (__linux__) && ( (USE_HAL)))",1,"2004-06-01",148
"(__linux__)",1,"2004-06-01",148
"defined (__FreeBSD__)",1,"2004-06-01",148
"gettext_noop",2,"2004-09-01",148
"HAVE_GTK_ONLY",2,"2004-10-01",148
"HAVE_XVIDMODE",1,"2004-12-01",148
"XINE_GUI_SEND_WILL_DESTROY_DRAWABLE",1,"2004-12-01",148
"HAVE_NVTV",2,"2005-01-01",148
"HAVE_NCB",1,"2005-03-01",148
"XINE_MSG_FILE_EMPTY",1,"2005-05-01",148
"F_TLOCK",1,"2005-08-01",148
"G_OS_WIN32",1,"2005-08-01",148
"EGG_COMPILATION",1,"2005-10-01",148
"DBUS_NAME_FLAG_PROHIBIT_REPLACEMENT",1,"2005-11-01",148
"HAVE_GSTREAMER_09",1,"2005-11-01",148
"HAVE_LOCKF",1,"2006-01-01",148
"GST_TAG_IMAGE",2,"2006-05-01",148
"HAVE_HAL",1,"2006-05-01",148
"HAVE_HAL_0_2",1,"2006-05-01",148
"HAVE_HAL_0_5",1,"2006-05-01",148
"DEBUG_ENCODINGS",1,"2006-06-01",148
"GNOME_ENABLE_DEBUG",1,"2006-09-01",148
