"Arquivo","Desenvolvedor"
"asprintf.c",1
"bacon-cd-selection.c",1
"bacon-message-connection.c",1
"bacon-resize.c",1
"bacon-time-label.c",2
"bacon-v4l-selection.c",2
"bacon-video-controls-actor.c",2
"bacon-video-header-actor.c",2
"bacon-video-osd-actor.c",2
"bacon-video-spinner-actor.c",1
"bacon-video-widget-common.c",2
"bacon-video-widget-gst-0.10.c",1
"bacon-video-widget-gst-missing-plugins.c",2
"bacon-video-widget-gst.c",2
"bacon-video-widget-properties.c",1
"bacon-video-widget-xine.c",1
"bacon-video-widget.c",1
"bacon-volume.c",2
"bvw-test.c",1
"cd-drive.c",1
"clock.c",2
"disc-test.c",2
"dvd_plus_rw_utils.cpp",2
"egg-recent-item.c",2
"egg-recent-model.c",1
"egg-recent-util.c",1
"egg-recent-vfs-utils.c",1
"egg-recent-view-gtk.c",2
"egg-recent-view.c",2
"eggdesktopfile.c",2
"eggfileformatchooser.c",1
"eggsmclient-osx.c",1
"eggsmclient-win32.c",2
"eggsmclient-xsmp.c",1
"eggsmclient.c",1
"ev-sidebar.c",1
"gd-fullscreen-filter.c",1
"gd-tagged-entry.c",1
"gnome-authn-manager.c",1
"gnome-caption-table.c",1
"gnome-password-dialog.c",1
"gnome-screenshot-widget.c",2
"gsd-media-keys-window.c",2
"gsd-osd-window.c",2
"gstscreenshot.c",2
"gstvideowidget.c",2
"gtk-message.c",1
"gtk-playlist.c",1
"gtk-xine-properties.c",1
"gtk-xine.c",1
"icon-helpers.c",1
"input_gnomevfs.c",1
"list_cddrives.c",1
"list_v4l.c",1
"metadata-test.c",1
"override_common.c",1
"rb-ellipsizing-label.c",1
"screenshot-filename-builder.c",2
"scrsaver.c",1
"test-glow-button.c",2
"test-icons.c",1
"test-parser.c",1
"test-properties-page.c",2
"test-time.c",1
"test-totem.c",1
"totem-apple-trailers.c",1
"totem-aspect-frame.c",1
"totem-audio-preview.c",1
"totem-autoload-subtitles.c",1
"totem-bemused.c",3
"totem-cd-selection.c",1
"totem-cell-renderer-video.c",3
"totem-chapters-utils.c",1
"totem-chapters.c",3
"totem-cmml-parser.c",3
"totem-dirs.c",2
"totem-disc-recorder.c",1
"totem-disc.c",1
"totem-dnd-menu.c",2
"totem-download.c",2
"totem-dvb-setup.c",2
"totem-edit-chapter.c",2
"totem-fullscreen.c",1
"totem-galago-plugin.c",1
"totem-galago.c",3
"totem-gallery-progress.c",1
"totem-gallery-thumbnailer.c",1
"totem-gallery.c",3
"totem-glow-button.c",2
"totem-grilo.c",1
"totem-gromit.c",2
"totem-gst-helpers.c",1
"totem-gst-pixbuf-helpers.c",1
"totem-im-status.c",1
"totem-interface.c",1
"totem-irman.c",1
"totem-lirc.c",1
