"Arquivo","Variabilidades"
"airbrake_plugin.c",1
"alarm_curl_plugin.c",3
"alarm.c",1
"amqp.c",1
"async.c",2
"asyncio.c",2
"base.c",1
"buffer.c",1
"cache.c",3
"cgi_plugin.c",2
"channels.c",1
"cheaper_backlog2.c",1
"cheaper_busyness.c",1
"chunked.c",1
"cluster.c",3
"config.c",1
"corerouter.c",1
"coroae.c",2
"cr_common.c",4
"cr_map.c",2
"cr_sctp.c",1
"cron.c",1
"curl_cron.c",1
"daemons.c",5
"dumb.c",1
"emperor_pg.c",1
"emperor_zeromq.c",1
"emperor.c",11
"erlang.c",1
"evdis.c",1
"event.c",4
"expires.c",1
"fastcgi.c",1
"fastrouter.c",1
"fiber.c",1
"filemonitor.c",1
"firewall.c",1
"fork_server.c",2
"forkptyrouter.c",7
"fr_events.c",3
"fr_map.c",1
"fr_sctp.c",1
"fsmon.c",3
"gateway.c",1
"gccgo_plugin.c",2
"gevent.c",1
"glusterfs.c",2
"gzip.c",1
"hooks.c",5
"http.c",4
"https.c",2
"init.c",5
"io.c",4
"json.c",1
"keepalive.c",1
"ldap.c",2
"legion.c",1
"linux_ns.c",4
"lock.c",16
"logging.c",13
"loop.c",1
"lua_plugin.c",1
"master_events.c",1
"master_utils.c",5
"master.c",11
"metrics.c",1
"mod_uwsgi.c",7
"mono_plugin.c",1
"mount.c",28
"mule.c",1
"netlink.c",1
"ngx_http_uwsgi_module.c",1
"offload.c",7
"php_plugin.c",3
"plugin.c",2
"profiler.c",1
"protocol.c",7
"proxy.c",5
"psgi_loader.c",1
"psgi_plugin.c",1
"psgi_response.c",1
"pty.c",13
"pump_subhandler.c",3
"puwsgi.c",1
"pyerl.c",1
"pyloader.c",8
"pypy_plugin.c",4
"python_plugin.c",18
"pyutils.c",7
"rack_api.c",3
"rack_plugin.c",7
"rados.c",2
"regexp.c",1
"router_access.c",1
"router_basicauth.c",5
"router_cache.c",2
"router_fcgi.c",1
"router_hash.c",1
"router_http.c",1
"router_memcached.c",1
"router_redis.c",1
"router_rewrite.c",1
"router_spnego.c",1
"router_static.c",1
"router_xmldir.c",1
"routing.c",4
"rpc_plugin.c",4
"rr_events.c",1
"sctp.c",2
"sendfile.c",14
"session.c",1
"setup_utils.c",2
"signal.c",2
"snmp.c",4
"socket.c",14
"spdy3.c",1
"spooler.c",8
"sqlite3.c",2
"ssl.c",3
"sslrouter.c",2
"stackless.c",2
"static.c",4
"strings.c",1
"subscription.c",3
"symcall_plugin.c",2
"symimporter.c",3
"syslog_plugin.c",1
"tofile.c",1
"tt.c",1
"tuntap.c",1
"ugreen.c",3
"utils.c",43
"uwsgi_handlers.c",1
"uwsgi_plmodule.c",1
"uwsgi_pymodule.c",21
"uwsgi.c",34
"uwsgidump.c",2
"web3_subhandler.c",2
"webdav.c",2
"websockets.c",1
"writer.c",1
"wsgi_handlers.c",18
"wsgi_headers.c",4
"wsgi_subhandler.c",7
"xattr.c",1
"xmlconf.c",4
"yaml.c",1
"zeromq.c",2
