"Commit","EhAutor","Arquivo"
"009a3f2c0dcba1a5deb5c6f8286d64c5f37b0656","Colaborador",1
"009e42f3494a625f1d164899f0b0c0fa273f8150","Colaborador",1
"00a38d8ec5a618eed63745352ec874b88356720c","Colaborador",1
"00bd8cc52536bcc73a6ee9f4ab8017fdcbc40bc4","Colaborador",1
"00bf0aa71328a7b946cc238a74c224b2809dd77d","Colaborador",1
"00c5a7755413f642c428e8a3c5c7bf2c5828aac5","Autor",1
"00e5809a718258df2da7a8c14ed103c7059bfd08","Autor",1
"00e67a075d25ba282a577b6e1370ff5c6c71ab22","Colaborador",1
"00eb37f7245183012214532b61e3ac36a2d6b521","Autor",1
"010651073cb8012c7e5bc5ffc966bdb01ab74d65","Colaborador",1
"0132c00f41653732a0516cb866bceb541316fc68","Autor",1
"01d3133fce1f3909f7915efde99ce9a1cef6dc21","Colaborador",1
"0217766dd1a8a4896df6579309dd0b1b59bb04af","Colaborador",1
"0223c74ecc06335c6e96ee2c017b1e313e859e04","Colaborador",1
"02693489fe8ff60cd29692fa873ba129866729ca","Colaborador",1
"028bc8d1fbb060062e882bfe77d4ba31973b4b23","Colaborador",1
"03467ece6cccaab9cc37322c868124be2d471316","Colaborador",1
"036df0e5ff0a873aafa5ff85cd5b0a053c9cd0a6","Colaborador",1
"03a4e900eaa58a4110aa0b0bb1730e9e0d1573db","Colaborador",1
"03bdaa50b6c8dcf8d9c3dfcd5d487b3bee9b04d2","Colaborador",1
"040da073238b602146df7888052828dd4da31dff","Autor",1
"04173869ee44c4669b6ff8643318916c8d4c0cc2","Colaborador",1
"048299e1d396ed1a7ee607444adf32bf4741e887","Colaborador",1
"04ad72ef44160e2d01795218711d64f415360ba4","Colaborador",1
"04dfc3ae19c80f9a9438700ff8696b788a92c7c3","Colaborador",1
"04f2444ea082b499c81165f9404b731ede55d8ec","Colaborador",1
"056417303c9a125792679d317e48dbc1c41b3ac4","Colaborador",1
"0575859f2db36362ab13f0118e01fed14b7633f1","Colaborador",1
"0586a2ba47cd323329e2e2a13f87eea865739f7a","Colaborador",1
"0587a0ca533dac9efba2878fe34a26b99435317c","Colaborador",1
"05ad7bf07e252360ffa20db8dfc5530fa3e0866d","Colaborador",1
"060462b849718b8ad42c7dd4c281f0e1b1cb9358","Colaborador",1
"0644d53572c2eca8de5560467aec3a2f177c64e7","Colaborador",1
"065dd7cfff9381ff8d941edb22160acaf6b8905c","Colaborador",1
"066ef55766db47e7d082904542e8317f78075e14","Colaborador",1
"0676c5e6a82d8976775c7cad22b8ed45560da40c","Colaborador",1
"0692bf45dad8f0d7e7a813462a388a102f3393b6","Colaborador",1
"06ea1fcd1b44e8bf2b0429df34b662a21ebef833","Colaborador",1
"0768122d9027ef7bce3d0a285d58ca815a9586ae","Colaborador",1
"0770fd881527c0bebf786c6c97af990db99386d3","Colaborador",1
"0791394f1ac2cb34bc5f255dd5f9ca832f801192","Colaborador",1
"07a0ab4227f5a259b13b9d742feb8560656c8483","Colaborador",1
"07bd3f5df04093b3b2f75b69514bc22d61066619","Autor",1
"0803a7f0b010f39a2311732c71ad94ee9749f1be","Autor",1
"0803a7f0b010f39a2311732c71ad94ee9749f1be","Colaborador",1
"082d47e15647c1e56aece6abd5f39e8d9571a481","Autor",1
"08443d54637efe9b00d4a1829668c3c188554e2f","Colaborador",1
"08afa73e69f629af217f47dc1ab2785201c07fba","Colaborador",1
"08b243714612fc24ce991512030fff8683b82ac2","Colaborador",1
"08ea52164ce021df1de874cebe8535f9253c5258","Colaborador",1
"095b9154e08b68cc218b8b3d98bba20dff93eccb","Colaborador",1
"0961d61a88360d739342f1c3fef4c553d0e4a144","Autor",1
"099403d554aae63876a1d9233c526c46f941fe62","Colaborador",1
"09a81042564a3f13f476a2d42133477cd3259994","Colaborador",1
"09ab2a3d393d90748f01ac02d3a3b930f02bcd11","Colaborador",1
"09b8332236ed1fdab9ad950a094a95be0cb3e7af","Colaborador",1
"0a025ef93aa5fef0057153f0794e688b12c0cb25","Colaborador",1
"0a599200258e8b444ba8f72af4b955b3d31cbcd4","Colaborador",1
"0a6eb596bbba27c0aee08d2b2ddc2d414fb909a7","Colaborador",1
"0a7e5a41a2587ec19167b47bd472142b6d598eff","Autor",1
"0a9b5f05b0c6722db6d916d44d5cc8f6f2d43da8","Colaborador",1
"0ab55fef4660007df66f0ab14668eb0af3aafee6","Colaborador",1
"0abbabbe10040f562c49dcefd27c502356c5ef44","Colaborador",1
"0b010124ef42eabf4e2ccd0263852dc5210173c1","Colaborador",1
"0b2458d74add98bb417ad4c723d031f1eae3b524","Colaborador",1
"0b27d41712b19bd86835163ac539e39e923c9303","Colaborador",1
"0b5f9fcb4813d8c079484d5d508bafac38876006","Colaborador",1
"0b8b6346bee0de9a584d50eb6ea6faa021ace622","Colaborador",1
"0beb7108e48d81405cb43db463a01f81b6b42700","Colaborador",1
"0c0c2736a727fbe5e65e0eb4d0a5f78ba1f58239","Colaborador",1
"0c1a25b8a6dee8b24ccb27bdd6f240c1f3a9c2db","Colaborador",1
"0c26928236347e4e1dd7da8a13aa2c3e17be6fd4","Autor",1
"0c465775adcdc3b80fb60059b54aed4ec9c99526","Colaborador",1
"0ca89771d6df2b42bd84d9ec4355dd5db3b47479","Autor",1
"0ccd31bee0cd0b2a5d3dc2b3866849f1c2c40da2","Colaborador",1
"0d382a846a51831181d3e3270f0fa7eb1ec6c9e8","Colaborador",1
"0d60b001fbab5674807f2e0d752d96969b28d137","Colaborador",1
"0da0fa211ad500ab9221fe5d39da96f87cc80ab9","Colaborador",1
"0dffa344b4ddf609b68d5f0ec77766fa722d8a74","Autor",1
"0dffa344b4ddf609b68d5f0ec77766fa722d8a74","Colaborador",1
"0e08c0211ce65982edc708f951bee36bbb275b1d","Colaborador",1
"0e1de3d6e8ddf5030b2a3590c3b80dcd5cfd404d","Colaborador",1
"0e539f25cde2827480740488026c5b05589f9035","Colaborador",1
"0e5f8acde5f1a6184e0f7b567992bb022883a3a7","Colaborador",1
"0e695cbd6efb1a45dec7da1759122e92dcd7974d","Autor",1
"0e8a30929e5ab8a3f667b6e76fd6d8fc949ce578","Autor",1
"0ee41380d34f7b7f0d948a61b280d136dba1c84e","Colaborador",1
"0f00d6fb238d36f65f6519883fbfa1ea248dd31b","Colaborador",1
"0f156fc25e186e987b6e6586e1ed903493453691","Autor",1
"0f2fff31ee4fa537420335b89a753c00c49d3dc5","Colaborador",1
"0f31c21f4ae37d5d5c3667b4c5927196530d5642","Colaborador",1
"0f354cbf2c6bbfe5edba9c0090851fb6098d76a0","Colaborador",1
"0f397eeb55532296b3bcddb9148bc5b6fa8346f2","Colaborador",1
"0f4e1eb7e2047392663750e8b5696aceaf238a07","Autor",1
"0f5336028f78cea21028ef02cafa471b70e722b5","Colaborador",1
"0f5a1d66fb2c006e2b37f985e0ecd55399c0d06a","Colaborador",1
"0f5dba58282671d7c0ec5b04763bf5b20693ed4d","Colaborador",1
"0f95ef6d5afa56c6c62cc10ccd3c4441f9711428","Colaborador",1
"0fc74dac4d3575463ce3a4b054cfd28b90a674d7","Colaborador",1
"0ff6277f282acbcc18522a5f8f91fa34dd690e99","Colaborador",1
"0ffcb9e05eda74d6c66c246b4a24e58cf99ed9de","Colaborador",1
"10073bc4ae444c4f59624a31a9824dca250c47d9","Autor",1
"1015ef9611a3a7fb10a34db7c7a39dfed2d37ffd","Colaborador",1
"10377f02a3adb7f10dc8940a8e607ddd89486a76","Colaborador",1
"1054b60040c3c848ea4619206bad738acf551d19","Colaborador",1
"109c32a895c10915bc13479076dcf10387a30224","Colaborador",1
"10a4aa2a7650b9f9f8434d8852735558080a67c9","Colaborador",1
"10c0c1d0c55c1a91ec6e81c9821f6bda404bd160","Colaborador",1
"10d4d10ac9b8b8c91e1f31d834356736d65f7f3f","Colaborador",1
"10dd06fde59f41aee22c459fbaebe94714c2f863","Colaborador",1
"110a09cf06517e2dd2dcfeb41897cfec61393c8f","Colaborador",1
"115470837e90467fb5866d43bcae3f6856d4d6dc","Colaborador",1
"1154aa8ddcfe50258946f97dfecf09bedbedf44a","Colaborador",1
"117293e2ac119a28b8a1d3b9fc95d46c18cfb902","Colaborador",1
"11973cab399aaa23d27f75021cfc8703cb1a391c","Colaborador",1
"11b0e431f4cce16a08a56dfd56fa33fdca0d0e7d","Colaborador",1
"11ca00432176f4246881870ea6c7c4ea5a26481f","Autor",1
"11d2c004c245ef74ed480f0b1192a71cdad85ae3","Colaborador",1
"11d8968e3528e62a0786f00ed2858a5bac85b676","Colaborador",1
"1239e740abfc044e793876d50d4dcfce851850ff","Colaborador",1
"124db58683d21a9b40d4f7409ec8f93010e0270b","Autor",1
"131bd7da2fd55e2df3ecc00c60cf2c42ad5f4c63","Autor",1
"13277d9d71ffaca15fdfcb61e1a872793d9af65c","Autor",1
"1393281c74229dac3a6de9e421d201a6228ebbae","Autor",1
"13c998fb8d322fe6d46cc0b652c092370c1a1925","Autor",1
"13de7b6d5be84b69b11a1e26cc85f97447873c49","Colaborador",1
"13e7b53c54e3f9da66a191d9491caf88a5440e6e","Colaborador",1
"13f82176e38893ebd4d9770a264fe8498e894e02","Colaborador",1
"1427c9ce1c4fea6b4ef6fac5ef0293f9ce333c18","Autor",1
"144ffbaa25cf835cfebfdfbb426fd8e621e95185","Colaborador",1
"14a9de214729dc32e5b85ed40e230d48ca91a7e8","Colaborador",1
"14c58c8e628a8b0991a3a040193a0269494043e7","Autor",1
"14eeae09b158735f7f6e92f49ff5c0959669ac3b","Colaborador",1
"152fb9cde9299a19db14cbdc890f268105e24ce7","Colaborador",1
"154d17ec2bd67ccf2e008a0731747a0ed09cc057","Colaborador",1
"15a0b7fbc964e8f4f8368ec30bcf70e9c69c91f0","Colaborador",1
"15a94b8fb03700d9c081623e9a2f6ff476ec0761","Colaborador",1
"15c0b5f5e9a2d678c45a9bf3ee2bbc46438c7655","Colaborador",1
"15fa7a9c0985feb850ee5f4dafc88db71719485b","Colaborador",1
"1646f9c1998e682fb749a4adea9ab7eaf50d644c","Colaborador",1
"165d7201ecfbb34a78844a01bb3829ff9e661754","Colaborador",1
"1662f58a09222da3ef204d4c4795aa32ff997679","Colaborador",1
"169c3a797066aa6c8a1c57918c6eef0ffb616e59","Autor",1
"16aec7c44b45b652c3ca142fe97a336462d83ab4","Colaborador",1
"16b65d7dbe8fcd468fd59b09c27deb74f1cc135c","Colaborador",1
"16c55f021721e4d44e5c16c4a0c099431fa5bea8","Autor",1
"16cd55637d4f3ff3cd6787723950d64d7f1a0dd1","Colaborador",1
"16eb47070dd6623d26cadaed799a79a403f288b5","Colaborador",1
"1729275f8c347afbeb210ad26f0a6e5a51dde737","Colaborador",1
"1775526b895ec7c3b867bcd48404857347979ec6","Colaborador",1
"17965ea8700d9da738da42d2b05dea7ce04ebe3c","Colaborador",1
"17ec600146809804642e6a5e7f8d8a482d6b6f78","Colaborador",1
"18080df77aa5c9428efc443609b7a367aa46d551","Colaborador",1
"1810af7b2db247f035239d188f3ddeade6ad02bc","Colaborador",1
"18b177db2587819e8a94e6346c38f79bd621d28a","Colaborador",1
"18ddfae5caf43539d5949c055d7ab99fb92d3874","Colaborador",1
"18dead4cd2a11176786f7e1465b2eac958fe3fa4","Colaborador",1
"18dfd10b71ea05eb22888084a833086a3b0e99a3","Autor",1
"18f6660603916a347a33e46ccc584eeb0a4882ae","Colaborador",1
"18fa1172db63229f88ca1e8dec99ac9b2270321a","Colaborador",1
"19047159b48a97c44109bb8e8f67b8cb7383c5e6","Colaborador",1
"192186056e13f7934393b8a7f82fb67358d1e7a4","Colaborador",1
"1996305eb1a813db6d8cccfe12caaec5c185ebe1","Colaborador",1
"199b0b9f57c6e03852daa0adc18f21ed522aefa2","Autor",1
"19aa7c25601a35d59b237a28a11ff1d7831d6e7b","Colaborador",1
"19c2e22d375cb259837b2808bad50340e1fa725c","Colaborador",1
"19c5bfb42cef43836555bb915fb7346d42e02776","Colaborador",1
"19cf592e77980e239446a443927e22b940708489","Autor",1
"19cf592e77980e239446a443927e22b940708489","Colaborador",1
"19ee50949c603ed84507c1843a384bfba010dfc7","Colaborador",1
"1a50463ed9cd505ccaa3b2ef6e425f6fe745dbd1","Colaborador",1
"1a636343597c6b272bd2bc57caeb6cd5fdedf51e","Colaborador",1
"1ae05a9ebc6ff3d9efd83ec081c82bb7d613491e","Colaborador",1
"1af7089613b26d36201ff0517c84df288de55540","Colaborador",1
"1b25516ced00423bb713d7725548c948e1107a95","Colaborador",1
