"Desenvolvedor","Arquivo"
"Colin Ligertwood",1
"Colinlbc",1
"Curtis Maloney",1
"Felicity Tarnell",1
"Getcwd",1
"Guido Berhoerster",1
"Hleran",1
"Lukasz Mierzwa",5
"Marko Tiikkaja",1
"Mike Kaplinskiy",2
"Paul J Stevens",1
"Riccardo Magliocchetti",7
"Roberto",1
"Roberto De Ioris",22
"Roberto@Arch",1
"Roberto@Debian32",12
"Roberto@Dj2",1
"Roberto@Fedora15",1
"Roberto@Fierobecco",3
"Roberto@Fiorenzo",4
"Roberto@Goyle",5
"Roberto@Icarus",1
"Roberto@Localhost.Localdomain",2
"Roberto@Maverick64",6
"Roberto@Mrspurr",2
"Roberto@Natty32",8
"Roberto@Oneiric64",12
"Roberto@Openbsd50",2
"Roberto@Openindiana",1
"Roberto@Precise64",17
"Roberto@Quantal64",15
"Roberto@Silente",1
"Roberto@Sirius",39
"Roberto@Sirius.Local",1
"Roberto@Solaris",1
"Roberto@Solarisexpress",1
"Roberto@Ubuntu64",2
"Roberto@Unbit",1
"Roberto@Voldermort",1
"Unbit",145
