"Commit","Variabilidades"
"00e5809a718258df2da7a8c14ed103c7059bfd08",1
"02e68ae578aa5ea36722c74cd4993ca0cf727c57",1
"03a4e900eaa58a4110aa0b0bb1730e9e0d1573db",1
"048299e1d396ed1a7ee607444adf32bf4741e887",1
"0586a2ba47cd323329e2e2a13f87eea865739f7a",1
"068024134c6c036a975b0dca65701afd7902230d",1
"07fd84f89fdfd235c976407255808e0ac37eb091",4
"0803a7f0b010f39a2311732c71ad94ee9749f1be",2
"08ea52164ce021df1de874cebe8535f9253c5258",1
"095b9154e08b68cc218b8b3d98bba20dff93eccb",1
"098a1f647e1981291469e78f21fbd74673f3f794",1
"09b8332236ed1fdab9ad950a094a95be0cb3e7af",1
"09bc058e884adb97049d07c2fa27fc3585721259",8
"0a6eb596bbba27c0aee08d2b2ddc2d414fb909a7",2
"0aec5817146ab9221f6fd746421062ed4b015e9a",1
"0b2458d74add98bb417ad4c723d031f1eae3b524",1
"0b5f9fcb4813d8c079484d5d508bafac38876006",1
"0c1a25b8a6dee8b24ccb27bdd6f240c1f3a9c2db",1
"0dd5add615618f976188baeb78fa7ce6c5455b14",2
"0e08c0211ce65982edc708f951bee36bbb275b1d",1
"0f4e1eb7e2047392663750e8b5696aceaf238a07",1
"0f5336028f78cea21028ef02cafa471b70e722b5",1
"0f5a1d66fb2c006e2b37f985e0ecd55399c0d06a",1
"0ffcb9e05eda74d6c66c246b4a24e58cf99ed9de",3
"104c8a8b905955b3008172a422139ffe4cb5498a",1
"11973cab399aaa23d27f75021cfc8703cb1a391c",3
"11f8f0385ad4a7de46d4327b18735bf3e95a5fab",1
"124db58683d21a9b40d4f7409ec8f93010e0270b",1
"13277d9d71ffaca15fdfcb61e1a872793d9af65c",1
"13c64a383c18be15710c168f8a4c0ea9f7b44e7f",1
"13df278cc4bf82245ba405bafe25a0effb13032b",1
"1469e68a33405485f673a35c2f41be4277a86731",1
"14c58c8e628a8b0991a3a040193a0269494043e7",4
"15fa2be4ee476618510fac83c46441c74f9c83df",3
"16b65d7dbe8fcd468fd59b09c27deb74f1cc135c",1
"1729275f8c347afbeb210ad26f0a6e5a51dde737",1
"18b177db2587819e8a94e6346c38f79bd621d28a",2
"194f4897e39806ea00381eb077b15f172adc7518",1
"1989099cc5dd341b3671fe2fe0455380959d23eb",4
"19cf592e77980e239446a443927e22b940708489",1
"1b2375fc843125765d027316a6f5554b82227479",1
"1c0fc642432bac9a96526b803c3f1b5340705930",2
"1c10b9dfe169eeba109590e1162d4bcdb8c58139",1
"1e057e6c35828684b6daf7d9500898412a869798",1
"1e5739f8ea385eda40aa875e24bdf5b55f1a1757",1
"2092050f00e42550e97c23af35541bf04998dd28",1
"2108c85f7ec56a3c259863c320b0fc10b71254ae",1
"2124b930fd9cf2cf19a2eeeeae3cc77f5dc17051",2
"215d2e7055af590986c069e91869277afb20634d",1
"2210f907db02519198a1c8c2b6d8743e2401d899",1
"230fa1f3bbb4660a65eef23a9c5007675af4b6fc",1
"241ec953de73a396e601c63c193d4d5086679473",1
"26d4fd4e0086eb6f4a54af7134ff08520cdfba1f",1
"26ece717b6b2533f329848c240a52a35dce987ea",3
"271c6aa13b22a0997de2c4a7ddc4c9c3ed7e6e82",1
"272d1ccc0356b18eed1afe7884ddec2f65790d78",6
"2785cd30656ca3dd71c71dfd0dde6e3d17b29616",2
"27be00b4cca6f283f8b31ae95d9c86e1e2d57173",1
"281c1f542774745af8b81f7b6471c05919fe3d51",2
"2877ba54def79436002a61411791db027c187c5b",1
"28d62834ad2362df62b438780e78877b4641e8d6",1
"29135f014be6da919370e19d241d0066b5809483",1
"2a27b66d96042337e367d20f5793e31687722f51",1
"2a9835649e0c671d8cbb609c01296f552dd59b87",1
"2acd338429f1a727f22637a63c62eea385618c04",1
"2add2aab0418ffd4af677fce187c70eacc550f91",1
"2b331fd68f082a9956e651a001a817f8c21f59dd",1
"2b58c79611371add3024742affd947fcfe359083",1
"2cad82d537f66f9a69aef401ab70ef907159a473",1
"2d5b89d8eb5ed0aeda5237796246d1899cdc85d9",2
"2dcd8624a2525fb6bf4020c93bf13f48f272303f",1
"2de5e8994fd0edd6228ce4a388685ee7ee5939a5",1
"2e188dc25ad4214a0c74f7f019438ef188f10a5f",1
"2e29b6b234f1cf64d01237e371b798a97eac08ec",8
"2e66ae9abe32a59e30bad88988fac02e79aaa76d",1
"2f474b2af4bfe51c770be52c83ee34739446dca1",1
"30633b2c9f77e35d459f8130642f2868094bb981",4
"312563437cd3fc589590a192bf153b33eb324d40",2
"314df1d8092a24b45a433d269b65eea5d2ebcdec",2
"31b5cf69266e56a0b742a192f47cd195afd637ca",1
"31fbb6e4f5ca4328fdc8cdd36c7fd927bc1753f9",1
"322a2d2365352e0a09f4388ea8a50b32da87b48f",1
"32b3c125d7fcbdd14d50afc0e4ff641dce97df21",1
