"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total"
"Roberto@Sirius","2009-04-01","Major",1,0,1
"Roberto@Sirius","2009-05-01","Major",1,0,1
"Roberto@Localhost.Localdomain","2009-08-01","Major",2,0,2
"Roberto@Localhost.Localdomain","2009-09-01","Major",2,0,2
"Roberto@Localhost.Localdomain","2009-11-01","Major",2,0,2
"Roberto@Sirius","2009-11-01","Major",2,0,2
"Roberto@Localhost.Localdomain","2009-12-01","Major",2,0,2
"Roberto@Sirius","2009-12-01","Major",2,0,2
"Roberto@Sirius","2010-01-01","Major",2,0,2
"Roberto@Sirius","2010-02-01","Major",2,0,2
"Roberto@Fierobecco","2010-03-01","Major",3,0,3
"Roberto@Fierobecco","2010-03-01","Minor",3,2,5
"Roberto@Sirius","2010-03-01","Major",3,2,5
"Roberto@Sirius.Local","2010-03-01","Minor",3,2,5
"Roberto@Unbit","2010-03-01","Major",3,2,5
"Roberto@Sirius","2010-04-01","Major",3,2,5
"Roberto@Solaris","2010-04-01","Major",4,2,6
"Roberto@Sirius","2010-05-01","Major",4,2,6
"Roberto@Silente","2010-06-01","Major",5,2,7
"Roberto@Sirius","2010-06-01","Major",5,2,7
"Roberto@Sirius","2010-07-01","Major",5,2,7
"Roberto@Sirius","2010-08-01","Major",5,2,7
"Roberto@Ubuntu64","2010-08-01","Major",8,2,10
"Roberto@Voldermort","2010-08-01","Major",8,2,10
"Roberto@Fiorenzo","2010-09-01","Major",8,2,10
"Roberto@Sirius","2010-09-01","Major",8,2,10
"Roberto@Sirius","2010-10-01","Major",8,2,10
"Roberto","2010-11-01","Major",9,2,11
"Roberto@Debian32","2010-11-01","Major",11,2,13
"Roberto@Fiorenzo","2010-11-01","Major",11,2,13
"Roberto@Mrspurr","2010-11-01","Major",11,2,13
"Roberto@Sirius","2010-11-01","Major",11,2,13
"Roberto@Sirius","2010-12-01","Major",11,2,13
"Roberto@Debian32","2011-01-01","Major",11,2,13
"Roberto@Maverick64","2011-01-01","Major",12,2,14
"Roberto@Sirius","2011-01-01","Major",12,2,14
"Roberto@Fiorenzo","2011-02-01","Major",12,2,14
"Roberto@Goyle","2011-02-01","Major",14,2,16
"Roberto@Maverick64","2011-02-01","Major",14,2,16
"Roberto@Sirius","2011-02-01","Major",14,2,16
"Roberto@Dj2","2011-03-01","Major",14,2,16
"Roberto@Maverick64","2011-03-01","Major",15,2,17
"Roberto@Natty32","2011-03-01","Major",15,2,17
"Roberto@Sirius","2011-03-01","Major",15,2,17
"Roberto@Debian32","2011-04-01","Major",15,2,17
"Roberto@Maverick64","2011-04-01","Major",16,2,18
"Roberto@Natty32","2011-04-01","Major",16,2,18
"Roberto@Sirius","2011-04-01","Major",16,2,18
"Roberto@Solarisexpress","2011-04-01","Major",16,2,18
"Roberto@Debian32","2011-05-01","Major",16,2,18
"Roberto@Fedora15","2011-05-01","Major",17,2,19
"Roberto@Natty32","2011-05-01","Major",17,2,19
"Roberto@Sirius","2011-05-01","Major",17,2,19
"Roberto@Debian32","2011-06-01","Major",17,2,19
"Roberto@Debian32","2011-07-01","Major",17,2,19
"Roberto@Natty32","2011-07-01","Major",17,2,19
"Roberto@Sirius","2011-07-01","Major",17,2,19
"Roberto@Debian32","2011-08-01","Major",17,2,19
"Roberto@Sirius","2011-08-01","Major",17,2,19
"Roberto@Debian32","2011-09-01","Major",17,2,19
"Roberto@Debian32","2011-10-01","Major",17,2,19
"Roberto@Debian32","2011-11-01","Major",17,2,19
"Roberto@Goyle","2011-11-01","Major",18,2,20
"Roberto@Oneiric64","2011-11-01","Major",18,2,20
"Roberto@Sirius","2011-11-01","Major",18,2,20
"Roberto@Oneiric64","2011-12-01","Major",18,2,20
"Roberto@Oneiric64","2012-01-01","Major",18,2,20
"Roberto@Goyle","2012-02-01","Major",18,2,20
"Roberto@Oneiric64","2012-02-01","Major",19,2,21
"Roberto@Precise64","2012-02-01","Major",19,2,21
"Roberto@Sirius","2012-02-01","Major",19,2,21
"Roberto@Goyle","2012-03-01","Major",19,2,21
"Roberto@Icarus","2012-03-01","Major",22,2,24
"Roberto@Openbsd50","2012-03-01","Major",22,2,24
"Roberto@Openindiana","2012-03-01","Major",22,2,24
"Roberto@Precise64","2012-03-01","Major",22,2,24
"Roberto@Precise64","2012-04-01","Major",22,2,24
"Roberto@Sirius","2012-04-01","Major",22,2,24
"Roberto@Precise64","2012-05-01","Major",22,2,24
"Roberto@Sirius","2012-05-01","Major",23,2,25
"Roberto@Quantal64","2012-06-01","Major",23,2,25
"Roberto@Quantal64","2012-07-01","Major",23,2,25
"Roberto@Quantal64","2012-08-01","Major",23,2,25
"Roberto@Arch","2012-09-01","Major",24,2,26
"Roberto@Quantal64","2012-09-01","Major",25,2,27
"Colin Ligertwood","2012-10-01","Major",25,2,27
"Colinlbc","2012-10-01","Major",29,2,31
"Lukasz Mierzwa","2012-10-01","Major",29,2,31
"Roberto De Ioris","2012-10-01","Major",29,2,31
"Unbit","2012-10-01","Major",29,2,31
"Roberto De Ioris","2012-11-01","Major",29,2,31
