"Desenvolvedor","Data","EhAutor","Variabilidades"
"Colin Ligertwood","2012-10-01","Autor",1
"Colinlbc","2012-10-01","Colaborador",2
"Curtis Maloney","2015-02-01","Autor",1
"Curtis Maloney","2015-04-01","Autor",1
"Felicity Tarnell","2016-07-01","Autor",1
"Getcwd","2014-04-01","Colaborador",4
"Guido Berhoerster","2013-07-01","Colaborador",1
"Hleran","2015-06-01","Colaborador",1
"Hleran","2015-07-01","Colaborador",1
"Hleran","2015-08-01","Colaborador",2
"Hleran","2015-09-01","Colaborador",2
"Hleran","2015-11-01","Colaborador",1
"Hleran","2015-12-01","Colaborador",1
"Hleran","2016-01-01","Colaborador",1
"Hleran","2016-04-01","Colaborador",1
"Lukasz Mierzwa","2012-10-01","Colaborador",1
"Lukasz Mierzwa","2012-12-01","Colaborador",1
"Lukasz Mierzwa","2013-01-01","Colaborador",1
"Lukasz Mierzwa","2013-02-01","Colaborador",1
"Lukasz Mierzwa","2013-03-01","Colaborador",1
"Lukasz Mierzwa","2013-04-01","Autor",2
"Lukasz Mierzwa","2013-05-01","Colaborador",2
"Lukasz Mierzwa","2013-06-01","Autor",1
"Lukasz Mierzwa","2013-09-01","Colaborador",1
"Lukasz Mierzwa","2013-10-01","Colaborador",1
"Lukasz Mierzwa","2013-11-01","Colaborador",1
"Lukasz Mierzwa","2013-12-01","Colaborador",2
"Marko Tiikkaja","2014-06-01","Autor",1
"Mike Kaplinskiy","2014-08-01","Autor",1
"Paul J Stevens","2018-02-01","Autor",1
"Riccardo Magliocchetti","2013-03-01","Autor",1
"Riccardo Magliocchetti","2013-10-01","Autor",1
"Riccardo Magliocchetti","2013-11-01","Autor",1
"Riccardo Magliocchetti","2013-12-01","Colaborador",1
"Riccardo Magliocchetti","2015-01-01","Autor",1
"Riccardo Magliocchetti","2015-05-01","Colaborador",1
"Roberto","2010-11-01","Autor",1
"Roberto De Ioris","2012-10-01","Autor",1
"Roberto De Ioris","2012-10-01","Colaborador",8
"Roberto De Ioris","2012-11-01","Autor",1
"Roberto De Ioris","2012-11-01","Colaborador",2
"Roberto De Ioris","2012-12-01","Autor",4
"Roberto De Ioris","2012-12-01","Colaborador",8
"Roberto De Ioris","2013-01-01","Autor",4
"Roberto De Ioris","2013-01-01","Colaborador",5
"Roberto De Ioris","2014-03-01","Autor",1
"Roberto De Ioris","2014-05-01","Autor",1
