"Desenvolvedor","Variabilidades","Valor","Total"
"Roberto@Localhost.Localdomain",1,"2009-12-01",362
"Roberto@Fierobecco",3,"2010-03-01",362
"Roberto@Unbit",1,"2010-03-01",362
"Roberto@Ubuntu64",19,"2010-08-01",362
"Roberto@Fiorenzo",7,"2011-02-01",362
"Roberto@Dj2",1,"2011-03-01",362
"Roberto@Maverick64",8,"2011-04-01",362
"Roberto@Solarisexpress",1,"2011-04-01",362
"Roberto@Natty32",6,"2011-05-01",362
"Roberto@Debian32",14,"2011-11-01",362
"Roberto@Oneiric64",2,"2012-01-01",362
"Roberto@Sirius",58,"2012-02-01",362
"Roberto@Goyle",2,"2012-03-01",362
"Roberto@Openindiana",3,"2012-03-01",362
"Roberto@Precise64",11,"2012-05-01",362
"Roberto@Quantal64",8,"2012-09-01",362
"Colin Ligertwood",1,"2012-10-01",362
"Colinlbc",1,"2012-10-01",362
"Roberto De Ioris",22,"2013-01-01",362
"Lukasz Mierzwa",3,"2013-12-01",362
"Getcwd",3,"2014-04-01",362
"Hleran",1,"2015-08-01",362
"Felicity Tarnell",1,"2016-07-01",362
"Unbit",185,"2016-11-01",362
