"Variabilidades","Desenvolvedor","Valor","Total"
"BSD",1,"2009-04-01",362
"__OpenBSD__",1,"2009-12-01",362
"(HAVE_IPV6) && (HAVE_INET_PTON)",1,"2009-12-01",362
"HAVE_IPV6",1,"2009-12-01",362
"HAVE_SYS_FILIO_H",1,"2009-12-01",362
"NGX_HAVE_LITTLE_ENDIAN",1,"2009-12-01",362
"ROCK_SOLID",1,"2009-12-01",362
"__apple__",1,"2010-01-01",362
"__OpenBSD__ || __sun__",1,"2010-02-01",362
"!(__linux__) && !(__sun__)",1,"2010-02-01",362
"(__FreeBSD__) || (__DragonFly__)",1,"2010-02-01",362
"SCTP",1,"2010-02-01",362
"UWSGI_ONEAPP",1,"2010-03-01",362
"UWSGI_PROXY_USE_KQUEUE",2,"2010-03-01",362
"UWSGI_XML_EXPAT",1,"2010-03-01",362
"defined(__sun)",1,"2010-04-01",362
"UWSGI_EVDIS",1,"2010-06-01",362
"UWSGI_WSGI2",1,"2010-06-01",362
"UWSGI_ERLANG",2,"2010-08-01",362
"UWSGI_HTTP",1,"2010-08-01",362
"UWSGI_NAGIOS",2,"2010-08-01",362
"UWSGI_PASTE",2,"2010-08-01",362
"UWSGI_PROXY",2,"2010-08-01",362
"UWSGI_STACKLESS",2,"2010-08-01",362
"UWSGI_UGREEN",2,"2010-08-01",362
"UWSGI_XML",2,"2010-08-01",362
"UWSGI_PROFILER",2,"2010-09-01",362
"UWSGI_SENDFILE",3,"2010-09-01",362
"UWSGI_YAML",1,"2010-11-01",362
"!(__OpenBSD__) && !(__NetBSD__)",1,"2010-12-01",362
"defined(__linux__) || defined(__sun__) || defined(__FreeBSD__)",1,"2010-12-01",362
"UWSGI_LOCK_USE_FLOCK",1,"2010-12-01",362
"UWSGI_LOCK_USE_MUTEX",1,"2010-12-01",362
"UWSGI_LOCK_USE_OSX_SPINLOCK",1,"2010-12-01",362
"VETH_INFO_PEER",1,"2011-03-01",362
"CLONE_NEWIPC",1,"2011-04-01",362
"CLONE_NEWNET",1,"2011-04-01",362
"CLONE_NEWPID",1,"2011-04-01",362
"CLONE_NEWUTS",1,"2011-04-01",362
"UWSGI_JSON",2,"2011-04-01",362
"PyFrame_GetLineNumber",1,"2011-05-01",362
"!(PYTHREE) && !(UWSGI_PYPY)",1,"2011-08-01",362
"UWSGI_WEB3",2,"2011-08-01",362
"UWSGI_SCTP",3,"2012-03-01",362
"EOWNERDEAD",1,"2012-04-01",362
"IOV_MAX",1,"2012-10-01",362
"TCP_CORK",1,"2012-10-01",362
"(__linux__)",2,"2012-12-01",362
"defined(__FreeBSD__)",1,"2012-12-01",362
"NID_X9_62_prime256v1",1,"2012-12-01",362
"OPENSSL_NO_ECDH",1,"2012-12-01",362
"SSL_MODE_RELEASE_BUFFERS",1,"2012-12-01",362
"SSL_OP_NO_COMPRESSION",1,"2012-12-01",362
"UWSGI_PCRE",4,"2012-12-01",362
"__BIG_ENDIAN__",5,"2013-01-01",362
"__clang__",1,"2013-01-01",362
"(__linux__) && (SOCK_NONBLOCK) && !(OBSOLETE_LINUX_KERNEL)",1,"2013-01-01",362
"(Py_TPFLAGS_HAVE_ITER)",1,"2013-01-01",362
"(SOCK_SEQPACKET) && (__linux__)",3,"2013-01-01",362
"AF_INET6",1,"2013-01-01",362
"OBSOLETE_LINUX_KERNEL",1,"2013-01-01",362
"PTHREAD_MUTEX_ROBUST",2,"2013-01-01",362
"PTHREAD_MUTEX_ROBUST_NP",1,"2013-01-01",362
"PTHREAD_PRIO_INHERIT",1,"2013-01-01",362
"PYTHREE",4,"2013-01-01",362
"SSL_OP_NO_TICKET",1,"2013-01-01",362
"UWSGI_ALARM",1,"2013-01-01",362
"UWSGI_ASYNC",5,"2013-01-01",362
"UWSGI_EMBEDDED",3,"2013-01-01",362
"UWSGI_IPV6",1,"2013-01-01",362
"UWSGI_MINTERPRETERS",3,"2013-01-01",362
"UWSGI_MULTICAST",4,"2013-01-01",362
"UWSGI_PYPY",3,"2013-01-01",362
"UWSGI_SNMP",4,"2013-01-01",362
"UWSGI_SPDY",2,"2013-01-01",362
"UWSGI_SPOOLER",5,"2013-01-01",362
"UWSGI_THREADING",4,"2013-01-01",362
"UWSGI_UDP",5,"2013-01-01",362
"UWSGI_ZEROMQ",5,"2013-01-01",362
"UWSGI_ZLIB",2,"2013-01-01",362
"(__APPLE__) || (__OpenBSD__) || (__FreeBSD__)",1,"2013-02-01",362
"defined(__freebsd__)",1,"2013-02-01",362
"IP_FREEBIND",1,"2013-02-01",362
"RUBY_GLOBAL_SETUP",1,"2013-02-01",362
"SO_REUSEPORT",1,"2013-02-01",362
"TCP_NODELAY",1,"2013-02-01",362
"__CYGWIN__",1,"2013-03-01",362
"__DragonFly__",1,"2013-03-01",362
"(__FreeBSD__)",1,"2013-03-01",362
"(__linux__) || (__CYGWIN__)",1,"2013-03-01",362
"defined(__CYGWIN__)",1,"2013-03-01",362
"defined(__DragonFly__)",1,"2013-03-01",362
"defined(_WIN32)",1,"2013-03-01",362
"defined(UWSGI_LOCK_USE_WINDOWS_MUTEX)",1,"2013-03-01",362
"PCRE_STUDY_JIT_COMPILE",1,"2013-03-01",362
"SSL_CTRL_SET_TLSEXT_HOSTNAME",2,"2013-03-01",362
"UNBIT",2,"2013-03-01",362
"UWSGI_AS_SHARED_LIBRARY",1,"2013-03-01",362
"UWSGI_EVENT_USE_POLL",1,"2013-03-01",362
"UWSGI_INI",3,"2013-03-01",362
"(UWSGI_ROUTING) && (UWSGI_ZLIB)",1,"2013-04-01",362
"sqlite3_open_v2",2,"2013-04-01",362
"UWSGI_GZIP",1,"2013-04-01",362
"UWSGI_IPCSEM_ATEXIT",2,"2013-04-01",362
"UWSGI_LDAP",2,"2013-04-01",362
"UWSGI_MATHEVAL",1,"2013-04-01",362
"UWSGI_SQLITE3",2,"2013-04-01",362
"__APPLE__",3,"2013-05-01",362
"(UWSGI_ROUTING)",1,"2013-05-01",362
"HAS_NO_ERRORS_IN_PyFile_FromFd",1,"2013-05-01",362
"PORT_SOURCE_FILE",1,"2013-05-01",362
"UWSGI_PYPY_HOME",1,"2013-05-01",362
"UWSGI_SSL",4,"2013-05-01",362
"UWSGI_XML_LIBXML2",2,"2013-05-01",362
"UWSGI_XMLRPC",1,"2013-05-01",362
"__UCLIBC__",1,"2013-06-01",362
"(__linux__) && !(__UCLIBC__)",1,"2013-06-01",362
"(__linux__) || (__APPLE__) || (UWSGI_HAS_EXECINFO)",1,"2013-07-01",362
"(__linux__) || ((__APPLE__) && !(NO_EXECINFO)) || (UWSGI_HAS_EXECINFO)",1,"2013-07-01",362
"defined(__APPLE__)",1,"2013-07-01",362
"defined(__APPLE__) && !defined(NO_SENDFILE)",1,"2013-07-01",362
"OLD_REALPATH",1,"2013-07-01",362
"RUBY_EXEC_PREFIX",1,"2013-07-01",362
"RUBY19",2,"2013-07-01",362
"UNSETENV_VOID",1,"2013-07-01",362
"UWSGI_DEBUG_BUFFER",1,"2013-07-01",362
"UWSGI_EVENT_FILEMONITOR_USE_INOTIFY",1,"2013-07-01",362
"UWSGI_EVENT_FILEMONITOR_USE_KQUEUE",1,"2013-07-01",362
"UWSGI_RUBY_ARCHDIR",1,"2013-07-01",362
"UWSGI_RUBY_HEROKU",1,"2013-07-01",362
"UWSGI_RUBY_LIBDIR",1,"2013-07-01",362
"__FreeBSD__",1,"2013-08-01",362
"__sun__",8,"2013-08-01",362
"(__linux__) && !(OBSOLETE_LINUX_KERNEL)",1,"2013-08-01",362
