"Arquivo","Desenvolvedor"
"admin_plugin.c",1
"airbrake_plugin.c",1
"alarm_curl_plugin.c",2
"alarm_xmpp_plugin.c",1
"alarm.c",2
"amqp.c",1
"async.c",1
"asyncio.c",2
"base.c",2
"buffer.c",3
"cache.c",1
"carbon.c",2
"cgi_plugin.c",2
"cgi_python.c",1
"channels.c",1
"cheaper_backlog2.c",1
"cheaper_busyness.c",3
"check_core.c",1
"chunked.c",1
"clang_fake.c",1
"clock_monotonic.c",1
"clock_realtime.c",1
"clock.c",1
"cluster.c",1
"common.c",1
"config.c",1
"connectprobe.c",1
"cookie.c",1
"corerouter.c",1
"coroae.c",1
"cr_common.c",2
"cr_map.c",2
"cr_sctp.c",1
"cron.c",2
"curl_cron.c",1
"daemons.c",1
"dumb.c",1
"dummy.c",1
"echo_plugin.c",1
"emperor_amqp.c",1
"emperor_pg.c",1
"emperor_zeromq.c",1
"emperor.c",1
"erlang.c",2
"errors.c",2
"evdis.c",1
"event.c",1
"example_plugin.c",1
"exception_log.c",1
"exceptions.c",2
"expires.c",1
"fastcgi.c",2
"fastrouter.c",2
"fiber.c",2
"fifo.c",2
"filemonitor.c",1
"firewall.c",1
"fork_server.c",2
"forkptyrouter.c",1
"fr_events.c",2
"fr_map.c",2
"fr_sctp.c",2
"fsmon.c",2
"gateway.c",2
"gccgo_plugin.c",1
"geoip.c",1
"gevent.c",1
"gil.c",1
"glusterfs.c",2
"go_plugin.c",2
"graylog2_plugin.c",1
"greenlet.c",2
"gzip.c",2
"handler_uwsgi.c",2
"hash.c",1
"hooks.c",1
"http.c",1
"https.c",1
"ini.c",2
"init.c",1
"io.c",1
"json.c",1
"jvm_plugin.c",1
"jwsgi_plugin.c",1
"keepalive.c",2
"ldap.c",1
"legion_cache_fetch.c",1
"legion.c",2
"libffi.c",1
"libpg.c",1
"libtcc.c",1
"linux_ns.c",1
"lock.c",2
"logcrypto.c",1
"logfile.c",1
"logging.c",1
"logpipe.c",1
"logsocket_plugin.c",1
"loop.c",1
"lua_plugin.c",1
"master_checks.c",1
"master_events.c",2
"master_utils.c",1
"master.c",1
"math.c",1
"memcached.c",1
"metrics.c",1
"mod_proxy_uwsgi.c",1
"mod_Ruwsgi.c",1
"mod_uwsgi.c",1
"mongodblog_plugin.c",2
"mongrel2.c",2
"mono_plugin.c",1
"mount.c",1
"msgpack.c",1
"mule.c",2
"nagios.c",1
"netlink.c",1
"ngx_http_uwsgi_module.c",2
"notfound.c",1
"notify.c",1
"offload.c",1
"pam.c",1
"pg.c",1
"pgprobe.c",1
"php_plugin.c",2
"ping_plugin.c",1
"plugin.c",1
"plugins_builder.c",1
"plugins.c",1
"profiler.c",1
"progress.c",1
"protocol.c",2
"proxy.c",2
"psgi_loader.c",1
"psgi_plugin.c",1
"psgi_response.c",2
"pty.c",1
"pump_subhandler.c",1
"puwsgi.c",2
"pyerl.c",2
"pyloader.c",2
"pypy_plugin.c",1
"python_plugin.c",2
"pyutils.c",1
"pyuwsgi.c",1
"querystring.c",1
"queue.c",1
"rack_api.c",2
"rack_plugin.c",1
"radius.c",1
"rados.c",1
"raw.c",1
"rawrouter.c",2
"rb_timers.c",1
"rbthreads.c",1
"rbtree.c",1
"reader.c",1
"redislog_plugin.c",1
"regexp.c",1
"ring_plugin.c",1
"router_access.c",2
"router_basicauth.c",3
"router_cache.c",1
"router_fcgi.c",1
"router_hash.c",2
"router_http.c",2
"router_memcached.c",1
"router_redirect.c",1
"router_redis.c",1
"router_rewrite.c",1
"router_spnego.c",2
"router_static.c",2
"router_uwsgi.c",2
"router_xmldir.c",2
"routing.c",1
"rpc_plugin.c",1
"rpc.c",2
"rr_events.c",1
"rrdtool.c",1
"rsyslog_plugin.c",1
"scgi.c",1
"sctp.c",1
"sendfile.c",3
"servlet_plugin.c",1
"session.c",1
"setup_utils.c",1
"sharedarea.c",1
"signal_plugin.c",1
"signal.c",1
"skel.c",1
"snmp.c",2
"socket.c",1
"spdy3.c",2
"spooler_plugin.c",2
"spooler.c",3
"sqlite3.c",1
"ssi.c",1
"ssl.c",1
"sslrouter.c",1
"stackless.c",2
"static.c",2
"stats.c",2
"storage.c",1
"strings.c",2
"subscription.c",1
"sun_fixes.c",1
"symcall_plugin.c",2
"symimporter.c",2
"syslog_plugin.c",1
"systemd_logger.c",1
"tcp.c",1
"timebomb.c",1
"timers.c",1
"tofile.c",1
"tornado.c",1
"toupper.c",1
"tracebacker.c",1
"transformations.c",1
"tt.c",1
"tuntap.c",1
"ugreen.c",3
"utils.c",1
"uwsgi_client.c",1
"uwsgi_dynamic_client.c",1
"uwsgi_handlers.c",1
"uwsgi_main.c",1
"uwsgi_plmodule.c",1
"uwsgi_pymodule.c",3
"uwsgi.c",1
"uwsgidump.c",1
"web3_subhandler.c",1
"webdav.c",1
"websockets.c",2
"writer.c",1
"writers.c",1
"wsgi_handlers.c",1
"wsgi_headers.c",2
"wsgi_subhandler.c",3
"xattr.c",1
"xmlconf.c",1
"xslt.c",2
"yaml.c",1
"zergpool.c",1
"zeromq.c",2
"zeus.c",1
"zlib.c",2
