"Arquivo","Variabilidades"
"button.c",8
"cachedGCs.c",2
"charclass.c",3
"charproc.c",46
"charsets.c",1
"cursor.c",1
"data.c",6
"doublechr.c",1
"fontutils.c",9
"graphics_regis.c",30
"graphics.c",8
"html.c",2
"input.c",20
"keysym2ucs.c",1
"main.c",523
"menu.c",24
"misc.c",57
"os2main.c",36
"print.c",5
"ptydata.c",17
"resize.c",99
"screen.c",36
"scrollbar.c",14
"svg.c",2
"tabs.c",1
"Tekproc.c",19
"TekPrsTbl.c",1
"testxmc.c",2
"trace.c",4
"ttysvr.c",2
"util.c",14
"VTPrsTbl.c",4
"wcwidth.c",1
"xstrings.c",3
"xtermcap.c",9
"xutf8.c",1
