"Commit","EhAutor","Arquivo"
"006067795b2125ad36231e9ea088153b5209f934","Autor",1
"007fcdd1b230f65f30655d347d6123e74fabd616","Autor",1
"01340680875fcef6e9e57ba2a5cfd355713c67dc","Autor",1
"01ca97551878eeea5f739c7011302b19b1a3530c","Autor",1
"02145f4b8ca7026bfe55966f63392f23d58910d0","Autor",1
"03532369d76f680a0717368201404b9e1e41dc27","Autor",1
"046192201f0652744a50facf5bbc1aad9c1416c2","Autor",1
"048aee936da3a925d6ccf31dad61c52d6caeb928","Autor",1
"09cd614e7d17b4538964c9de499242e9d5b8d871","Autor",1
"09d6f0787a0195e93d075669ccd31a2b468f4263","Autor",1
"0a203075589553ae9230bf8a6aee8419a288806c","Autor",1
"0a444c72ad992052918bba21021bd58975b466bf","Autor",1
"0a9e9886231c76c84ccdd725d854fa981b5f6e1e","Autor",1
"0b558161dc74575bc63a36da20e8fe750ceee59c","Autor",1
"0b6e87724c0c547b8308b603652437ac45bfd10f","Autor",1
"0c83161153c9b1881c065b2062e7c3b9ce9eec55","Autor",1
"0c930d678e449d195d62a0e92b0a3b393f9c6b75","Autor",1
"0e7bf93f2995b374ed0c68f3805db16e72122d38","Autor",1
"0f41ae5e217ba6c9d51db9e635fa33cca010dcde","Autor",1
"11b6ccd8c6f7e08278c842c95e56a344603a1c4d","Autor",1
"1334071f6f604e74124fa49c64a8d56fa6e78a78","Autor",1
"13b302898278746e59ec4e678d6e5ff10e1a6077","Autor",1
"150c5e77e09071507913fbb8dc739eb9adbbfe36","Autor",1
"153d0ccc03242cd2844255a7e03e8683a17132f3","Autor",1
"154435fa226d349dd1382e5b7f3ad2140a74b5c5","Autor",1
"16d3c738ab6e7a59ac367b8dabbaa24a962e84b4","Autor",1
"1713ca4777dd916aaf00e50e12e0a2885995e526","Autor",1
"179b341466421f94ffd065aed8bb999e6d5dacc0","Autor",1
"18552558d39754cb6e69db21742e04d5d1575f45","Autor",1
"18ad9e42cf7d89d045fb24ee226dfc0117e85ce3","Autor",1
"194201e82c090f71922b34223fc44c38112c5ca9","Autor",1
"1a785f462f2a5601fa4abae96746870f9b45f7dc","Autor",1
"1aae13c7375063456f55010d0f75d2f319a8280d","Autor",1
"1ad98a10e358838e291b38358a4e21ffd2bbb5d2","Autor",1
"1b20c4851766cad136e187654dd0bfeace5837c5","Autor",1
"1b58eb7a7d60dcf77b26fa28b775b8ffe1188a52","Autor",1
"1bf210418e7b1975791c425269e655f8599667a9","Autor",1
"1cd183d842656660443379c4dc127232b147d6c0","Autor",1
