"Commit","Variabilidades"
"00ca1d40d6e98c13bd5d89fd034b4ab054fcd9a8",6
"00f11c253bd7973624f9f2e4ee22f62866e80168",1
"011276b2fe3f044678ef6f6aca1cd709e77a3dd1",5
"017cb090773dcef4fb8c860674de88d0a17fb623",1
"01acb64c5fabb0b5d02b674d5f5f1b01814bd723",1
"048aee936da3a925d6ccf31dad61c52d6caeb928",1
"059b79c46dd8c1a6ca2f3f0dcafc4b685db13451",1
"0611a6731caf5b0482ffba0fccbbf54437a914eb",2
"08b2b74033ba1e73ed7cec1a02f8d60b8839b92e",5
"095a3e6efbc12ba343caf60d273663d6ff5e6dd6",1
"09cd614e7d17b4538964c9de499242e9d5b8d871",5
"0c2817cff681e9d78ff22ad2628833716b9671af",1
"0d9d1eb8d790423f05a033c0880555d62fe8b567",2
"0dff758bb05a080ebf3d7219bacacc7a4e6c49a5",2
"0f0e1985b7ef19a11565947c4de3e4f20f5596d8",1
"114ca1344f9a856f029e1e081daefb618688b71a",1
"1158d6f8bfdeda4bb2413c7a3b9b881722fddd08",1
"13c4a032fd9e5ad78a67257b34bb0bcce91b52d0",2
"14197bad52fb4436364d2bd7a71018b8deaef1d0",1
"14778668705903b704190b1a55418f8040b336ea",7
"148d9034e9b910f194a21471a23b5b43951852f2",2
"16ddc732448d1c60e89e4381d110c4ad73829445",2
"1743dc54ffa963d82ff66b4e9593b020638b6693",38
"1781f0f550b960972841c7dee624bc154bd3b1a3",5
"17af7bbee0f599be06e2d3af5d1765e76e5eb7eb",2
"17b05007ddb22060f851d2956e36f5c62754c4a1",8
"17f56c77205b55a6f92ee64d3556005f29aeae1b",7
"1c4fb38d815735c46c78cf015335258d1ea7289b",1
"1cd183d842656660443379c4dc127232b147d6c0",27
"1d00acbb64a01d725d2152f352bcf89482aee6f3",1
"1d79b68b431019851c81ebc1701e4d5c8bd481fd",1
"1fdb4d227a43a95ab17cba4f40f17de871a3b184",2
"213cf8cd6a8f19a4f30420aa94f6604e8e9c2c57",1
"24cf33f967f33a87595ca6e97e40780b5a0b72dd",2
"24fb11db1f43236c4d2b29bb1aacea94543d03dc",1
"2634eacfbcf8325d35387def54c622fee70ff2a4",8
"264fcaf560c53fa2886d9fd81fc10da75851e7d7",33
"26bc0665a67de730988321efc157d6fa9159b94e",1
"2774b868cac86497fd54664062dff1709b4a2597",2
"278857885383001e95011364a284e16176eb16ce",17
"27ef454f88da01680d9dbfb33c629890f239c3e3",3
"2a4a4def71a62bb8198f3ee57bd1f868265e41fe",4
"2a7c31ba42c15a05c9c553e41b5476e7a1a0b8f3",1
"2c0bca66974d265ae84233206d85ee45979c85d0",8
"2df0919685e830320ce2c004ead8489c22c37729",20
"2ea27de28e8deced84d236cf0b8ff50216c8a5a5",4
"2f7ce948aa21f5c0d1dc62b7e233d830a422281a",1
"300ab566c0c70c57fd364c6050e7deba5068e54d",5
"30dfcf42a8ad4b71d330b4e23603e9176d5aac33",4
"31361495ac10760d8d8fb88385047d89e9182896",85
"316d1c6d71213861bfd32ec8431d65932e32eded",1
"31c85d2568144757726cf936d0af28ded079990d",5
"327fe696853e8e843e95dcf34050eb52dd0c446b",1
"33450c78164d523ead3d8187cdf4964edcfdaaa2",10
"3349db7fee632a8b12187d2bd133829124aaf0a1",1
"344a56476c6b192d11656a3819b2fc1c3e7e0efa",7
"355e840f0b44ebd09f9f16347754afa6b4b11738",10
"3683eff59a6b0f795b4f6c5592582a94da9286eb",2
"36b137009a2bc6cde07aca61496a3417b09dd3a6",1
"38bbbe48c3de704f7e294243a6e3d7ecfb8ccc7d",1
"38dbb972da60a589f76cccd8a78aeb9c64aa7874",2
"397640c8657191140cea169903b94674c6c9db71",6
"3b22450b3972c140db6f12a3e36f28193ae44796",33
"3b462e75c3665a2ea2cd4b2a686b99cfd8bb13bc",2
"3d3a935d5f46bdc266bf056ef3e714eac377b8e8",1
"3d44ac464323af741bf85e169470ec5cfad60953",5
"3d4526cd7c29bb36da052fd14487178b9f120015",1
"3e28515348a98bb275e76dc78849c9731a63a8ae",3
"4056946d814862cbfc6851bc87f659a913e9d638",1
"407503623a0cb4bc07214b248f73a8aaa2fe8822",3
"4081a1a221e2314d212b30ea9cd7251d155b796a",1
"4111e73034670fa40a3c0d3c255f6a1fd212d00d",48
"45f2b5178a8cdda39dbab929833b0d08d053887a",2
"463091940c96a8a925693e6e604b389536668a99",15
"46d91fe21b892eca4c8b7934f8efee6e1f7c28d5",1
"472d9c91f38a2a7b0e456229b37abfeac1d7809d",2
"4743fdd17c56b28110517c102f7c32a1f1fe78bc",3
"4777a48fea9123e27437ed59cda2b5589c62334e",2
"48dea98b14bb088bb67f3a7807655d94b4b4ab81",1
"4a6445502c278a4a95d90676467060bd14af52e7",1
"4abcad01ed9cf9f1a91b94cb8d552e2d43ac6a44",15
"4b5613e05f6ce664ac64d0a98e21958ee34246ae",1
"4d0942fd78db02f8acd422b4667d6eba106f71eb",1
"4d712b23038c9da7d8250f48b8ddc93f4db5f94f",1
"4db439c0788fada094f5049cf5298b70195bac8a",18
"4dcf5cb991b89b2145ada30ebd5a7d2b21302e84",10
"4e5defe6e9ad8e642c2ebf6a1d2eda154c6cb2eb",1
"4eb571256ebb138d8f425ab6646a7dfec29e2d32",4
"4fcf39f7a86edc9654d1da79a44f7f57c4af690d",3
"50228c6f4882e76b4f4d17d308e3550171430a29",2
"51e685e3edbc918466b96b55e6beaef25f0b7e45",98
"52069b4abb67fbce42178550d99650c35bf82142",5
"520e994e4425a9885ea5949fffcccece619485f1",2
"52c8c699def21dd1bbb28330c36695ba2660c256",1
"536fcaaea4d56ca0d14c301ff296fecc21d5435a",1
"540fe663aa811feaa92580670a4f9f1df6f9ff4f",11
"5519016d9cc61e4a2493c0ef4ca51d8df50785bf",2
"568102718d25f2e774f536d991a7e3a7282e7b75",4
"5778ab7156430a0a740915ef5bec05a9aefc729a",1
"577c5d3f0ccb4c45d70f0854b1c02b875cb7ecf7",1
"58a26cdb808b5605a524bf13ff00dbed160dcbab",4
"594728b89408412a140c0efa0ee0022a32c147a8",1
"5ae4b213b176e6f35c978d8af311234670e9220d",1
"5b1d5388811009e7b639017495421cdba6b1edd5",12
"5bc1836eb94e1f266b1566073c9a4e0ff90a9832",2
"5c164c5e2688ec18ccae88abae9680fe7577b605",1
"5db49cbf74adcf0fb072e4d31ef7e04fd5e68af2",7
"5fa323ff2a3874da29916b6324b73ec8ac41febe",1
"608e74f442992fb6a0379281e0d91e79ae0da337",4
"60a358252809272697f75cf83cdbce39be4460b2",2
"60a7a249e86cdc29ec16ab3acf0d62f244fc856a",1
"60c64ddf5b57370da871e26664c608b93f04d0c3",1
"60d862d036a3530e3c5255de6f532276843c7f06",4
"63d986eed08a118b2c04bc3c0ae1914b141f8c03",1
"64440b66bc527a55cf46a71df322e8796fdd5f8e",106
