"Desenvolvedor","Data","EhAutor","Variabilidades"
"Thomas E. Dickey","1993-11-01","Autor",111
"Thomas E. Dickey","1996-02-01","Autor",107
"Thomas E. Dickey","1996-05-01","Autor",91
"Thomas E. Dickey","1996-08-01","Autor",13
"Thomas E. Dickey","1996-09-01","Autor",1
"Thomas E. Dickey","1996-10-01","Autor",21
"Thomas E. Dickey","1996-12-01","Autor",101
"Thomas E. Dickey","1997-01-01","Autor",99
"Thomas E. Dickey","1997-05-01","Autor",10
"Thomas E. Dickey","1997-06-01","Autor",4
"Thomas E. Dickey","1997-07-01","Autor",9
"Thomas E. Dickey","1997-08-01","Autor",4
"Thomas E. Dickey","1997-09-01","Autor",9
"Thomas E. Dickey","1997-10-01","Autor",12
"Thomas E. Dickey","1997-11-01","Autor",2
"Thomas E. Dickey","1997-12-01","Autor",5
"Thomas E. Dickey","1998-01-01","Autor",1
"Thomas E. Dickey","1998-02-01","Autor",5
"Thomas E. Dickey","1998-03-01","Autor",5
"Thomas E. Dickey","1998-04-01","Autor",7
"Thomas E. Dickey","1998-05-01","Autor",20
"Thomas E. Dickey","1998-06-01","Autor",4
"Thomas E. Dickey","1998-07-01","Autor",7
"Thomas E. Dickey","1998-08-01","Autor",5
"Thomas E. Dickey","1998-10-01","Autor",8
"Thomas E. Dickey","1998-11-01","Autor",8
"Thomas E. Dickey","1998-12-01","Autor",7
"Thomas E. Dickey","1999-01-01","Autor",49
"Thomas E. Dickey","1999-02-01","Autor",2
"Thomas E. Dickey","1999-03-01","Autor",34
"Thomas E. Dickey","1999-04-01","Autor",31
"Thomas E. Dickey","1999-05-01","Autor",32
"Thomas E. Dickey","1999-06-01","Autor",4
"Thomas E. Dickey","1999-07-01","Autor",17
"Thomas E. Dickey","1999-08-01","Autor",38
"Thomas E. Dickey","1999-09-01","Autor",47
"Thomas E. Dickey","1999-10-01","Autor",6
"Thomas E. Dickey","1999-11-01","Autor",3
"Thomas E. Dickey","1999-12-01","Autor",6
"Thomas E. Dickey","2000-01-01","Autor",22
"Thomas E. Dickey","2000-02-01","Autor",16
"Thomas E. Dickey","2000-03-01","Autor",11
"Thomas E. Dickey","2000-04-01","Autor",3
"Thomas E. Dickey","2000-05-01","Autor",9
"Thomas E. Dickey","2000-06-01","Autor",4
"Thomas E. Dickey","2000-07-01","Autor",4
"Thomas E. Dickey","2000-08-01","Autor",4
"Thomas E. Dickey","2000-09-01","Autor",39
"Thomas E. Dickey","2000-10-01","Autor",8
"Thomas E. Dickey","2000-11-01","Autor",1
"Thomas E. Dickey","2000-12-01","Autor",86
"Thomas E. Dickey","2001-03-01","Autor",6
"Thomas E. Dickey","2001-04-01","Autor",9
"Thomas E. Dickey","2001-06-01","Autor",10
"Thomas E. Dickey","2001-09-01","Autor",12
"Thomas E. Dickey","2001-10-01","Autor",7
"Thomas E. Dickey","2001-11-01","Autor",4
"Thomas E. Dickey","2002-01-01","Autor",1
"Thomas E. Dickey","2002-03-01","Autor",6
"Thomas E. Dickey","2002-08-01","Autor",68
"Thomas E. Dickey","2002-09-01","Autor",4
"Thomas E. Dickey","2002-10-01","Autor",35
"Thomas E. Dickey","2002-12-01","Autor",7
"Thomas E. Dickey","2003-02-01","Autor",1
"Thomas E. Dickey","2003-03-01","Autor",22
"Thomas E. Dickey","2003-05-01","Autor",7
"Thomas E. Dickey","2003-10-01","Autor",7
"Thomas E. Dickey","2003-12-01","Autor",10
"Thomas E. Dickey","2004-03-01","Autor",5
"Thomas E. Dickey","2004-04-01","Autor",17
"Thomas E. Dickey","2004-05-01","Autor",13
"Thomas E. Dickey","2004-06-01","Autor",3
"Thomas E. Dickey","2004-07-01","Autor",2
"Thomas E. Dickey","2004-08-01","Autor",1
"Thomas E. Dickey","2004-12-01","Autor",7
"Thomas E. Dickey","2005-01-01","Autor",8
"Thomas E. Dickey","2005-02-01","Autor",5
"Thomas E. Dickey","2005-04-01","Autor",16
"Thomas E. Dickey","2005-05-01","Autor",2
"Thomas E. Dickey","2005-07-01","Autor",11
"Thomas E. Dickey","2005-08-01","Autor",3
"Thomas E. Dickey","2005-09-01","Autor",9
"Thomas E. Dickey","2005-11-01","Autor",19
"Thomas E. Dickey","2006-01-01","Autor",2
"Thomas E. Dickey","2006-02-01","Autor",8
"Thomas E. Dickey","2006-03-01","Autor",5
"Thomas E. Dickey","2006-04-01","Autor",2
"Thomas E. Dickey","2006-06-01","Autor",9
"Thomas E. Dickey","2006-08-01","Autor",20
"Thomas E. Dickey","2006-09-01","Autor",2
"Thomas E. Dickey","2006-10-01","Autor",1
"Thomas E. Dickey","2006-12-01","Autor",3
"Thomas E. Dickey","2007-01-01","Autor",3
"Thomas E. Dickey","2007-02-01","Autor",6
"Thomas E. Dickey","2007-03-01","Autor",34
"Thomas E. Dickey","2007-05-01","Autor",1
"Thomas E. Dickey","2007-06-01","Autor",10
"Thomas E. Dickey","2007-07-01","Autor",4
"Thomas E. Dickey","2007-08-01","Autor",1
"Thomas E. Dickey","2007-11-01","Autor",1
"Thomas E. Dickey","2007-12-01","Autor",7
"Thomas E. Dickey","2008-01-01","Autor",28
"Thomas E. Dickey","2008-02-01","Autor",5
"Thomas E. Dickey","2008-03-01","Autor",1
"Thomas E. Dickey","2008-04-01","Autor",1
"Thomas E. Dickey","2008-05-01","Autor",1
"Thomas E. Dickey","2008-07-01","Autor",3
"Thomas E. Dickey","2008-09-01","Autor",2
"Thomas E. Dickey","2008-10-01","Autor",1
"Thomas E. Dickey","2008-12-01","Autor",2
"Thomas E. Dickey","2009-01-01","Autor",3
"Thomas E. Dickey","2009-02-01","Autor",3
"Thomas E. Dickey","2009-03-01","Autor",4
"Thomas E. Dickey","2009-04-01","Autor",1
"Thomas E. Dickey","2009-05-01","Autor",2
"Thomas E. Dickey","2009-06-01","Autor",4
"Thomas E. Dickey","2009-07-01","Autor",1
"Thomas E. Dickey","2009-08-01","Autor",8
"Thomas E. Dickey","2009-09-01","Autor",1
"Thomas E. Dickey","2009-10-01","Autor",2
"Thomas E. Dickey","2009-11-01","Autor",25
"Thomas E. Dickey","2009-12-01","Autor",3
"Thomas E. Dickey","2010-01-01","Autor",6
"Thomas E. Dickey","2010-03-01","Autor",1
"Thomas E. Dickey","2010-04-01","Autor",4
"Thomas E. Dickey","2010-05-01","Autor",2
"Thomas E. Dickey","2010-06-01","Autor",2
"Thomas E. Dickey","2010-08-01","Autor",3
"Thomas E. Dickey","2010-09-01","Autor",1
"Thomas E. Dickey","2010-10-01","Autor",2
"Thomas E. Dickey","2010-11-01","Autor",1
"Thomas E. Dickey","2011-01-01","Autor",1
"Thomas E. Dickey","2011-02-01","Autor",1
"Thomas E. Dickey","2011-03-01","Autor",1
"Thomas E. Dickey","2011-04-01","Autor",5
"Thomas E. Dickey","2011-05-01","Autor",1
"Thomas E. Dickey","2011-07-01","Autor",9
"Thomas E. Dickey","2011-08-01","Autor",2
"Thomas E. Dickey","2011-09-01","Autor",10
"Thomas E. Dickey","2011-10-01","Autor",3
"Thomas E. Dickey","2011-11-01","Autor",6
"Thomas E. Dickey","2011-12-01","Autor",2
"Thomas E. Dickey","2012-01-01","Autor",9
"Thomas E. Dickey","2012-03-01","Autor",1
"Thomas E. Dickey","2012-04-01","Autor",5
"Thomas E. Dickey","2012-05-01","Autor",4
"Thomas E. Dickey","2012-06-01","Autor",2
"Thomas E. Dickey","2012-08-01","Autor",4
"Thomas E. Dickey","2012-09-01","Autor",6
"Thomas E. Dickey","2012-10-01","Autor",18
"Thomas E. Dickey","2012-11-01","Autor",19
"Thomas E. Dickey","2012-12-01","Autor",6
"Thomas E. Dickey","2013-01-01","Autor",43
"Thomas E. Dickey","2013-02-01","Autor",1
"Thomas E. Dickey","2013-03-01","Autor",1
"Thomas E. Dickey","2013-04-01","Autor",6
"Thomas E. Dickey","2013-05-01","Autor",2
"Thomas E. Dickey","2013-06-01","Autor",4
"Thomas E. Dickey","2013-07-01","Autor",1
"Thomas E. Dickey","2013-08-01","Autor",1
"Thomas E. Dickey","2013-09-01","Autor",1
"Thomas E. Dickey","2013-11-01","Autor",3
"Thomas E. Dickey","2013-12-01","Autor",1
"Thomas E. Dickey","2014-01-01","Autor",5
"Thomas E. Dickey","2014-02-01","Autor",2
"Thomas E. Dickey","2014-03-01","Autor",1
"Thomas E. Dickey","2014-04-01","Autor",15
"Thomas E. Dickey","2014-05-01","Autor",7
"Thomas E. Dickey","2014-06-01","Autor",1
"Thomas E. Dickey","2014-07-01","Autor",22
"Thomas E. Dickey","2014-09-01","Autor",1
"Thomas E. Dickey","2014-10-01","Autor",1
"Thomas E. Dickey","2014-11-01","Autor",6
"Thomas E. Dickey","2014-12-01","Autor",3
"Thomas E. Dickey","2015-02-01","Autor",2
"Thomas E. Dickey","2015-03-01","Autor",1
"Thomas E. Dickey","2015-04-01","Autor",1
"Thomas E. Dickey","2015-05-01","Autor",1
"Thomas E. Dickey","2015-06-01","Autor",4
"Thomas E. Dickey","2015-07-01","Autor",1
"Thomas E. Dickey","2015-08-01","Autor",1
"Thomas E. Dickey","2015-12-01","Autor",2
"Thomas E. Dickey","2016-01-01","Autor",3
"Thomas E. Dickey","2016-02-01","Autor",1
"Thomas E. Dickey","2016-03-01","Autor",3
"Thomas E. Dickey","2016-05-01","Autor",4
"Thomas E. Dickey","2016-06-01","Autor",1
"Thomas E. Dickey","2016-07-01","Autor",1
