"Arquivo","Desenvolvedor"
"button.c",1
"cachedGCs.c",1
"charclass.c",1
"charproc.c",1
"charsets.c",1
"cursor.c",1
"data.c",1
"doublechr.c",1
"fontutils.c",1
"graphics_regis.c",1
"graphics_sixel.c",1
"graphics.c",1
"html.c",1
"input.c",1
"keysym2ucs.c",1
"linedata.c",1
"main.c",1
"menu.c",1
"misc.c",1
"os2main.c",1
"precompose.c",1
"print.c",1
"ptydata.c",1
"resize.c",1
"screen.c",1
"scrollback.c",1
"scrollbar.c",1
"svg.c",1
"tabs.c",1
"Tekproc.c",1
"TekPrsTbl.c",1
"testxmc.c",1
"trace.c",1
"ttysvr.c",1
"util.c",1
"version.c",1
"vms.c",1
"VTPrsTbl.c",1
"wcwidth.c",1
"xstrings.c",1
"xtermcap.c",1
"xutf8.c",1
