Projeto,Autores,Colaboradores,Majors,Minors
AMXModX,5,36,18,0
Angband,18,49,25,8
ASF,8,32,7,5
Bash,0,86,0,0
Bison,6,48,8,3
BusyBox,40,588,72,73
Cherokee,6,18,3,8
Clamav,4,199,16,10
Collected,79,161,126,61
Curl,53,488,97,238
Dia,10,35,19,4
Emacs,17,1283,20,461
Ethersex,11,196,25,19
FreeRADIUS,10,171,11,24
FVWM,3,169,5,24
Gawk,0,22,0,5
GawkWindows,0,126,0,3
GCC,408,3648,457,1195
Glibc,47,701,66,98
GnuChess,0,0,0,0
Gnumeric,26,40,25,2
Gnuplot,7,233,8,35
GoAccess,2,1,5,1
Gzip,0,22,0,17
Hexchat,5,36,31,3
Irsii,6,16,29,8
Kerberos5,15,532,30,24
Libexpat,1,30,4,9
Libpng,1,41,3,11
LibSoup,14,9,34,2
Libssh,11,29,18,9
LibXML2,5,125,20,35
Lighttpd,0,16,1,3
Lighttpd1,3,43,7,3
Lua,1,6,1,0
M4,1,5,0,0
Machinekit,5,53,24,1
MapServer,8,115,12,5
Mongo,189,370,221,32
MPSolve,1,0,2,0
OpenSC,9,151,39,29
OpenSSL,33,557,81,77
OpenTX,17,357,19,51
OpenVPN,6,145,15,23
OSSEC,5,86,26,47
Pacemaker,12,39,13,6
Parrot,25,149,31,73
Pidgin,30,193,48,49
prctools,0,14,0,0
Primer3,1,1,3,0
privoxy,0,0,0,0
RetroArch,41,281,59,103
SleuthKit,9,14,25,3
SQLite,2,155,4,31
Sylpheed,0,0,0,0
syslog-ng,30,55,53,7
TauLabs,21,231,35,32
Totem,21,7,31,0
Uwsgi,17,144,51,48
Vim,0,0,0,0
WiredTiger,11,22,19,10
XServer,28,503,106,85
Xterm,0,0,0,0
