Projeto,Baixar,Url
Bison,1,https://git.savannah.gnu.org/git/bison.git
Cherokee,1,https://github.com/cherokee/webserver.git
Collected,1,https://github.com/collectd/collectd.git
Gawk,1,https://git.savannah.gnu.org/git/gawk.git
Gnuplot,1,https://github.com/gnuplot/gnuplot.git
Hexchat,1,https://github.com/hexchat/hexchat.git
Irsii,1,https://github.com/irssi/irssi.git
Libexpat,1,https://github.com/libexpat/libexpat.git
Libpng,1,https://github.com/gx/libpng.git
LibSoup,1,https://github.com/GNOME/libsoup.git
Libssh,1,https://git.libssh.org/projects/libssh.git
Lighttpd,1,https://github.com/lighttpd/lighttpd2.git
M4,1,https://git.savannah.gnu.org/git/m4.git
OpenSC,1,https://github.com/OpenSC/OpenSC.git
OpenVPN,1,https://github.com/OpenVPN/openvpn.git
Totem,1,https://github.com/GNOME/totem.git
Uwsgi,1,https://github.com/unbit/uwsgi.git
Xterm,1,https://github.com/ThomasDickey/xterm-snapshots.git
